,frame,x,y,r
0,1.0,618.5,563.5,30.2
1,2.0,619.5,563.5,30.2
2,3.0,618.5,563.5,30.2
3,4.0,619.5,564.5,30.2
4,5.0,620.5,564.5,30.2
5,6.0,620.5,564.5,30.2
6,7.0,619.5,563.5,30.2
7,8.0,620.5,563.5,30.2
8,9.0,619.5,563.5,30.2
9,10.0,619.5,563.5,30.2
10,11.0,620.5,563.5,30.2
11,12.0,618.5,563.5,30.2
12,13.0,619.5,563.5,30.2
13,14.0,620.5,563.5,30.2
14,15.0,619.5,564.5,31.3
15,16.0,618.5,564.5,29.1
16,17.0,618.5,563.5,30.2
17,18.0,620.5,563.5,30.2
18,19.0,619.5,564.5,30.2
19,20.0,620.5,564.5,30.2
20,21.0,621.5,564.5,30.2
21,22.0,619.5,563.5,30.2
22,23.0,616.5,564.5,32.4
23,24.0,618.5,563.5,30.2
24,25.0,619.5,563.5,30.2
25,26.0,618.5,563.5,30.2
26,27.0,618.5,562.5,30.2
27,28.0,619.5,564.5,31.3
28,29.0,620.5,564.5,30.2
29,30.0,618.5,563.5,30.2
30,31.0,620.5,564.5,30.2
31,32.0,621.5,564.5,30.2
32,33.0,620.5,564.5,30.2
33,34.0,618.5,563.5,30.2
34,35.0,620.5,564.5,30.2
35,36.0,619.5,564.5,31.3
36,37.0,621.5,564.5,30.2
37,38.0,620.5,564.5,30.2
38,39.0,618.5,563.5,30.2
39,40.0,620.5,565.5,29.0
40,41.0,618.5,562.5,30.2
41,42.0,619.5,563.5,30.2
42,43.0,620.5,563.5,30.2
43,44.0,620.5,563.5,30.2
44,45.0,618.5,563.5,30.2
45,46.0,618.5,563.5,30.2
46,47.0,619.5,563.5,30.2
47,48.0,620.5,563.5,30.2
48,49.0,618.5,563.5,30.2
49,50.0,619.5,563.5,30.2
50,51.0,619.5,563.5,30.2
51,52.0,618.5,562.5,30.2
52,53.0,619.5,566.5,30.2
53,54.0,620.5,564.5,30.2
54,55.0,620.5,563.5,30.2
55,56.0,619.5,563.5,30.2
56,57.0,620.5,563.5,30.2
57,58.0,619.5,563.5,30.2
58,59.0,620.5,564.5,30.2
59,60.0,619.5,563.5,30.2
60,61.0,618.5,563.5,30.2
61,62.0,618.5,563.5,30.2
62,63.0,618.5,563.5,30.2
63,64.0,620.5,564.5,30.2
64,65.0,619.5,564.5,30.2
65,66.0,620.5,563.5,30.2
66,67.0,618.5,562.5,30.2
67,68.0,618.5,563.5,30.2
68,69.0,621.5,565.5,30.2
69,70.0,620.5,563.5,30.2
70,71.0,620.5,563.5,30.2
71,72.0,620.5,563.5,30.2
72,73.0,620.5,564.5,30.2
73,74.0,619.5,564.5,30.2
74,75.0,619.5,563.5,30.2
75,76.0,620.5,564.5,30.2
76,77.0,619.5,565.5,30.2
77,78.0,620.5,564.5,30.2
78,79.0,620.5,565.5,29.1
79,80.0,621.5,561.5,32.4
80,81.0,618.5,562.5,30.2
81,82.0,619.5,565.5,30.2
82,83.0,618.5,563.5,30.2
83,84.0,618.5,563.5,30.2
84,85.0,619.5,563.5,30.2
85,86.0,618.5,563.5,30.2
86,87.0,619.5,564.5,30.2
87,88.0,619.5,565.5,30.2
88,89.0,620.5,564.5,30.2
89,90.0,618.5,563.5,30.2
90,91.0,619.5,564.5,31.3
91,92.0,618.5,562.5,30.2
92,93.0,620.5,565.5,29.1
93,94.0,620.5,563.5,30.2
94,95.0,620.5,564.5,30.2
95,96.0,620.5,564.5,30.2
96,97.0,621.5,564.5,30.2
97,98.0,618.5,563.5,30.2
98,99.0,621.5,564.5,30.2
99,100.0,619.5,563.5,30.2
100,101.0,619.5,563.5,30.2
101,102.0,618.5,563.5,30.2
102,103.0,620.5,562.5,31.3
103,104.0,619.5,563.5,30.2
104,105.0,618.5,562.5,30.2
105,106.0,620.5,563.5,30.2
106,107.0,619.5,563.5,30.2
107,108.0,618.5,563.5,30.2
108,109.0,621.5,564.5,30.2
109,110.0,619.5,564.5,30.2
110,111.0,620.5,563.5,30.2
111,112.0,618.5,565.5,30.2
112,113.0,619.5,563.5,30.2
113,114.0,618.5,563.5,30.2
114,115.0,619.5,563.5,31.1
115,116.0,621.5,565.5,30.2
116,117.0,620.5,564.5,30.2
117,118.0,621.5,563.5,30.2
118,119.0,619.5,563.5,30.2
119,120.0,620.5,563.5,30.2
120,121.0,618.5,563.5,30.2
121,122.0,620.5,564.5,30.2
122,123.0,618.5,563.5,30.2
123,124.0,618.5,562.5,30.2
124,125.0,618.5,563.5,30.2
125,126.0,619.5,566.5,30.2
126,127.0,621.5,563.5,30.2
127,128.0,620.5,564.5,30.2
128,129.0,618.5,563.5,30.2
129,130.0,619.5,566.5,30.2
130,131.0,619.5,563.5,30.2
131,132.0,620.5,563.5,30.2
132,133.0,618.5,563.5,30.2
133,134.0,620.5,564.5,30.2
134,135.0,621.5,563.5,30.2
135,136.0,618.5,563.5,30.2
136,137.0,618.5,564.5,29.1
137,138.0,620.5,563.5,30.2
138,139.0,620.5,563.5,30.2
139,140.0,619.5,563.5,30.2
140,141.0,620.5,563.5,30.2
141,142.0,618.5,563.5,30.2
142,143.0,620.5,563.5,30.2
143,144.0,620.5,564.5,30.2
144,145.0,618.5,563.5,30.2
145,146.0,618.5,564.5,29.1
146,147.0,618.5,563.5,30.2
147,148.0,621.5,564.5,30.2
148,149.0,618.5,562.5,30.2
149,150.0,621.5,567.5,32.4
150,151.0,618.5,563.5,30.2
151,152.0,618.5,563.5,30.2
152,153.0,616.5,567.5,32.4
153,154.0,619.5,564.5,30.2
154,155.0,618.5,562.5,30.2
155,156.0,618.5,562.5,30.2
156,157.0,618.5,562.5,30.2
157,158.0,619.5,563.5,30.2
158,159.0,620.5,563.5,30.2
159,160.0,619.5,563.5,30.2
160,161.0,620.5,564.5,30.2
161,162.0,620.5,563.5,30.2
162,163.0,620.5,564.5,30.2
163,164.0,618.5,562.5,30.2
164,165.0,621.5,564.5,30.2
165,166.0,618.5,563.5,30.2
166,167.0,618.5,563.5,30.2
167,168.0,618.5,563.5,30.2
168,169.0,620.5,563.5,30.2
169,170.0,620.5,563.5,30.2
170,171.0,619.5,563.5,30.2
171,172.0,618.5,563.5,30.2
172,173.0,618.5,562.5,30.2
173,174.0,619.5,564.5,30.2
174,175.0,620.5,564.5,30.2
175,176.0,621.5,564.5,30.2
176,177.0,620.5,564.5,30.2
177,178.0,620.5,564.5,30.2
178,179.0,619.5,564.5,31.3
179,180.0,620.5,563.5,30.2
180,181.0,619.5,563.5,30.2
181,182.0,618.5,563.5,30.2
182,183.0,620.5,564.5,30.2
183,184.0,619.5,564.5,30.2
184,185.0,620.5,564.5,30.2
185,186.0,620.5,563.5,30.2
186,187.0,620.5,562.5,29.1
