frame,frame,x,y,r,particle
1,1,618.5,563.5,30.2,0
2,2,619.5,563.5,30.2,0
3,3,618.5,563.5,30.2,0
4,4,619.5,564.5,30.2,0
5,5,620.5,564.5,30.2,0
6,6,620.5,564.5,30.2,0
7,7,619.5,563.5,30.2,0
8,8,620.5,563.5,30.2,0
9,9,619.5,563.5,30.2,0
10,10,619.5,563.5,30.2,0
11,11,620.5,563.5,30.2,0
12,12,618.5,563.5,30.2,0
13,13,619.5,563.5,30.2,0
14,14,620.5,563.5,30.2,0
15,15,619.5,564.5,31.3,0
16,16,618.5,564.5,29.1,0
17,17,618.5,563.5,30.2,0
18,18,620.5,563.5,30.2,0
19,19,619.5,564.5,30.2,0
20,20,620.5,564.5,30.2,0
21,21,621.5,564.5,30.2,0
22,22,619.5,563.5,30.2,0
23,23,616.5,564.5,32.4,0
24,24,618.5,563.5,30.2,0
25,25,619.5,563.5,30.2,0
26,26,618.5,563.5,30.2,0
27,27,618.5,562.5,30.2,0
28,28,619.5,564.5,31.3,0
29,29,620.5,564.5,30.2,0
30,30,618.5,563.5,30.2,0
31,31,620.5,564.5,30.2,0
32,32,621.5,564.5,30.2,0
33,33,620.5,564.5,30.2,0
34,34,618.5,563.5,30.2,0
35,35,620.5,564.5,30.2,0
36,36,619.5,564.5,31.3,0
37,37,621.5,564.5,30.2,0
38,38,620.5,564.5,30.2,0
39,39,618.5,563.5,30.2,0
40,40,620.5,565.5,29.0,0
41,41,618.5,562.5,30.2,0
42,42,619.5,563.5,30.2,0
43,43,620.5,563.5,30.2,0
44,44,620.5,563.5,30.2,0
45,45,618.5,563.5,30.2,0
46,46,618.5,563.5,30.2,0
47,47,619.5,563.5,30.2,0
48,48,620.5,563.5,30.2,0
49,49,618.5,563.5,30.2,0
50,50,619.5,563.5,30.2,0
51,51,619.5,563.5,30.2,0
52,52,618.5,562.5,30.2,0
53,53,619.5,566.5,30.2,0
54,54,620.5,564.5,30.2,0
55,55,620.5,563.5,30.2,0
56,56,619.5,563.5,30.2,0
57,57,620.5,563.5,30.2,0
58,58,619.5,563.5,30.2,0
59,59,620.5,564.5,30.2,0
60,60,619.5,563.5,30.2,0
61,61,618.5,563.5,30.2,0
62,62,618.5,563.5,30.2,0
63,63,618.5,563.5,30.2,0
64,64,620.5,564.5,30.2,0
65,65,619.5,564.5,30.2,0
66,66,620.5,563.5,30.2,0
67,67,618.5,562.5,30.2,0
68,68,618.5,563.5,30.2,0
69,69,621.5,565.5,30.2,0
70,70,620.5,563.5,30.2,0
71,71,620.5,563.5,30.2,0
72,72,620.5,563.5,30.2,0
73,73,620.5,564.5,30.2,0
74,74,619.5,564.5,30.2,0
75,75,619.5,563.5,30.2,0
76,76,620.5,564.5,30.2,0
77,77,619.5,565.5,30.2,0
78,78,620.5,564.5,30.2,0
79,79,620.5,565.5,29.1,0
80,80,621.5,561.5,32.4,0
81,81,618.5,562.5,30.2,0
82,82,619.5,565.5,30.2,0
83,83,618.5,563.5,30.2,0
84,84,618.5,563.5,30.2,0
85,85,619.5,563.5,30.2,0
86,86,618.5,563.5,30.2,0
87,87,619.5,564.5,30.2,0
88,88,619.5,565.5,30.2,0
89,89,620.5,564.5,30.2,0
90,90,618.5,563.5,30.2,0
91,91,619.5,564.5,31.3,0
92,92,618.5,562.5,30.2,0
93,93,620.5,565.5,29.1,0
94,94,620.5,563.5,30.2,0
95,95,620.5,564.5,30.2,0
96,96,620.5,564.5,30.2,0
97,97,621.5,564.5,30.2,0
98,98,618.5,563.5,30.2,0
99,99,621.5,564.5,30.2,0
100,100,619.5,563.5,30.2,0
101,101,619.5,563.5,30.2,0
102,102,618.5,563.5,30.2,0
103,103,620.5,562.5,31.3,0
104,104,619.5,563.5,30.2,0
105,105,618.5,562.5,30.2,0
106,106,620.5,563.5,30.2,0
107,107,619.5,563.5,30.2,0
108,108,618.5,563.5,30.2,0
109,109,621.5,564.5,30.2,0
110,110,619.5,564.5,30.2,0
111,111,620.5,563.5,30.2,0
112,112,618.5,565.5,30.2,0
113,113,619.5,563.5,30.2,0
114,114,618.5,563.5,30.2,0
115,115,619.5,563.5,31.1,0
116,116,621.5,565.5,30.2,0
117,117,620.5,564.5,30.2,0
118,118,621.5,563.5,30.2,0
119,119,619.5,563.5,30.2,0
120,120,620.5,563.5,30.2,0
121,121,618.5,563.5,30.2,0
122,122,620.5,564.5,30.2,0
123,123,618.5,563.5,30.2,0
124,124,618.5,562.5,30.2,0
125,125,618.5,563.5,30.2,0
126,126,619.5,566.5,30.2,0
127,127,621.5,563.5,30.2,0
128,128,620.5,564.5,30.2,0
129,129,618.5,563.5,30.2,0
130,130,619.5,566.5,30.2,0
131,131,619.5,563.5,30.2,0
132,132,620.5,563.5,30.2,0
133,133,618.5,563.5,30.2,0
134,134,620.5,564.5,30.2,0
135,135,621.5,563.5,30.2,0
136,136,618.5,563.5,30.2,0
137,137,618.5,564.5,29.1,0
138,138,620.5,563.5,30.2,0
139,139,620.5,563.5,30.2,0
140,140,619.5,563.5,30.2,0
141,141,620.5,563.5,30.2,0
142,142,618.5,563.5,30.2,0
143,143,620.5,563.5,30.2,0
144,144,620.5,564.5,30.2,0
145,145,618.5,563.5,30.2,0
146,146,618.5,564.5,29.1,0
147,147,618.5,563.5,30.2,0
148,148,621.5,564.5,30.2,0
149,149,618.5,562.5,30.2,0
150,150,621.5,567.5,32.4,0
151,151,618.5,563.5,30.2,0
152,152,618.5,563.5,30.2,0
153,153,616.5,567.5,32.4,0
154,154,619.5,564.5,30.2,0
155,155,618.5,562.5,30.2,0
156,156,618.5,562.5,30.2,0
157,157,618.5,562.5,30.2,0
158,158,619.5,563.5,30.2,0
159,159,620.5,563.5,30.2,0
160,160,619.5,563.5,30.2,0
161,161,620.5,564.5,30.2,0
162,162,620.5,563.5,30.2,0
163,163,620.5,564.5,30.2,0
164,164,618.5,562.5,30.2,0
165,165,621.5,564.5,30.2,0
166,166,618.5,563.5,30.2,0
167,167,618.5,563.5,30.2,0
168,168,618.5,563.5,30.2,0
169,169,620.5,563.5,30.2,0
170,170,620.5,563.5,30.2,0
171,171,619.5,563.5,30.2,0
172,172,618.5,563.5,30.2,0
173,173,618.5,562.5,30.2,0
174,174,619.5,564.5,30.2,0
175,175,620.5,564.5,30.2,0
176,176,621.5,564.5,30.2,0
177,177,620.5,564.5,30.2,0
178,178,620.5,564.5,30.2,0
179,179,619.5,564.5,31.3,0
180,180,620.5,563.5,30.2,0
181,181,619.5,563.5,30.2,0
182,182,618.5,563.5,30.2,0
183,183,620.5,564.5,30.2,0
184,184,619.5,564.5,30.2,0
185,185,620.5,564.5,30.2,0
186,186,620.5,563.5,30.2,0
187,187,620.5,562.5,29.1,0
188,188,619.5,564.5,31.3,0
189,189,621.5,564.5,30.2,0
190,190,618.5,564.5,29.1,0
191,191,620.5,564.5,30.2,0
192,192,619.5,563.5,30.2,0
193,193,620.5,563.5,30.2,0
194,194,620.5,563.5,30.2,0
195,195,619.5,563.5,30.2,0
196,196,620.5,565.5,29.1,0
197,197,620.5,564.5,30.2,0
198,198,618.5,562.5,30.2,0
199,199,618.5,562.5,30.2,0
200,200,620.5,563.5,30.2,0
201,201,619.5,563.5,30.2,0
202,202,618.5,562.5,30.2,0
203,203,620.5,564.5,30.2,0
204,204,619.5,563.5,30.2,0
205,205,620.5,563.5,30.2,0
206,206,619.5,563.5,30.2,0
207,207,620.5,564.5,30.2,0
208,208,620.5,564.5,30.2,0
209,209,618.5,563.5,30.2,0
210,210,619.5,563.5,30.2,0
211,211,618.5,562.5,30.2,0
212,212,620.5,563.5,30.2,0
213,213,619.5,563.5,30.2,0
214,214,618.5,562.5,30.2,0
215,215,620.5,563.5,30.2,0
216,216,618.5,563.5,30.2,0
217,217,620.5,564.5,30.2,0
218,218,620.5,564.5,30.2,0
219,219,619.5,563.5,30.2,0
220,220,618.5,563.5,30.2,0
221,221,618.5,563.5,30.2,0
222,222,620.5,563.5,30.2,0
223,223,620.5,564.5,30.2,0
224,224,621.5,563.5,30.2,0
225,225,618.5,562.5,30.2,0
226,226,620.5,563.5,30.2,0
227,227,620.5,564.5,30.2,0
228,228,618.5,563.5,30.2,0
229,229,618.5,562.5,30.2,0
230,230,619.5,564.5,31.3,0
231,231,618.5,563.5,30.2,0
232,232,618.5,563.5,30.2,0
233,233,618.5,562.5,30.2,0
234,234,619.5,564.5,30.2,0
235,235,619.5,563.5,30.2,0
236,236,619.5,563.5,30.2,0
237,237,618.5,562.5,30.2,0
238,238,618.5,563.5,30.2,0
