,,fileName,ok
1,42,D:\Eden\5_1_23\fronters1passive28cm\C0556.MP4_small.mp4_traj.mp4,1
2,43,D:\Eden\5_1_23\fronters1passive28cm\C0555.MP4_small.mp4_traj.mp4,1
3,44,D:\Eden\5_1_23\fronters1passive28cm\C0554.MP4_small.mp4_traj.mp4,1
4,45,D:\Eden\5_1_23\fronters1passive28cm\C0553.MP4_small.mp4_traj.mp4,1
5,46,D:\Eden\17_1_23\aligners1passive28cm\C0575.MP4_small.mp4_traj.mp4,1
6,47,D:\Eden\17_1_23\aligners1passive28cm\C0574.MP4_small.mp4_traj.mp4,1
7,48,D:\Eden\17_1_23\aligners1passive28cm\C0573.MP4_small.mp4_traj.mp4,1
8,49,D:\Eden\17_1_23\aligners1passive28cm\C0572.MP4_small.mp4_traj.mp4,0
9,50,D:\Eden\5_1_23\fronters4passive28cm\C0560.MP4_small.mp4_traj.mp4,1
10,51,D:\Eden\5_1_23\fronters4passive28cm\C0559.MP4_small.mp4_traj.mp4,1
11,52,D:\Eden\5_1_23\fronters4passive28cm\C0558.MP4_small.mp4_traj.mp4,1
12,53,D:\Eden\5_1_23\fronters4passive28cm\C0557.MP4_small.mp4_traj.mp4,1
13,54,D:\Eden\17_1_23\aligners4passive28cm\C0580.MP4_small.mp4_traj.mp4,1
14,55,D:\Eden\17_1_23\aligners4passive28cm\C0579.MP4_small.mp4_traj.mp4,0
15,56,D:\Eden\17_1_23\aligners4passive28cm\C0578.MP4_small.mp4_traj.mp4,1
16,57,D:\Eden\17_1_23\aligners4passive28cm\C0577.MP4_small.mp4_traj.mp4,0
17,58,D:\Eden\17_1_23\aligners4passive28cm\C0576.MP4_small.mp4_traj.mp4,0
18,59,D:\Eden\10_1_23\fronters-28cm-8bots\C0567.MP4_small.mp4_traj.mp4,0
19,60,D:\Eden\10_1_23\fronters-28cm-8bots\C0566.MP4_small.mp4_traj.mp4,1
20,61,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4_small.mp4_traj.mp4,1
21,62,D:\Eden\10_1_23\fronters-28cm-8bots\C0563.MP4_small.mp4_traj.mp4,1
22,63,D:\Eden\5_1_23\fronters8passive28cm\C0562.MP4_small.mp4_traj.mp4,1
23,64,D:\Eden\19_1_23\aligners8passive28cm\C0587.MP4_small.mp4_traj.mp4,1
24,65,D:\Eden\19_1_23\aligners8passive28cm\C0586.MP4_small.mp4_traj.mp4,0
25,66,D:\Eden\19_1_23\aligners8passive28cm\C0585.MP4_small.mp4_traj.mp4,1
26,67,D:\Eden\19_1_23\aligners8passive28cm\C0584.MP4_small.mp4_traj.mp4,0
27,68,D:\Eden\19_1_23\aligners8passive28cm\C0583.MP4_small.mp4_traj.mp4,0
28,69,D:\Eden\19_1_23\aligners8passive28cm\C0581.MP4_small.mp4_traj.mp4,1
29,70,D:\Eden\12_1_23\fronters-28cm-16bots\C0571.MP4_small.mp4_traj.mp4,1
30,71,D:\Eden\12_1_23\fronters-28cm-16bots\C0570.MP4_small.mp4_traj.mp4,1
31,72,D:\Eden\10_1_23\fronters-28cm-16bots\C0569.MP4_small.mp4_traj.mp4,1
32,73,D:\Eden\10_1_23\fronters-28cm-16bots\C0568.MP4_small.mp4_traj.mp4,0
33,74,D:\Eden\19_1_23\aligners16passive28cm\C0591.MP4_small.mp4_traj.mp4,1
34,75,D:\Eden\19_1_23\aligners16passive28cm\C0590.MP4_small.mp4_traj.mp4,0
35,76,D:\Eden\19_1_23\aligners16passive28cm\C0589.MP4_small.mp4_traj.mp4,1
36,77,D:\Eden\19_1_23\aligners16passive28cm\C0588.MP4_small.mp4_traj.mp4,1
37,78,D:\Matan\20221218\aligners53passive28cm\C0510.MP4_small.mp4_traj.mp4,1
38,79,D:\Matan\20221218\aligners53passive28cm\C0511.MP4_small.mp4_traj.mp4,0
39,80,D:\Matan\20221218\aligners53passive28cm\C0512.MP4_small.mp4_traj.mp4,1
40,81,D:\Matan\20221218\aligners53passive28cm\C0513.MP4_small.mp4_traj.mp4,1
41,82,D:\Matan\20221217\fronters53passive28cm\C0505.MP4_small.mp4_traj.mp4,1
42,83,D:\Matan\20221217\fronters53passive28cm\C0506.MP4_small.mp4_traj.mp4,1
43,84,D:\Matan\20221217\fronters53passive28cm\C0507.MP4_small.mp4_traj.mp4,1
44,85,D:\Matan\20221217\fronters53passive28cm\C0509.MP4_small.mp4_traj.mp4,1
