frame,frame,x,y,r,particle
1,1,624.5,562.5,30.3,0
2,2,623.5,563.5,29.2,0
3,3,623.5,562.5,30.3,0
4,4,624.5,560.5,29.2,0
5,5,623.5,562.5,30.3,0
6,6,625.5,561.5,29.2,0
7,7,624.5,561.5,30.3,0
8,8,624.5,562.5,30.3,0
9,9,624.5,562.5,30.3,0
10,10,623.5,561.5,29.2,0
11,11,624.5,561.5,30.3,0
12,12,624.5,561.5,30.3,0
13,13,624.5,561.5,30.3,0
14,14,623.5,561.5,29.2,0
15,15,625.5,560.5,29.2,0
16,16,624.5,562.5,30.3,0
17,17,624.5,562.5,30.3,0
18,18,624.5,561.5,30.3,0
19,19,628.5,560.5,27.0,0
20,20,625.5,560.5,29.2,0
21,21,624.5,562.5,30.3,0
22,22,624.5,562.5,30.3,0
23,23,622.5,561.5,29.2,0
24,24,624.5,562.5,30.3,0
25,25,623.5,561.5,29.2,0
26,26,625.5,563.5,29.2,0
27,27,624.5,561.5,30.3,0
28,28,624.5,561.5,30.3,0
29,29,624.5,562.5,30.3,0
30,30,624.5,560.5,29.2,0
31,31,623.5,561.5,29.2,0
32,32,623.5,561.5,29.2,0
33,33,623.5,562.5,30.3,0
34,34,624.5,562.5,30.3,0
35,35,622.5,563.5,29.2,0
36,36,625.5,562.5,31.4,0
37,37,629.5,560.5,25.8,0
38,38,621.5,562.5,28.1,0
39,39,623.5,561.5,29.2,0
40,40,623.5,562.5,30.3,0
41,41,625.5,560.5,29.2,0
42,42,621.5,560.5,31.4,0
43,43,625.5,560.5,29.2,0
44,44,622.5,561.5,29.2,0
45,45,624.5,562.5,30.3,0
46,46,624.5,562.5,30.3,0
47,47,623.5,562.5,30.3,0
48,48,623.5,561.5,29.2,0
49,49,624.5,562.5,30.3,0
50,50,623.5,561.5,29.2,0
51,51,623.5,560.5,28.0,0
52,52,624.5,561.5,30.3,0
53,53,622.5,561.5,29.2,0
54,54,624.5,562.5,30.3,0
55,55,624.5,562.5,30.3,0
56,56,625.5,562.5,31.4,0
57,57,623.5,562.5,30.3,0
58,58,624.5,562.5,30.3,0
59,59,622.5,563.5,29.2,0
60,60,623.5,562.5,30.3,0
61,61,624.5,562.5,30.3,0
62,62,623.5,561.5,29.2,0
63,63,624.5,561.5,30.3,0
64,64,624.5,561.5,30.3,0
65,65,624.5,561.5,30.3,0
66,66,622.5,563.5,29.2,0
67,67,623.5,562.5,30.3,0
68,68,625.5,562.5,31.4,0
69,69,623.5,561.5,29.2,0
70,70,624.5,562.5,30.3,0
71,71,623.5,561.5,29.2,0
72,72,624.5,562.5,30.3,0
73,73,623.5,562.5,30.3,0
74,74,624.5,561.5,30.3,0
75,75,624.5,562.5,30.3,0
76,76,624.5,562.5,30.3,0
77,77,624.5,562.5,30.3,0
78,78,625.5,563.5,29.2,0
79,79,625.5,562.5,31.4,0
80,80,624.5,561.5,30.3,0
81,81,624.5,562.5,30.3,0
82,82,624.5,562.5,30.3,0
83,83,624.5,562.5,30.3,0
84,84,625.5,561.5,30.3,0
85,85,624.5,561.5,30.3,0
86,86,623.5,561.5,29.2,0
87,87,623.5,561.5,29.2,0
88,88,624.5,561.5,30.3,0
89,89,624.5,562.5,30.3,0
90,90,625.5,563.5,29.2,0
91,91,624.5,562.5,30.3,0
92,92,625.5,562.5,29.2,0
93,93,623.5,562.5,30.3,0
94,94,625.5,563.5,29.2,0
95,95,624.5,560.5,29.2,0
96,96,624.5,562.5,30.3,0
97,97,625.5,563.5,29.2,0
98,98,623.5,562.5,30.3,0
99,99,622.5,561.5,29.2,0
100,100,625.5,562.5,31.4,0
101,101,624.5,561.5,30.3,0
102,102,622.5,563.5,29.2,0
103,103,624.5,560.5,29.2,0
104,104,627.5,565.5,31.4,0
105,105,624.5,562.5,30.3,0
106,106,624.5,561.5,30.3,0
107,107,624.5,562.5,30.3,0
108,108,624.5,562.5,30.3,0
109,109,623.5,561.5,29.2,0
110,110,624.5,562.5,30.3,0
111,111,624.5,561.5,30.3,0
112,112,623.5,562.5,30.3,0
113,113,623.5,562.5,30.3,0
114,114,623.5,561.5,29.2,0
115,115,625.5,561.5,30.3,0
116,116,623.5,561.5,29.2,0
117,117,623.5,562.5,30.3,0
118,118,623.5,562.5,30.3,0
119,119,623.5,562.5,30.3,0
120,120,623.5,562.5,30.3,0
121,121,624.5,562.5,30.3,0
122,122,623.5,562.5,30.3,0
123,123,622.5,562.5,29.2,0
124,124,623.5,561.5,29.2,0
125,125,625.5,562.5,31.4,0
126,126,623.5,562.5,30.3,0
127,127,623.5,562.5,30.3,0
128,128,624.5,560.5,29.2,0
129,129,623.5,562.5,30.3,0
130,130,623.5,562.5,30.3,0
131,131,623.5,560.5,28.0,0
132,132,623.5,562.5,30.3,0
133,133,624.5,560.5,29.2,0
134,134,624.5,562.5,30.3,0
135,135,623.5,562.5,30.3,0
136,136,623.5,562.5,30.3,0
137,137,622.5,561.5,31.4,0
138,138,625.5,562.5,31.4,0
139,139,623.5,561.5,29.2,0
140,140,624.5,560.5,29.2,0
141,141,624.5,561.5,30.3,0
142,142,625.5,560.5,29.1,0
143,143,624.5,562.5,30.3,0
144,144,624.5,562.5,30.3,0
145,145,624.5,561.5,30.3,0
146,146,625.5,562.5,31.4,0
