,frame,x,y,r
0,1.0,615.5,561.5,30.4
1,2.0,615.5,561.5,30.4
2,3.0,616.5,561.5,30.4
3,4.0,614.5,561.5,30.4
4,5.0,615.5,562.5,29.3
5,6.0,614.5,561.5,30.4
6,7.0,615.5,561.5,30.4
7,8.0,613.5,561.5,29.3
8,9.0,619.5,563.5,27.1
9,10.0,614.5,560.5,29.3
10,11.0,614.5,562.5,29.3
11,12.0,613.5,561.5,29.3
12,13.0,615.5,561.5,30.4
13,14.0,613.5,561.5,29.3
14,15.0,615.5,561.5,30.4
15,16.0,614.5,561.5,30.4
16,17.0,614.5,561.5,30.4
17,18.0,614.5,561.5,30.4
18,19.0,616.5,562.5,29.3
19,20.0,614.5,561.5,30.4
20,21.0,615.5,561.5,30.4
21,22.0,615.5,560.5,29.3
22,23.0,616.5,561.5,30.4
23,24.0,615.5,561.5,30.4
24,25.0,614.5,560.5,29.3
25,26.0,616.5,561.5,30.4
26,27.0,614.5,561.5,30.4
27,28.0,614.5,561.5,30.4
28,29.0,614.5,561.5,30.4
29,30.0,616.5,561.5,30.4
30,31.0,615.5,562.5,29.3
31,32.0,614.5,561.5,30.4
32,33.0,615.5,561.5,30.4
33,34.0,613.5,561.5,29.3
34,35.0,614.5,560.5,29.3
35,36.0,615.5,562.5,29.3
36,37.0,615.5,561.5,30.4
37,38.0,615.5,561.5,30.4
38,39.0,616.5,561.5,30.4
39,40.0,615.5,562.5,29.3
40,41.0,615.5,561.5,30.4
41,42.0,615.5,561.5,30.4
42,43.0,616.5,561.5,30.4
43,44.0,614.5,561.5,30.4
44,45.0,614.5,561.5,30.4
45,46.0,615.5,561.5,30.4
46,47.0,614.5,561.5,30.4
47,48.0,615.5,562.5,29.3
48,49.0,615.5,562.5,29.3
49,50.0,614.5,561.5,30.4
50,51.0,615.5,562.5,29.3
51,52.0,613.5,561.5,29.3
52,53.0,616.5,562.5,29.3
53,54.0,617.5,561.5,29.3
54,55.0,614.5,561.5,30.4
55,56.0,614.5,560.5,29.3
56,57.0,614.5,562.5,29.3
57,58.0,615.5,561.5,30.4
58,59.0,615.5,561.5,30.4
59,60.0,616.5,561.5,30.4
60,61.0,614.5,560.5,29.3
61,62.0,614.5,561.5,30.4
62,63.0,615.5,562.5,29.3
63,64.0,615.5,562.5,29.3
64,65.0,615.5,561.5,30.4
65,66.0,616.5,561.5,30.4
66,67.0,615.5,561.5,30.4
67,68.0,615.5,561.5,30.4
68,69.0,616.5,561.5,30.4
69,70.0,615.5,561.5,30.4
70,71.0,615.5,560.5,29.3
71,72.0,615.5,561.5,30.4
72,73.0,613.5,561.5,29.3
73,74.0,613.5,561.5,29.3
74,75.0,614.5,562.5,29.3
75,76.0,615.5,561.5,30.4
76,77.0,614.5,561.5,30.4
77,78.0,614.5,560.5,29.3
78,79.0,615.5,562.5,29.3
79,80.0,615.5,560.5,29.3
80,81.0,617.5,561.5,29.3
81,82.0,614.5,561.5,30.4
82,83.0,614.5,561.5,30.4
83,84.0,615.5,562.5,29.3
84,85.0,615.5,562.5,29.3
85,86.0,616.5,561.5,30.4
86,87.0,616.5,562.5,29.3
87,88.0,614.5,561.5,30.4
88,89.0,614.5,560.5,29.3
89,90.0,615.5,562.5,29.3
90,91.0,615.5,560.5,29.3
91,92.0,614.5,561.5,30.4
92,93.0,614.5,561.5,30.4
93,94.0,615.5,562.5,29.3
94,95.0,616.5,562.5,29.3
95,96.0,618.5,560.5,29.3
96,97.0,614.5,561.5,30.4
97,98.0,615.5,561.5,30.4
98,99.0,614.5,561.5,30.4
99,100.0,613.5,561.5,29.3
100,101.0,617.5,562.5,30.4
101,102.0,613.5,561.5,29.3
102,103.0,615.5,560.5,29.3
103,104.0,615.5,561.5,30.4
104,105.0,616.5,561.5,30.4
105,106.0,615.5,561.5,30.4
106,107.0,614.5,561.5,30.4
107,108.0,613.5,561.5,29.3
108,109.0,614.5,561.5,30.4
109,110.0,614.5,561.5,30.4
110,111.0,616.5,561.5,30.4
111,112.0,615.5,562.5,29.3
112,113.0,613.5,561.5,29.3
113,114.0,614.5,561.5,30.4
114,115.0,614.5,560.5,29.3
115,116.0,615.5,562.5,29.3
116,117.0,614.5,561.5,30.4
117,118.0,615.5,562.5,29.3
118,119.0,615.5,560.5,29.3
119,120.0,614.5,561.5,30.4
120,121.0,614.5,561.5,30.4
121,122.0,614.5,561.5,30.4
122,123.0,614.5,561.5,30.4
123,124.0,614.5,561.5,30.4
124,125.0,616.5,562.5,29.3
125,126.0,615.5,561.5,30.4
126,127.0,615.5,561.5,30.4
127,128.0,615.5,562.5,29.3
128,129.0,616.5,563.5,29.3
129,130.0,615.5,562.5,29.3
130,131.0,615.5,562.5,29.3
131,132.0,615.5,561.5,30.4
132,133.0,616.5,561.5,30.4
133,134.0,615.5,562.5,29.3
134,135.0,613.5,561.5,29.3
135,136.0,616.5,561.5,30.4
136,137.0,616.5,561.5,30.4
137,138.0,616.5,561.5,30.4
138,139.0,614.5,562.5,29.3
139,140.0,615.5,561.5,30.4
140,141.0,615.5,561.5,30.4
141,142.0,617.5,562.5,30.4
142,143.0,614.5,561.5,30.4
143,144.0,616.5,561.5,30.4
144,145.0,614.5,561.5,30.4
145,146.0,615.5,561.5,30.4
146,147.0,616.5,561.5,30.4
147,148.0,615.5,562.5,29.3
148,149.0,614.5,560.5,29.3
149,150.0,615.5,562.5,29.3
150,151.0,614.5,560.5,29.3
151,152.0,615.5,561.5,30.4
152,153.0,615.5,561.5,30.4
153,154.0,614.5,561.5,30.4
154,155.0,614.5,561.5,30.4
155,156.0,614.5,561.5,30.4
156,157.0,615.5,562.5,29.3
157,158.0,619.5,563.5,27.1
158,159.0,616.5,561.5,30.4
159,160.0,614.5,561.5,30.4
160,161.0,615.5,561.5,30.4
161,162.0,615.5,561.5,30.4
162,163.0,615.5,562.5,29.3
163,164.0,615.5,561.5,30.4
164,165.0,614.5,560.5,29.3
165,166.0,616.5,562.5,29.3
166,167.0,616.5,561.5,30.4
167,168.0,614.5,561.5,30.4
168,169.0,614.5,560.5,29.3
169,170.0,615.5,560.5,29.3
170,171.0,615.5,561.5,30.4
171,172.0,615.5,561.5,30.4
172,173.0,616.5,561.5,30.4
173,174.0,614.5,561.5,30.4
174,175.0,615.5,561.5,30.4
175,176.0,614.5,561.5,30.4
176,177.0,614.5,561.5,30.4
177,178.0,614.5,561.5,30.4
178,179.0,615.5,560.5,29.3
179,180.0,615.5,561.5,30.4
180,181.0,616.5,561.5,30.4
181,182.0,617.5,561.5,29.3
182,183.0,614.5,561.5,30.4
183,184.0,614.5,560.5,29.3
184,185.0,615.5,562.5,29.3
185,186.0,616.5,561.5,30.4
186,187.0,615.5,561.5,30.4
187,188.0,615.5,560.5,29.3
188,189.0,614.5,560.5,29.3
189,190.0,615.5,561.5,30.4
190,191.0,614.5,561.5,30.4
191,192.0,615.5,562.5,29.3
192,193.0,616.5,562.5,29.3
193,194.0,615.5,561.5,30.4
194,195.0,615.5,561.5,30.4
195,196.0,614.5,561.5,30.4
196,197.0,615.5,562.5,29.3
197,198.0,613.5,561.5,29.3
198,199.0,615.5,562.5,29.3
199,200.0,614.5,561.5,30.4
200,201.0,615.5,562.5,29.3
201,202.0,616.5,561.5,30.4
202,203.0,616.5,562.5,29.3
203,204.0,614.5,560.5,29.3
204,205.0,616.5,561.5,30.4
205,206.0,616.5,561.5,30.4
206,207.0,615.5,561.5,30.4
207,208.0,615.5,560.5,29.3
208,209.0,614.5,560.5,29.3
209,210.0,616.5,562.5,29.3
210,211.0,619.5,563.5,27.1
211,212.0,616.5,561.5,30.4
212,213.0,614.5,561.5,30.4
213,214.0,616.5,562.5,29.3
214,215.0,615.5,561.5,30.4
215,216.0,616.5,562.5,29.3
216,217.0,615.5,560.5,29.3
217,218.0,617.5,561.5,29.3
218,219.0,616.5,562.5,29.3
219,220.0,618.5,561.5,29.3
220,221.0,614.5,561.5,30.4
221,222.0,614.5,561.5,30.4
222,223.0,615.5,562.5,29.3
223,224.0,616.5,560.5,29.3
224,225.0,616.5,562.5,29.3
225,226.0,616.5,560.5,29.3
226,227.0,615.5,561.5,30.4
227,228.0,616.5,561.5,30.4
228,229.0,616.5,562.5,29.3
229,230.0,615.5,561.5,30.4
230,231.0,615.5,561.5,30.4
231,232.0,614.5,561.5,30.4
232,233.0,614.5,561.5,30.4
233,234.0,617.5,562.5,30.4
234,235.0,615.5,562.5,29.3
235,236.0,614.5,561.5,30.4
236,237.0,614.5,561.5,30.4
237,238.0,616.5,561.5,30.4
238,239.0,619.5,563.5,27.1
239,240.0,614.5,561.5,30.4
240,241.0,614.5,560.5,29.3
241,242.0,614.5,561.5,30.4
242,243.0,615.5,562.5,29.3
243,244.0,615.5,561.5,30.4
244,245.0,615.5,561.5,30.4
245,246.0,615.5,561.5,30.4
246,247.0,614.5,561.5,30.4
247,248.0,617.5,562.5,30.4
248,249.0,614.5,561.5,30.4
249,250.0,614.5,561.5,30.4
250,251.0,616.5,561.5,30.4
251,252.0,615.5,562.5,29.3
252,253.0,614.5,561.5,30.4
253,254.0,614.5,561.5,30.4
254,255.0,614.5,561.5,30.4
255,256.0,615.5,562.5,29.3
256,257.0,614.5,561.5,30.4
257,258.0,615.5,561.5,30.4
258,259.0,615.5,561.5,30.4
259,260.0,614.5,560.5,29.3
260,261.0,614.5,561.5,30.4
261,262.0,615.5,561.5,30.4
262,263.0,615.5,561.5,30.4
263,264.0,616.5,561.5,30.4
264,265.0,615.5,561.5,30.4
265,266.0,614.5,561.5,30.4
266,267.0,615.5,561.5,30.4
267,268.0,614.5,560.5,29.3
268,269.0,616.5,561.5,30.4
269,270.0,613.5,561.5,29.3
270,271.0,614.5,561.5,30.4
271,272.0,615.5,561.5,30.4
272,273.0,615.5,560.5,29.3
273,274.0,615.5,560.5,29.3
274,275.0,614.5,561.5,30.4
275,276.0,614.5,561.5,30.4
276,277.0,615.5,561.5,30.4
277,278.0,614.5,561.5,30.4
278,279.0,615.5,561.5,30.4
279,280.0,616.5,562.5,29.3
280,281.0,616.5,561.5,30.4
281,282.0,615.5,562.5,29.3
282,283.0,614.5,562.5,29.3
283,284.0,616.5,562.5,29.3
284,285.0,615.5,562.5,29.3
