,frame,distance_sq
0,1.0,483668.0
1,1.0,14066.0
2,2.0,482365.0
3,2.0,13837.0
4,2.0,290921.0
5,2.0,416285.0
6,3.0,483185.0
7,3.0,14009.0
8,4.0,482365.0
9,4.0,13837.0
10,5.0,483185.0
11,5.0,14009.0
12,5.0,289445.0
13,5.0,416800.0
14,6.0,483668.0
15,6.0,14066.0
16,6.0,289994.0
17,6.0,416025.0
18,7.0,484973.0
19,7.0,14297.0
20,7.0,414994.0
21,8.0,483668.0
22,8.0,14066.0
23,9.0,483185.0
24,9.0,14009.0
25,9.0,311050.0
26,10.0,483668.0
27,10.0,14066.0
28,10.0,416025.0
29,10.0,296365.0
30,11.0,483668.0
31,11.0,14066.0
32,12.0,483668.0
33,12.0,14066.0
34,13.0,483668.0
35,13.0,14066.0
36,14.0,483668.0
37,14.0,14066.0
38,14.0,295634.0
39,15.0,483185.0
40,15.0,14009.0
41,15.0,416800.0
42,16.0,483185.0
43,16.0,14009.0
44,16.0,416800.0
45,17.0,483668.0
46,17.0,14066.0
47,17.0,453940.0
48,17.0,416025.0
49,18.0,483668.0
50,18.0,14066.0
51,18.0,453940.0
52,19.0,483185.0
53,19.0,14009.0
54,19.0,453545.0
55,20.0,483185.0
56,20.0,14009.0
57,21.0,483185.0
58,21.0,14009.0
59,21.0,296293.0
60,22.0,483668.0
61,22.0,14066.0
62,22.0,453545.0
63,23.0,483668.0
64,23.0,14066.0
65,23.0,416025.0
66,24.0,482365.0
67,24.0,13837.0
68,25.0,483185.0
69,25.0,14009.0
70,26.0,483668.0
71,26.0,14066.0
72,26.0,303965.0
73,26.0,416025.0
74,27.0,483668.0
75,27.0,14066.0
76,27.0,416025.0
77,27.0,326504.0
78,28.0,482365.0
79,28.0,13837.0
80,28.0,417058.0
81,28.0,301057.0
82,29.0,483668.0
83,29.0,14066.0
84,29.0,478130.0
85,29.0,4930.0
86,29.0,415252.0
87,30.0,481882.0
88,30.0,13780.0
89,31.0,483668.0
90,31.0,14066.0
91,32.0,482365.0
92,32.0,13837.0
93,32.0,297098.0
94,33.0,483668.0
95,33.0,14066.0
96,33.0,416025.0
97,34.0,483668.0
98,34.0,376570.0
99,34.0,14066.0
100,35.0,483668.0
101,35.0,14066.0
102,35.0,325685.0
103,36.0,483668.0
104,36.0,14066.0
105,37.0,483668.0
106,37.0,14066.0
107,37.0,398656.0
108,37.0,416025.0
109,38.0,483668.0
110,38.0,14066.0
111,38.0,416025.0
112,39.0,483668.0
113,39.0,14066.0
114,40.0,483185.0
115,40.0,14009.0
116,41.0,483668.0
117,41.0,14066.0
118,41.0,296365.0
119,41.0,415252.0
120,42.0,483668.0
121,42.0,14066.0
122,42.0,416025.0
123,43.0,483668.0
124,43.0,14066.0
125,43.0,477685.0
126,44.0,483668.0
127,44.0,14066.0
128,44.0,342864.0
129,45.0,483668.0
130,45.0,14066.0
131,46.0,483668.0
132,46.0,14066.0
133,46.0,325685.0
134,47.0,484153.0
135,47.0,14125.0
136,48.0,483668.0
137,48.0,14066.0
138,48.0,416025.0
139,49.0,484973.0
140,49.0,14297.0
141,49.0,295634.0
142,50.0,483185.0
143,50.0,14009.0
144,50.0,453545.0
145,51.0,484973.0
146,51.0,14297.0
147,51.0,298234.0
148,51.0,397409.0
149,52.0,483185.0
150,52.0,14009.0
151,52.0,416800.0
152,53.0,483185.0
153,53.0,14009.0
154,53.0,476320.0
155,54.0,484153.0
156,54.0,14125.0
157,54.0,432800.0
158,54.0,415252.0
159,55.0,483185.0
160,55.0,14009.0
161,55.0,477593.0
162,55.0,373346.0
163,56.0,483185.0
164,56.0,14009.0
165,56.0,295634.0
166,56.0,416800.0
167,57.0,483668.0
168,57.0,14066.0
169,57.0,295560.0
170,58.0,483185.0
171,58.0,12997.0
172,59.0,481882.0
173,59.0,13780.0
174,60.0,483668.0
175,60.0,14066.0
176,60.0,416025.0
177,61.0,484973.0
178,61.0,14297.0
179,61.0,480682.0
180,61.0,295634.0
181,62.0,483668.0
182,62.0,14066.0
183,63.0,483668.0
184,63.0,14066.0
185,63.0,298537.0
186,64.0,484153.0
187,64.0,14125.0
188,65.0,483668.0
189,65.0,14066.0
190,65.0,382705.0
191,66.0,483668.0
192,66.0,14066.0
193,66.0,416025.0
194,66.0,296365.0
195,67.0,483668.0
196,67.0,14066.0
197,67.0,477593.0
198,67.0,453545.0
199,68.0,483668.0
200,68.0,14066.0
201,69.0,484009.0
202,69.0,14185.0
203,69.0,416546.0
204,70.0,483668.0
205,70.0,14066.0
206,71.0,483668.0
207,71.0,14066.0
208,71.0,295634.0
209,72.0,483185.0
210,72.0,14009.0
211,72.0,477824.0
212,72.0,416800.0
213,72.0,453545.0
214,73.0,484490.0
215,73.0,14240.0
216,73.0,415769.0
217,74.0,483185.0
218,74.0,14009.0
219,74.0,416800.0
220,74.0,473981.0
221,75.0,483668.0
222,75.0,14066.0
223,75.0,299141.0
224,75.0,416025.0
225,76.0,483185.0
226,76.0,14009.0
227,76.0,416800.0
228,77.0,483185.0
229,77.0,14009.0
230,77.0,416800.0
231,77.0,297098.0
232,78.0,483185.0
233,78.0,14009.0
234,78.0,416800.0
235,79.0,483185.0
236,79.0,14009.0
237,79.0,416025.0
238,80.0,483185.0
239,80.0,14009.0
240,81.0,483668.0
241,81.0,14066.0
242,82.0,483668.0
243,82.0,386362.0
244,82.0,14066.0
245,83.0,483185.0
246,83.0,14009.0
247,83.0,299752.0
248,84.0,483185.0
249,84.0,14009.0
250,84.0,296365.0
251,84.0,382468.0
252,85.0,483668.0
253,85.0,14066.0
254,85.0,289069.0
255,85.0,299141.0
256,86.0,483668.0
257,86.0,14066.0
258,86.0,416025.0
259,87.0,483668.0
260,87.0,379954.0
261,87.0,14066.0
262,87.0,453152.0
263,87.0,370417.0
264,88.0,483185.0
265,88.0,14009.0
266,89.0,483668.0
267,89.0,14066.0
268,90.0,484973.0
269,90.0,14297.0
270,90.0,414994.0
271,91.0,483668.0
272,91.0,14066.0
273,92.0,483668.0
274,92.0,14066.0
275,92.0,297172.0
276,93.0,483668.0
277,93.0,14066.0
278,93.0,453940.0
279,93.0,403418.0
280,94.0,483668.0
281,94.0,14066.0
282,94.0,416025.0
283,95.0,483185.0
284,95.0,14009.0
285,95.0,453545.0
286,96.0,484973.0
287,96.0,14297.0
288,96.0,294905.0
289,96.0,455229.0
290,97.0,483668.0
291,97.0,14066.0
292,98.0,483668.0
293,98.0,13610.0
294,98.0,478130.0
295,98.0,453940.0
296,99.0,483668.0
297,99.0,377213.0
298,99.0,14066.0
299,100.0,483668.0
300,100.0,14066.0
301,101.0,483668.0
302,101.0,14066.0
303,101.0,478130.0
304,101.0,416025.0
305,102.0,483668.0
306,102.0,390176.0
307,102.0,14066.0
308,102.0,398212.0
309,103.0,483668.0
310,103.0,14066.0
311,104.0,483668.0
312,104.0,14066.0
313,104.0,416025.0
314,105.0,483668.0
315,105.0,14066.0
316,106.0,483668.0
317,106.0,14066.0
318,107.0,483185.0
319,107.0,14009.0
320,108.0,483668.0
321,108.0,14066.0
322,108.0,416025.0
323,109.0,483668.0
324,109.0,14066.0
325,109.0,416025.0
326,110.0,483668.0
327,110.0,14066.0
328,110.0,416025.0
329,111.0,483668.0
330,111.0,14066.0
331,111.0,453940.0
332,111.0,326497.0
333,111.0,476320.0
334,112.0,483185.0
335,112.0,13553.0
336,112.0,453545.0
337,113.0,483668.0
338,113.0,14066.0
339,113.0,296365.0
340,114.0,483185.0
341,114.0,14009.0
342,114.0,297172.0
343,114.0,401197.0
344,115.0,483668.0
345,115.0,14066.0
346,115.0,297172.0
347,115.0,474514.0
348,116.0,483668.0
349,116.0,14066.0
350,116.0,416025.0
351,117.0,484973.0
352,117.0,14297.0
353,117.0,414994.0
354,117.0,454834.0
355,118.0,483668.0
356,118.0,14066.0
357,119.0,483668.0
358,119.0,14066.0
359,120.0,484973.0
360,120.0,14297.0
361,121.0,483668.0
362,121.0,14066.0
363,122.0,483668.0
364,122.0,14066.0
365,123.0,481882.0
366,123.0,13780.0
367,123.0,371725.0
368,124.0,483668.0
369,124.0,14066.0
370,125.0,483185.0
371,125.0,14009.0
372,125.0,416800.0
373,126.0,483668.0
374,126.0,14066.0
375,126.0,416025.0
376,127.0,483668.0
377,127.0,14066.0
378,128.0,483185.0
379,128.0,14009.0
380,128.0,312562.0
381,129.0,483185.0
382,129.0,14009.0
383,129.0,477593.0
384,129.0,416800.0
385,130.0,483668.0
386,130.0,14066.0
387,130.0,476320.0
388,130.0,416025.0
389,131.0,483185.0
390,131.0,14009.0
