,frame,distance_sq
0,1.0,15538.0
1,1.0,338804.0
2,2.0,338980.0
3,2.0,15689.0
4,3.0,15538.0
5,4.0,15850.0
6,5.0,15850.0
7,6.0,15860.0
8,7.0,15850.0
9,8.0,382160.0
10,8.0,15689.0
11,9.0,15337.0
12,9.0,381505.0
13,10.0,15860.0
14,11.0,15170.0
15,12.0,386314.0
16,12.0,15677.0
17,13.0,15677.0
18,14.0,15850.0
19,15.0,16045.0
20,15.0,342253.0
21,16.0,16045.0
22,17.0,15506.0
23,17.0,390490.0
24,17.0,319892.0
25,18.0,15337.0
26,18.0,342641.0
27,19.0,387521.0
28,19.0,15325.0
29,19.0,343913.0
30,19.0,5194.0
31,20.0,15506.0
32,21.0,16045.0
33,22.0,16045.0
34,23.0,15689.0
35,24.0,15892.0
36,25.0,15337.0
37,26.0,15874.0
38,27.0,16033.0
39,28.0,15850.0
40,29.0,15337.0
41,29.0,343328.0
42,29.0,339805.0
43,30.0,15874.0
44,31.0,15850.0
45,32.0,15325.0
46,32.0,387521.0
47,32.0,5513.0
48,33.0,16033.0
49,34.0,16033.0
50,34.0,387521.0
51,35.0,387521.0
52,35.0,15850.0
53,35.0,384525.0
54,36.0,15850.0
55,37.0,16033.0
56,38.0,320045.0
57,38.0,15850.0
58,39.0,16033.0
59,39.0,342605.0
60,40.0,386512.0
61,40.0,16033.0
62,41.0,15892.0
63,42.0,16202.0
64,42.0,382817.0
65,43.0,15689.0
66,43.0,5513.0
67,44.0,382160.0
68,44.0,15677.0
69,45.0,15860.0
70,45.0,382160.0
71,46.0,15170.0
72,47.0,15520.0
73,48.0,387521.0
74,48.0,15850.0
75,49.0,326536.0
76,49.0,15337.0
77,49.0,382554.0
78,50.0,15874.0
79,51.0,15874.0
80,51.0,384165.0
81,52.0,15860.0
82,52.0,321058.0
83,52.0,329761.0
84,53.0,15520.0
85,53.0,385972.0
86,54.0,318034.0
87,54.0,16045.0
88,54.0,385186.0
89,55.0,15156.0
90,55.0,340000.0
91,56.0,15860.0
92,57.0,16033.0
93,57.0,325364.0
94,58.0,15005.0
95,58.0,385785.0
96,59.0,16061.0
97,59.0,340213.0
98,59.0,380185.0
99,60.0,15705.0
100,60.0,385785.0
101,61.0,15538.0
102,62.0,15892.0
103,63.0,14842.0
104,63.0,340402.0
105,63.0,296845.0
106,64.0,15373.0
107,64.0,384941.0
108,65.0,15373.0
109,65.0,381113.0
110,66.0,14661.0
111,67.0,16081.0
112,67.0,338209.0
113,68.0,15777.0
114,68.0,318730.0
115,69.0,15749.0
116,70.0,15914.0
117,70.0,382194.0
118,71.0,15373.0
119,71.0,387521.0
120,72.0,15005.0
121,73.0,16165.0
122,74.0,15874.0
123,75.0,15560.0
124,76.0,15940.0
125,77.0,15210.0
126,77.0,343009.0
127,78.0,15874.0
128,79.0,383605.0
129,79.0,15914.0
130,79.0,5256.0
