,t,fronters_count,fit
0,1.96,,11.760728654212329
1,2.0,,11.759326317978317
2,2.04,,11.75789585636712
3,2.08,,11.756437281626846
4,2.12,,11.754950606245103
5,2.16,,11.753435842948814
6,2.2,,11.75189300470404
7,2.24,,11.750322104715796
8,2.28,,11.748723156427856
9,2.32,,11.747096173522573
10,2.36,,11.745441169920667
11,2.4,,11.743758159781045
12,2.44,,11.742047157500586
13,2.48,,11.740308177713937
14,2.52,,11.738541235293313
15,2.56,,11.736746345348276
16,2.6,,11.734923523225524
17,2.64,,11.73307278450867
18,2.68,,11.731194145018021
19,2.72,,11.729287620810357
20,2.76,,11.727353228178695
21,2.8,,11.725390983652055
22,2.84,,11.723400903995241
23,2.88,,11.721383006208582
24,2.92,,11.7193373075277
25,2.96,,11.717263825423267
26,3.0,,11.71516257760075
27,3.04,,11.713033582000165
28,3.08,,11.710876856795812
29,3.12,,11.708692420396032
30,3.16,,11.70648029144293
31,3.2,,11.704240488812115
32,3.24,,11.701973031612438
33,3.28,,11.699677939185712
34,3.32,,11.697355231106439
35,3.36,,11.695004927181534
36,3.4,,11.692627047450042
37,3.44,,11.690221612182853
38,3.48,,11.687788641882415
39,3.52,,11.68532815728244
40,3.56,,11.682840179347616
41,3.6,,11.6803247292733
42,3.64,,11.677781828485227
43,3.68,,11.675211498639195
44,3.72,,11.672613761620768
45,3.76,,11.669988639544961
46,3.8,,11.667336154755924
47,3.84,,11.664656329826627
48,3.88,,11.661949187558543
49,3.92,16.0,11.659214750981318
50,3.96,16.0,11.656453043352453
51,4.0,16.0,11.653664088156962
52,4.04,16.0,11.650847909107055
53,4.08,16.0,11.648004530141788
54,4.12,16.0,11.645133975426731
55,4.16,16.0,11.642236269353626
56,4.2,16.0,11.639311436540039
57,4.24,16.0,11.63635950182901
58,4.28,16.0,11.633380490288705
59,4.32,16.0,11.630374427212061
60,4.36,16.0,11.627341338116425
61,4.4,16.0,11.624281248743198
62,4.44,16.0,11.621194185057465
63,4.48,16.0,11.61808017324763
64,4.52,16.0,11.61493923972505
65,4.56,16.0,11.611771411123655
66,4.6,16.0,11.608576714299573
67,4.64,16.0,11.605355176330761
68,4.68,16.0,11.602106824516603
69,4.72,16.0,11.59883168637754
70,4.76,16.0,11.595529789654679
71,4.8,16.0,11.592201162309394
72,4.84,16.0,11.58884583252294
73,4.88,16.0,11.585463828696053
74,4.92,16.0,11.582055179448545
75,4.96,16.0,11.578619913618903
76,5.0,16.0,11.575158060263886
77,5.04,16.0,11.57166964865811
78,5.08,16.0,11.568154708293642
79,5.12,16.0,11.564613268879574
80,5.16,16.0,11.561045360341618
81,5.2,15.995,11.55745101282167
82,5.24,15.995,11.553830256677397
83,5.28,15.99,11.550183122481808
84,5.32,15.985,11.546509641022817
85,5.36,15.98,11.542809843302816
86,5.4,15.975,11.53908376053824
87,5.44,15.97,11.535331424159121
88,5.48,15.96,11.531552865808658
89,5.52,15.95,11.527748117342755
90,5.56,15.94,11.523917210829591
91,5.6,15.93,11.520060178549159
92,5.64,15.92,11.516177052992818
93,5.68,15.91,11.512267866862832
94,5.72,15.9,11.508332653071916
95,5.76,15.89,11.50437144474277
96,5.8,15.88,11.500384275207615
97,5.84,15.87,11.496371178007735
98,5.88,15.86,11.49233218689299
99,5.92,15.85,11.488267335821353
100,5.96,15.84,11.48417665895844
101,6.0,15.83,11.480060190677015
102,6.04,15.82,11.475917965556528
103,6.08,15.81,11.471750018382611
104,6.12,15.8,11.467556384146608
105,6.16,15.79,11.46333709804508
106,6.2,15.78,11.459092195479307
107,6.24,15.77,11.454821712054803
108,6.28,15.76,11.450525683580807
109,6.32,15.75,11.44620414606979
110,6.36,15.735,11.44185713573696
111,6.4,15.72,11.437484688999735
112,6.44,15.7,11.433086842477252
113,6.48,15.685,11.42866363298985
114,6.52,15.665,11.424215097558559
115,6.56,15.65,11.41974127340458
116,6.6,15.63,11.415242197948764
117,6.64,15.61,11.410717908811103
118,6.68,15.595,11.40616844381019
119,6.72,15.575,11.401593840962704
120,6.76,15.56,11.39699413848287
121,6.8,15.535,11.392369374781943
122,6.84,15.51,11.387719588467654
123,6.88,15.485,11.383044818343686
124,6.92,15.46,11.378345103409137
125,6.96,15.44,11.373620482857962
126,7.0,15.41,11.368870996078448
127,7.04,15.38,11.364096682652653
128,7.08,15.355,11.35929758235586
129,7.12,15.325,11.354473735156027
130,7.16,15.295,11.349625181213234
131,7.2,15.27,11.344751960879119
132,7.24,15.24,11.339854114696328
133,7.28,15.22,11.33493168339794
134,7.32,15.195,11.32998470790692
135,7.36,15.165,11.325013229335536
136,7.4,15.14,11.320017288984795
137,7.44,15.115,11.31499692834388
138,7.48,15.095,11.309952189089566
139,7.52,15.075,11.304883113085644
140,7.56,15.055,11.299789742382345
141,7.6,15.035,11.294672119215763
142,7.64,15.01,11.289530286007265
143,7.68,14.99,11.284364285362903
144,7.72,14.965,11.27917416007284
145,7.76,14.94,11.27395995311074
146,7.8,14.91,11.268721707633192
147,7.84,14.88,11.263459466979105
148,7.88,14.85,11.258173274669117
149,7.92,14.82,11.252863174404986
150,7.96,14.79,11.247529210069004
151,8.0,14.76,11.242171425723377
