,t,fronters_count,fit
0,1.96,,21.83382715131948
1,2.0,,21.81444999124592
2,2.04,,21.794701191263783
3,2.08,,21.774581919572924
4,2.12,,21.75409336546192
5,2.16,,21.7332367391909
6,2.2,,21.71201327187245
7,2.24,,21.690424215350475
8,2.28,,21.668470842077184
9,2.32,,21.646154444988106
10,2.36,,21.623476337375212
11,2.4,,21.600437852758112
12,2.44,,21.57704034475342
13,2.48,,21.55328518694221
14,2.52,,21.529173772735685
15,2.56,,21.504707515238962
16,2.6,,21.47988784711309
17,2.64,,21.454716220435294
18,2.68,,21.429194106557404
19,2.72,,21.403322995962576
20,2.76,,21.377104398120284
21,2.8,,21.350539841339582
22,2.84,,21.32363087262069
23,2.88,,21.296379057504918
24,2.92,,21.26878597992293
25,2.96,,21.24085324204139
26,3.0,,21.212582464107985
27,3.04,,21.18397528429491
28,3.08,,21.155033358540702
29,3.12,,21.125758360390634
30,3.16,,21.09615198083551
31,3.2,,21.066215928148996
32,3.24,,21.035951927723456
33,3.28,,21.005361721904343
34,3.32,,20.97444706982318
35,3.36,,20.943209747229062
36,3.4,,20.911651546318843
37,3.44,,20.87977427556592
38,3.48,,20.847579759547674
39,3.52,,20.8150698387716
40,3.56,,20.782246369500147
41,3.6,,20.749111223574257
42,3.64,,20.715666288235695
43,3.68,,20.681913465948117
44,3.72,,20.647854674216944
45,3.76,,20.61349184540808
46,3.8,,20.57882692656544
47,3.84,,20.54386187922737
48,3.88,,20.508598679241963
49,3.92,20.955,20.47303931658127
50,3.96,20.945,20.43718579515448
51,4.0,20.935,20.401040132620043
52,4.04,20.925,20.364604360196815
53,4.08,20.915,20.327880522474175
54,4.12,20.905,20.290870677221225
55,4.16,20.895,20.25357689519504
56,4.2,20.88,20.216001259947987
57,4.24,20.87,20.178145867634203
58,4.28,20.855,20.140012826815177
59,4.32,20.84,20.101604258264505
60,4.36,20.825,20.062922294771873
61,4.4,20.81,20.02396908094618
62,4.44,20.795,19.984746773017985
63,4.48,20.78,19.945257538641172
64,4.52,20.76,19.905503556693922
65,4.56,20.74,19.865487017078994
66,4.6,20.72,19.825210120523366
67,4.64,20.7,19.784675078377234
68,4.68,20.68,19.743884112412413
69,4.72,20.655,19.702839454620143
70,4.76,20.635,19.66154334700836
71,4.8,20.615,19.61999804139844
72,4.84,20.595,19.578205799221397
73,4.88,20.575,19.53616889131368
74,4.92,20.55,19.493889597712457
75,4.96,20.53,19.451370207450488
76,5.0,20.51,19.408613018350618
77,5.04,20.49,19.365620336819877
78,5.08,20.47,19.32239447764323
79,5.12,20.45,19.278937763777012
80,5.16,20.425,19.235252526142084
81,5.2,20.405,19.19134110341667
82,5.24,20.38,19.147205841828992
83,5.28,20.355,19.102849094949672
84,5.32,20.34,19.058273223483923
85,5.36,20.32,19.013480595063598
86,5.4,20.295,18.96847358403907
87,5.44,20.27,18.923254571271013
88,5.48,20.245,18.877825943922073
89,5.52,20.215,18.832190095248496
90,5.56,20.19,18.78634942439167
91,5.6,20.165,18.740306336169702
92,5.64,20.14,18.694063240868964
93,5.68,20.115,18.647622554035692
94,5.72,20.09,18.60098669626763
95,5.76,20.06,18.55415809300576
96,5.8,20.025,18.507139174326152
97,5.84,20.0,18.459932374731927
98,5.88,19.975,18.412540132945388
99,5.92,19.96,18.36496489170032
100,5.96,19.93,18.317209097534533
101,6.0,19.9,18.26927520058257
102,6.04,19.875,18.221165654368733
103,6.08,19.84,18.172882915600344
104,6.12,19.81,18.12442944396134
105,6.16,19.785,18.075807701906164
106,6.2,19.75,18.027020154454036
107,6.24,19.715,17.978069268983567
108,6.28,19.675,17.928957515027797
109,6.32,19.645,17.879687364069635
110,6.36,19.6,17.830261289337763
111,6.4,19.565,17.780681765602974
112,6.44,19.525,17.730951268975033
113,6.48,19.48,17.681072276700046
114,6.52,19.44,17.63104726695834
115,6.56,19.4,17.58087871866292
116,6.6,19.36,17.530569111258515
117,6.64,19.325,17.48012092452121
118,6.68,19.28,17.429536638358698
119,6.72,19.24,17.37881873261122
120,6.76,19.195,17.327969686853102
121,6.8,19.14,17.276991980195064
122,6.84,19.095,17.225888091087164
123,6.88,19.055,17.17466049712254
124,6.92,19.01,17.12331167484186
125,6.96,18.96,17.07184409953858
126,7.0,18.91,17.02026024506496
127,7.04,18.855,16.968562583638928
128,7.08,18.8,16.916753585651776
129,7.12,18.75,16.86483571947671
130,7.16,18.695,16.812811451278257
131,7.2,18.64,16.760683244822605
132,7.24,18.59,16.70845356128883
133,7.28,18.54,16.656124859081064
134,7.32,18.49,16.60369959364164
135,7.36,18.43,16.55118021726517
136,7.4,18.375,16.498569178913655
137,7.44,18.315,16.44586892403259
138,7.48,18.255,16.393081894368095
139,7.52,18.205,16.340210527785082
140,7.56,18.145,16.287257258086534
141,7.6,18.08,16.23422451483381
142,7.64,18.01,16.18111472316809
143,7.68,17.945,16.127930303632926
144,7.72,17.875,16.07467367199791
145,7.76,17.81,16.021347239083546
146,7.8,17.74,15.967953410587217
147,7.84,17.665,15.914494586910411
148,7.88,17.595,15.86097316298709
149,7.92,17.51,15.807391528113317
150,7.96,17.44,15.753752065778084
151,8.0,17.365,15.700057153495418
152,8.04,17.28,15.646309162637728
153,8.08,17.21,15.59251045827044
154,8.12,17.13,15.538663398987932
155,8.16,17.04,15.48477033675075
156,8.2,16.955,15.430833616724197
157,8.24,16.875,15.376855577118196
158,8.28,16.805,15.32283854902855
159,8.32,16.73,15.268784856279549
160,8.36,16.66,15.214696815267953
161,8.4,16.57,15.160576734808359
162,8.44,16.49,15.106426915979988
163,8.48,16.41,15.052249651974869
164,8.52,16.32,14.998047227947477
165,8.56,16.24,14.943821920865762
166,8.6,16.16,14.889575999363682
167,8.64,16.08,14.835311723595176
168,8.68,16.0,14.781031345089602
169,8.72,15.92,14.726737106608677
170,8.76,15.84,14.672431242004908
171,8.8,15.77,14.61811597608152
172,8.84,15.685,14.563793524453907
173,8.88,15.6,14.509466093412634
174,8.92,15.52,14.455135879787921
175,8.96,15.435,14.400805070815728
176,9.0,15.345,14.346475844005369
177,9.04,15.26,14.292150367008674
178,9.08,15.165,14.237830797490773
179,9.12,15.065,14.183519283002415
180,9.16,14.98,14.129217960853886
181,9.2,14.895,14.074928957990561
182,9.24,14.795,14.020654390869996
183,9.28,14.675,13.9663963653407
184,9.32,14.57,13.912156976522464
185,9.36,14.465,13.857938308688396
186,9.4,14.35,13.803742435148479
187,9.44,14.24,13.749571418134892
