,filename,robots_skirts[cm],frames_No,kissing_time,bottype
0,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,85.0,3.4,fronter
1,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,87.0,3.48,fronter
2,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,55.0,2.2,fronter
3,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,70.0,2.8,fronter
4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,77.0,3.08,fronter
5,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,176.0,7.04,fronter
6,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,186.0,7.44,fronter
7,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,111.0,4.44,fronter
8,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,70.0,2.8,fronter
9,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,62.0,2.48,fronter
10,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,79.0,3.16,fronter
11,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,139.0,5.56,fronter
12,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,221.0,8.84,fronter
13,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,11.44,104.0,4.16,fronter
14,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,312.0,12.48,fronter
15,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,254.0,10.16,fronter
16,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,391.0,15.64,fronter
17,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,397.0,15.88,fronter
18,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,571.0,22.84,fronter
19,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,377.0,15.08,fronter
20,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,412.0,16.48,fronter
21,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,556.0,22.24,fronter
22,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,817.0,32.68,fronter
23,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,288.0,11.52,fronter
24,D:\Eden\dress_exp\7_5_24\C0771.MP4_locatedFull20240508_bot_Eden_test.csv,13.1,381.0,15.24,fronter
25,D:\Eden\dress_exp\7_5_24\C0772.MP4_locatedFull20240508_bot_Eden_test.csv,9.78,46.0,1.84,fronter
26,D:\Eden\dress_exp\7_5_24\C0772.MP4_locatedFull20240508_bot_Eden_test.csv,9.78,104.0,4.16,fronter
27,D:\Eden\dress_exp\7_5_24\C0772.MP4_locatedFull20240508_bot_Eden_test.csv,9.78,69.0,2.76,fronter
