date,operator,bottype,stars,bot_1_No,bot_2_No,bots,dress_diameter_bot_1,dress_diameter_bot_2,folder,path,LocatingFile,minCircleRadius,maxCircleRadius,startingVoltage,endingVoltage,fps,cpp,start_min,end_min,arenaSize[cm],comments,backedup,motorVal,production,linkingFileName,botLocatingFileName,botLinkingFileName,miniVideoFileNamePack,locatingFileNamePack,linkingFileNamePack
20240508,Eden,fronter,,5,10,2,9.78,9.78,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0766.MP4,,,,,,,,,,,,,,,,,,,,
20240508,Eden,fronter,,5,10,2,9.78,9.78,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0767.MP4,,,,,,,,,,,,,,,,,,,,
20240508,Eden,fronter,,5,10,,,,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0768.MP4,,,,,,,,,,,,,,,,,,,,
20240508,Eden,fronter,,5,12,2,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,0:04,0:08,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,0:13,0:17,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,0:32,0:35,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,1:02,1:05,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,1:12,1:16,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,1:17,1:25,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,1:29,1:38,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,1:43,1:49,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,1:53,1:57,,,,,,,,,,,
,,fronter,,,,,11.44,11.44,D:\Eden\dress_exp\7_5_24,D:\Eden\dress_exp\7_5_24\C0770.MP4,D:\Eden\dress_exp\7_5_24\C0770.MP4_locatedFull20240508_bot_Eden_test.csv,,,,,,,2:02,2:05,,,,,,,,,,,
