bottype,robots_skirts[cm],frames_No,kissing_time
aligner,6.46,36.92307692307692,1.4769230769230768
aligner,9.78,35.53333333333333,1.4213333333333333
aligner,11.44,65.66666666666667,2.6266666666666665
aligner,13.1,82.66666666666667,3.3066666666666666
aligner,19.6,82.21428571428571,3.2885714285714287
aligner,23.0,293.16,11.726400000000002
fronter,6.46,32.0,1.28
fronter,9.78,50.888888888888886,2.035555555555556
fronter,11.44,108.71428571428571,4.348571428571429
fronter,13.1,432.3636363636364,17.294545454545457
fronter,19.6,9333.70588235294,373.34823529411767
fronter,23.0,9084.133333333333,363.3653333333333
