date,operator,bottype,No.,angle,stars,bots,folder,path,BotLocatingFile,BatteryLocatingFile,start_min,end_min,starting point
20240617,Eden,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:06,0:09,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:10,0:14,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:16,0:19,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:20,0:25,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:27,0:32,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:33,0:37,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:38,0:45,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:46,0:57,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:00,1:11,up
,,fronter,5,5.4,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:13,1:23,up
