bottype,slope,filename,slope_err,A,index,starting_point,p0_1,p0_2
aligner,0.8,14,14,14,14,0,0,0
aligner,2.1,29,29,29,29,0,0,0
aligner,4.1,7,7,7,7,0,0,0
aligner,5.4,8,8,8,8,0,0,0
aligner,5.55,23,23,23,23,0,0,0
aligner,7.25,8,8,8,8,0,0,0
aligner,7.7,8,8,8,8,0,0,0
aligner,9.4,33,33,33,33,0,0,0
aligner,11.35,21,21,21,21,0,0,0
fronter,0.8,19,19,19,19,0,0,0
fronter,2.25,14,14,14,14,0,0,0
fronter,4.35,13,13,13,13,0,0,0
fronter,5.4,13,13,13,13,0,0,0
fronter,7.25,14,14,14,14,0,0,0
fronter,9.4,11,11,11,11,0,0,0
fronter,11.5,14,14,14,14,0,0,0
