No.,date,operator,bottype,No.,angle,angle_err,stars,bots,folder,path,BotLocatingFile,BatteryLocatingFile,start_min,end_min,starting_point,p0_1,p0_2
1,20240617,Eden,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:06,0:08,up,,
2,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:10,0:12,up,,
3,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:16,0:17.5,up,,
4,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:20,0:22,up,,
5,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:27,0:29,up,,
6,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:33,0:35,up,,
7,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:38,0:40,up,,
8,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,0:46,0:49,up,,
9,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:00,1:03,up,,
10,,,fronter,5,5.4,0.1,,,D:\Eden\kappa_measurements_home_made_bots,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_bot.csv,D:\Eden\kappa_measurements_home_made_bots\C0871.MP4_locatedFull20240602_bot_Eden_test_battery.csv,1:13,1:14.5,up,,
