frame,frame,x,y,r,particle
1,1,665.5,543.5,104.3,0
2,2,664.5,543.5,104.3,0
3,3,665.5,543.5,104.3,0
4,4,665.5,543.5,104.3,0
5,5,665.5,543.5,104.3,0
6,6,664.5,543.5,104.3,0
7,7,665.5,543.5,104.3,0
8,8,665.5,543.5,104.3,0
9,9,664.5,543.5,104.3,0
10,10,665.5,543.5,104.3,0
11,11,665.5,543.5,104.3,0
12,12,664.5,543.5,104.3,0
13,13,665.5,543.5,104.3,0
14,14,664.5,543.5,104.3,0
15,15,665.5,543.5,104.3,0
16,16,665.5,543.5,104.3,0
17,17,664.5,543.5,104.3,0
18,18,665.5,543.5,104.3,0
19,19,665.5,543.5,104.3,0
20,20,665.5,543.5,104.3,0
21,21,665.5,543.5,104.3,0
22,22,664.5,543.5,104.3,0
23,23,665.5,543.5,104.3,0
24,24,665.5,543.5,104.3,0
25,25,665.5,543.5,104.3,0
26,26,665.5,543.5,104.3,0
27,27,665.5,543.5,104.3,0
28,28,665.5,543.5,104.3,0
29,29,665.5,543.5,104.3,0
30,30,665.5,543.5,104.3,0
31,31,665.5,543.5,104.3,0
32,32,665.5,543.5,104.3,0
33,33,664.5,543.5,104.3,0
34,34,664.5,543.5,104.3,0
35,35,665.5,543.5,104.3,0
36,36,665.5,543.5,104.3,0
37,37,665.5,543.5,104.3,0
38,38,664.5,543.5,104.3,0
39,39,664.5,543.5,104.3,0
40,40,665.5,543.5,104.3,0
41,41,665.5,543.5,104.3,0
42,42,665.5,543.5,104.3,0
43,43,662.5,544.5,105.4,0
44,44,664.5,543.5,104.3,0
45,45,665.5,543.5,104.3,0
46,46,664.5,543.5,104.3,0
47,47,664.5,543.5,104.3,0
48,48,665.5,543.5,104.3,0
49,49,665.5,543.5,104.3,0
50,50,665.5,543.5,104.3,0
51,51,665.5,543.5,104.3,0
52,52,665.5,543.5,104.3,0
53,53,664.5,543.5,104.3,0
54,54,664.5,543.5,104.3,0
55,55,665.5,543.5,104.3,0
56,56,664.5,543.5,104.3,0
57,57,665.5,543.5,104.3,0
58,58,665.5,543.5,104.3,0
59,59,665.5,543.5,104.3,0
60,60,664.5,543.5,104.3,0
61,61,664.5,543.5,104.3,0
62,62,665.5,543.5,104.3,0
63,63,665.5,543.5,104.3,0
64,64,664.5,543.5,104.3,0
65,65,665.5,543.5,104.3,0
66,66,664.5,543.5,104.3,0
67,67,664.5,543.5,104.3,0
68,68,665.5,543.5,104.3,0
69,69,664.5,543.5,104.3,0
70,70,664.5,543.5,104.3,0
71,71,664.5,543.5,104.3,0
72,72,664.5,543.5,104.3,0
73,73,665.5,543.5,104.3,0
74,74,665.5,543.5,104.3,0
75,75,665.5,543.5,104.3,0
76,76,665.5,543.5,104.3,0
77,77,664.5,543.5,104.3,0
78,78,664.5,543.5,104.3,0
79,79,664.5,543.5,104.3,0
80,80,664.5,543.5,104.3,0
81,81,664.5,543.5,104.3,0
82,82,664.5,543.5,104.3,0
83,83,664.5,545.5,104.3,0
84,84,665.5,543.5,104.3,0
85,85,664.5,543.5,104.3,0
86,86,664.5,543.5,104.3,0
87,87,664.5,543.5,104.3,0
88,88,665.5,543.5,104.3,0
89,89,664.5,543.5,104.3,0
90,90,665.5,543.5,104.3,0
91,91,665.5,543.5,104.3,0
92,92,665.5,543.5,104.3,0
93,93,664.5,543.5,104.3,0
94,94,664.5,543.5,104.3,0
95,95,664.5,543.5,104.3,0
96,96,664.5,543.5,104.3,0
97,97,665.5,543.5,104.3,0
98,98,665.5,543.5,104.3,0
99,99,665.5,543.5,104.3,0
100,100,665.5,543.5,104.3,0
101,101,665.5,543.5,104.3,0
102,102,665.5,543.5,104.3,0
103,103,664.5,543.5,104.3,0
104,104,665.5,543.5,104.3,0
105,105,665.5,543.5,104.3,0
106,106,665.5,543.5,104.3,0
107,107,665.5,543.5,104.3,0
108,108,664.5,543.5,104.3,0
109,109,664.5,543.5,104.3,0
110,110,665.5,543.5,104.3,0
111,111,664.5,543.5,104.3,0
112,112,664.5,543.5,104.3,0
113,113,665.5,543.5,104.3,0
114,114,665.5,543.5,104.3,0
115,115,665.5,543.5,104.3,0
116,116,664.5,543.5,104.3,0
117,117,665.5,543.5,104.3,0
118,118,665.5,543.5,104.3,0
119,119,664.5,543.5,104.3,0
120,120,665.5,543.5,104.3,0
121,121,664.5,543.5,104.3,0
122,122,664.5,543.5,104.3,0
123,123,664.5,543.5,104.3,0
124,124,665.5,543.5,104.3,0
125,125,665.5,543.5,104.3,0
126,126,664.5,542.5,103.2,0
127,127,664.5,543.5,104.3,0
128,128,664.5,543.5,104.3,0
129,129,664.5,543.5,104.3,0
130,130,664.5,543.5,104.3,0
131,131,664.5,543.5,104.3,0
132,132,664.5,543.5,104.3,0
133,133,665.5,543.5,104.3,0
134,134,664.5,543.5,104.3,0
135,135,664.5,543.5,104.3,0
136,136,664.5,543.5,104.3,0
137,137,664.5,543.5,104.3,0
138,138,664.5,543.5,104.3,0
139,139,664.5,543.5,104.3,0
140,140,664.5,543.5,104.3,0
141,141,664.5,543.5,104.3,0
142,142,665.5,543.5,104.3,0
143,143,665.5,543.5,104.3,0
144,144,665.5,543.5,104.3,0
145,145,665.5,543.5,104.3,0
146,146,665.5,543.5,104.3,0
147,147,664.5,543.5,104.3,0
148,148,664.5,543.5,104.3,0
149,149,664.5,543.5,104.3,0
150,150,665.5,543.5,104.3,0
151,151,664.5,543.5,104.3,0
152,152,665.5,543.5,104.3,0
153,153,665.5,543.5,104.3,0
154,154,664.5,543.5,104.3,0
155,155,665.5,543.5,104.3,0
156,156,665.5,543.5,104.3,0
157,157,665.5,543.5,104.3,0
158,158,664.5,543.5,104.3,0
159,159,664.5,543.5,104.3,0
160,160,664.5,543.5,104.3,0
161,161,664.5,543.5,104.3,0
162,162,665.5,543.5,104.3,0
163,163,664.5,543.5,104.3,0
164,164,664.5,543.5,104.3,0
165,165,664.5,545.5,104.3,0
166,166,664.5,543.5,104.3,0
167,167,664.5,543.5,104.3,0
168,168,664.5,543.5,104.3,0
169,169,665.5,543.5,104.3,0
170,170,665.5,543.5,104.3,0
171,171,665.5,543.5,104.3,0
172,172,665.5,543.5,104.3,0
173,173,665.5,543.5,104.3,0
174,174,664.5,543.5,104.3,0
175,175,665.5,543.5,104.3,0
176,176,664.5,543.5,104.3,0
177,177,664.5,543.5,104.3,0
178,178,664.5,543.5,104.3,0
179,179,664.5,543.5,104.3,0
180,180,664.5,543.5,104.3,0
181,181,664.5,543.5,104.3,0
182,182,664.5,543.5,104.3,0
183,183,664.5,543.5,104.3,0
184,184,664.5,543.5,104.3,0
185,185,665.5,543.5,104.3,0
186,186,665.5,543.5,104.3,0
187,187,665.5,543.5,104.3,0
188,188,664.5,543.5,104.3,0
189,189,664.5,544.5,103.2,0
190,190,664.5,543.5,104.3,0
191,191,664.5,543.5,104.3,0
192,192,664.5,545.5,104.3,0
193,193,664.5,543.5,104.3,0
194,194,665.5,543.5,104.3,0
195,195,664.5,543.5,104.3,0
196,196,664.5,543.5,104.3,0
197,197,664.5,543.5,104.3,0
198,198,665.5,543.5,104.3,0
199,199,665.5,543.5,104.3,0
200,200,664.5,543.5,104.3,0
201,201,664.5,543.5,104.3,0
202,202,665.5,543.5,104.3,0
203,203,665.5,543.5,104.3,0
204,204,665.5,543.5,104.3,0
205,205,665.5,543.5,104.3,0
206,206,664.5,543.5,104.3,0
207,207,664.5,543.5,104.3,0
208,208,664.5,543.5,104.3,0
209,209,664.5,543.5,104.3,0
210,210,664.5,543.5,104.3,0
211,211,664.5,543.5,104.3,0
212,212,665.5,543.5,104.3,0
213,213,665.5,543.5,104.3,0
214,214,665.5,543.5,104.3,0
215,215,665.5,543.5,104.3,0
216,216,665.5,543.5,104.3,0
217,217,664.5,544.5,103.2,0
218,218,664.5,543.5,104.3,0
219,219,665.5,543.5,104.3,0
220,220,664.5,543.5,104.3,0
221,221,664.5,543.5,104.3,0
222,222,662.5,544.5,105.4,0
223,223,665.5,543.5,104.3,0
224,224,665.5,543.5,104.3,0
225,225,665.5,543.5,104.3,0
226,226,665.5,543.5,104.3,0
227,227,665.5,543.5,104.3,0
228,228,665.5,543.5,104.3,0
229,229,665.5,543.5,104.3,0
230,230,664.5,543.5,104.3,0
231,231,665.5,543.5,104.3,0
232,232,665.5,543.5,104.3,0
233,233,665.5,543.5,104.3,0
234,234,665.5,543.5,104.3,0
235,235,664.5,543.5,104.3,0
236,236,665.5,543.5,104.3,0
237,237,665.5,543.5,104.3,0
238,238,665.5,543.5,104.3,0
239,239,664.5,544.5,103.2,0
240,240,664.5,543.5,104.3,0
241,241,664.5,543.5,104.3,0
242,242,664.5,543.5,104.3,0
243,243,664.5,543.5,104.3,0
244,244,664.5,543.5,104.3,0
245,245,664.5,543.5,104.3,0
246,246,664.5,543.5,104.3,0
247,247,664.5,543.5,104.3,0
248,248,664.5,543.5,104.3,0
249,249,664.5,543.5,104.3,0
250,250,664.5,543.5,104.3,0
251,251,664.5,544.5,103.2,0
252,252,663.5,542.5,103.2,0
253,253,664.5,543.5,104.3,0
254,254,664.5,544.5,103.2,0
255,255,664.5,544.5,103.2,0
256,256,664.5,544.5,103.2,0
257,257,664.5,543.5,104.3,0
258,258,663.5,542.5,103.2,0
259,259,664.5,543.5,104.3,0
260,260,663.5,543.5,104.3,0
261,261,664.5,542.5,103.2,0
262,262,664.5,542.5,103.2,0
263,263,663.5,542.5,103.2,0
264,264,662.5,542.5,104.3,0
265,265,663.5,544.5,103.2,0
266,266,662.5,542.5,104.3,0
267,267,662.5,542.5,104.3,0
268,268,662.5,542.5,104.3,0
269,269,663.5,542.5,103.2,0
270,270,663.5,543.5,104.3,0
271,271,663.5,545.5,104.3,0
272,272,664.5,543.5,104.3,0
273,273,663.5,543.5,104.3,0
274,274,663.5,543.5,104.3,0
