frame,frame,x,y,r,particle
1,1,671.5,531.5,103.2,0
2,2,673.5,529.5,105.4,0
3,3,673.5,529.5,105.4,0
4,4,671.5,534.5,105.4,0
5,5,671.5,532.5,104.3,0
6,6,672.5,532.5,105.4,0
7,7,671.5,534.5,105.4,0
8,8,671.5,534.5,105.4,0
9,9,671.5,532.5,104.3,0
10,10,671.5,532.5,104.3,0
11,11,672.5,531.5,103.2,0
12,12,671.5,532.5,104.3,0
13,13,671.5,532.5,104.3,0
14,14,673.5,529.5,105.4,0
15,15,673.5,529.5,105.4,0
16,16,671.5,532.5,104.3,0
17,17,671.5,534.5,105.4,0
18,18,671.5,532.5,104.3,0
19,19,671.5,532.5,104.3,0
20,20,671.5,532.5,104.3,0
21,21,671.5,534.5,105.4,0
22,22,671.5,532.5,104.3,0
23,23,672.5,532.5,105.4,0
24,24,671.5,532.5,104.3,0
25,25,671.5,532.5,104.3,0
26,26,672.5,531.5,103.2,0
27,27,671.5,532.5,104.3,0
28,28,671.5,532.5,104.3,0
29,29,673.5,529.5,105.4,0
30,30,673.5,529.5,105.4,0
31,31,671.5,532.5,104.3,0
32,32,671.5,532.5,104.3,0
33,33,671.5,532.5,104.3,0
34,34,672.5,530.5,104.3,0
35,35,671.5,532.5,104.3,0
36,36,671.5,532.5,104.3,0
37,37,671.5,532.5,104.3,0
38,38,673.5,529.5,105.4,0
39,39,671.5,531.5,103.2,0
40,40,670.5,533.5,105.4,0
41,41,672.5,531.5,103.2,0
42,42,671.5,532.5,104.3,0
43,43,673.5,529.5,105.4,0
44,44,671.5,532.5,104.3,0
45,45,671.5,532.5,104.3,0
46,46,671.5,532.5,104.3,0
47,47,672.5,532.5,105.4,0
48,48,672.5,532.5,105.4,0
49,49,672.5,532.5,105.4,0
50,50,671.5,532.5,104.3,0
51,51,671.5,531.5,103.2,0
52,52,671.5,532.5,104.3,0
53,53,671.5,532.5,104.3,0
54,54,671.5,532.5,104.3,0
55,55,671.5,532.5,104.3,0
56,56,671.5,532.5,104.3,0
57,57,671.5,532.5,104.3,0
58,58,672.5,531.5,103.2,0
59,59,671.5,532.5,104.3,0
60,60,671.5,531.5,103.2,0
61,61,673.5,529.5,105.4,0
62,62,672.5,532.5,105.4,0
63,63,671.5,532.5,104.3,0
64,64,672.5,532.5,105.4,0
65,65,672.5,531.5,103.2,0
66,66,671.5,532.5,104.3,0
67,67,671.5,532.5,104.3,0
68,68,671.5,531.5,103.2,0
69,69,671.5,531.5,103.2,0
70,70,671.5,531.5,103.2,0
71,71,672.5,532.5,105.4,0
72,72,671.5,532.5,104.3,0
73,73,672.5,531.5,103.2,0
74,74,672.5,532.5,105.4,0
75,75,672.5,531.5,103.2,0
76,76,672.5,531.5,103.2,0
77,77,672.5,530.5,104.3,0
78,78,672.5,532.5,105.4,0
79,79,672.5,532.5,105.4,0
80,80,673.5,529.5,105.4,0
81,81,671.5,532.5,104.3,0
82,82,672.5,531.5,103.2,0
83,83,673.5,529.5,105.4,0
84,84,671.5,531.5,103.2,0
85,85,671.5,531.5,103.2,0
86,86,672.5,531.5,103.2,0
87,87,672.5,532.5,105.4,0
88,88,672.5,531.5,103.2,0
89,89,672.5,531.5,103.2,0
90,90,672.5,532.5,105.4,0
91,91,672.5,531.5,103.2,0
92,92,671.5,532.5,104.3,0
93,93,672.5,531.5,103.2,0
94,94,672.5,531.5,103.2,0
95,95,672.5,532.5,105.4,0
96,96,672.5,532.5,105.4,0
97,97,673.5,529.5,105.4,0
98,98,672.5,532.5,105.4,0
99,99,671.5,532.5,104.3,0
100,100,672.5,532.5,105.4,0
101,101,672.5,531.5,103.2,0
102,102,673.5,529.5,105.4,0
103,103,671.5,531.5,103.2,0
104,104,672.5,532.5,105.4,0
105,105,672.5,532.5,105.4,0
106,106,672.5,532.5,105.4,0
107,107,673.5,529.5,105.4,0
108,108,671.5,532.5,104.3,0
109,109,672.5,532.5,105.4,0
110,110,671.5,532.5,104.3,0
111,111,671.5,532.5,104.3,0
112,112,672.5,532.5,105.4,0
113,113,671.5,532.5,104.3,0
114,114,671.5,530.5,104.3,0
115,115,671.5,531.5,103.2,0
116,116,671.5,532.5,104.3,0
117,117,671.5,531.5,103.2,0
118,118,672.5,532.5,105.4,0
119,119,673.5,529.5,105.4,0
120,120,673.5,529.5,105.4,0
121,121,671.5,532.5,104.3,0
122,122,672.5,531.5,103.2,0
123,123,672.5,531.5,103.2,0
124,124,673.5,529.5,105.4,0
125,125,672.5,532.5,105.4,0
126,126,671.5,532.5,104.3,0
127,127,672.5,532.5,105.4,0
