,frame,x,y,r
0,1.0,645.5,545.5,119.3
1,2.0,645.5,546.5,117.1
2,3.0,644.5,545.5,118.2
3,4.0,645.5,545.5,119.3
4,5.0,645.5,546.5,117.1
5,6.0,645.5,546.5,117.1
6,7.0,644.5,546.5,118.2
7,8.0,645.5,545.5,119.3
8,9.0,645.5,545.5,119.3
9,10.0,645.5,545.5,119.3
10,11.0,645.5,545.5,119.3
11,12.0,645.5,545.5,119.3
12,13.0,645.5,545.5,119.3
13,14.0,645.5,545.5,119.3
14,15.0,645.5,545.5,119.3
15,16.0,645.5,546.5,117.1
16,17.0,645.5,545.5,119.3
17,18.0,645.5,545.5,119.3
18,19.0,645.5,545.5,119.3
19,20.0,645.5,545.5,117.1
20,21.0,645.5,545.5,119.3
21,22.0,645.5,545.5,119.3
22,23.0,645.5,545.5,119.3
23,24.0,644.5,545.5,118.2
24,25.0,645.5,545.5,119.3
25,26.0,645.5,545.5,119.3
26,27.0,645.5,545.5,119.3
27,28.0,644.5,545.5,118.2
28,29.0,645.5,545.5,119.3
29,30.0,645.5,545.5,119.3
30,31.0,645.5,544.5,118.2
31,32.0,645.5,545.5,119.3
32,33.0,644.5,545.5,118.2
33,34.0,645.5,545.5,119.3
34,35.0,644.5,545.5,118.2
35,36.0,645.5,545.5,119.3
36,37.0,644.5,545.5,118.2
37,38.0,644.5,545.5,118.2
38,39.0,644.5,545.5,118.2
39,40.0,644.5,545.5,118.2
40,41.0,645.5,545.5,117.1
41,42.0,644.5,545.5,118.2
42,43.0,644.5,545.5,118.2
43,44.0,645.5,545.5,117.1
44,45.0,645.5,546.5,119.3
45,46.0,645.5,546.5,119.3
46,47.0,645.5,545.5,119.3
47,48.0,645.5,545.5,119.3
48,49.0,644.5,545.5,118.2
49,50.0,645.5,545.5,119.3
50,51.0,645.5,545.5,119.3
51,52.0,645.5,546.5,117.1
52,53.0,645.5,545.5,117.1
53,54.0,645.5,545.5,117.1
54,55.0,645.5,545.5,119.3
55,56.0,645.5,545.5,119.3
56,57.0,645.5,545.5,119.3
57,58.0,646.5,545.5,118.2
58,59.0,645.5,545.5,119.3
59,60.0,645.5,545.5,119.3
60,61.0,645.5,545.5,119.3
