,frame,x,y,r
0,1.0,780.5,545.5,11.4
1,1.0,358.5,44.5,11.4
2,2.0,782.5,546.5,8.0
3,2.0,132.5,874.5,6.9
4,2.0,1042.5,83.5,6.9
5,3.0,782.5,545.5,8.0
6,4.0,359.5,44.5,11.4
7,4.0,780.5,544.5,8.0
8,5.0,136.5,884.5,11.4
9,5.0,781.5,543.5,9.1
10,6.0,780.5,545.5,11.4
11,7.0,782.5,543.5,9.6
12,7.0,357.5,45.5,9.1
13,8.0,782.5,545.5,11.4
14,8.0,152.5,841.5,11.4
15,8.0,357.5,45.5,11.4
16,9.0,783.5,547.5,9.1
17,10.0,779.5,545.5,10.3
18,10.0,1027.5,101.5,10.3
19,11.0,782.5,543.5,9.6
20,11.0,196.5,895.5,11.3
21,11.0,133.5,877.5,10.3
22,12.0,782.5,543.5,9.6
23,13.0,782.5,546.5,10.3
24,13.0,152.5,909.5,11.4
25,14.0,780.5,544.5,8.0
26,15.0,780.5,547.5,10.3
27,15.0,132.5,874.5,6.9
28,16.0,782.5,546.5,8.0
29,17.0,779.5,545.5,10.3
30,17.0,357.5,44.5,9.1
31,18.0,782.5,543.5,9.6
32,19.0,782.5,545.5,11.4
33,19.0,152.5,909.5,11.4
34,20.0,781.5,543.5,9.1
35,21.0,782.5,544.5,10.3
36,21.0,152.5,909.5,11.4
37,21.0,1149.5,253.5,11.4
38,22.0,782.5,544.5,10.3
39,22.0,210.5,919.5,10.3
40,22.0,150.5,839.5,6.9
41,23.0,782.5,544.5,10.3
42,23.0,141.5,891.5,6.9
43,24.0,782.5,545.5,11.4
44,24.0,358.5,44.5,11.4
45,25.0,783.5,547.5,9.1
46,26.0,783.5,547.5,9.1
47,26.0,358.5,45.5,11.4
48,27.0,782.5,543.5,9.6
49,28.0,782.5,543.5,9.6
50,29.0,781.5,545.5,11.4
51,29.0,152.5,841.5,11.4
52,30.0,782.5,545.5,8.0
53,31.0,779.5,545.5,10.3
54,31.0,356.5,41.5,10.3
55,32.0,780.5,545.5,11.4
56,32.0,152.5,909.5,11.4
57,33.0,782.5,543.5,9.1
58,34.0,783.5,547.5,9.1
59,35.0,782.5,545.5,11.4
60,35.0,356.5,44.5,9.1
61,36.0,779.5,545.5,10.3
62,37.0,150.5,906.5,11.4
63,37.0,782.5,543.5,10.1
64,37.0,133.5,875.5,6.6
65,38.0,781.5,545.5,11.4
66,38.0,696.5,590.5,9.1
67,39.0,782.5,545.5,11.4
68,39.0,152.5,909.5,11.4
69,40.0,781.5,545.5,11.4
70,40.0,152.5,909.5,11.4
71,40.0,358.5,44.5,6.9
72,41.0,779.5,546.5,10.3
73,42.0,782.5,546.5,6.9
74,43.0,779.5,546.5,10.3
75,43.0,691.5,604.5,11.4
76,44.0,783.5,541.5,11.4
77,44.0,357.5,45.5,10.3
78,45.0,781.5,545.5,11.4
79,46.0,782.5,546.5,10.3
80,47.0,779.5,545.5,10.3
81,47.0,152.5,909.5,11.4
82,48.0,358.5,45.5,11.4
83,48.0,691.5,604.5,11.4
84,48.0,780.5,545.5,11.4
85,48.0,227.5,181.5,8.0
86,49.0,782.5,543.5,9.6
87,49.0,359.5,43.5,10.3
88,50.0,783.5,541.5,11.4
89,51.0,782.5,546.5,8.0
90,52.0,779.5,546.5,10.3
91,53.0,781.5,545.5,11.4
92,53.0,132.5,876.5,8.0
93,54.0,782.5,546.5,10.3
94,54.0,149.5,838.5,8.0
95,55.0,782.5,545.5,11.4
96,56.0,781.5,545.5,11.4
97,56.0,691.5,604.5,11.4
98,57.0,779.5,546.5,10.3
99,57.0,358.5,42.5,10.3
100,58.0,782.5,543.5,9.6
101,59.0,782.5,543.5,9.6
102,60.0,783.5,547.5,9.1
103,60.0,357.5,45.5,11.4
104,60.0,1148.5,253.5,11.4
105,61.0,359.5,45.5,10.3
106,61.0,782.5,546.5,6.9
107,62.0,779.5,546.5,10.3
108,63.0,782.5,543.5,9.6
109,64.0,782.5,546.5,10.3
110,65.0,152.5,909.5,11.4
111,65.0,780.5,545.5,11.4
112,65.0,152.5,842.5,6.9
113,66.0,779.5,546.5,10.3
114,66.0,358.5,44.5,6.9
115,67.0,783.5,547.5,9.1
