,frame,x,y,r
0,1.0,27.5,308.5,8.0
1,1.0,746.5,621.5,10.3
2,2.0,27.5,308.5,8.0
3,2.0,746.5,621.5,10.3
4,3.0,27.5,308.5,8.0
5,3.0,747.5,620.5,10.3
6,3.0,17.5,339.5,11.4
7,4.0,27.5,308.5,8.0
8,4.0,747.5,620.5,10.3
9,4.0,38.5,279.5,9.1
10,5.0,27.5,308.5,8.0
11,5.0,747.5,620.5,10.3
12,5.0,17.5,338.5,10.3
13,5.0,1034.5,947.5,6.9
14,6.0,27.5,308.5,8.0
15,6.0,747.5,620.5,10.3
16,7.0,27.5,308.5,8.0
17,7.0,32.5,344.5,10.3
18,7.0,747.5,620.5,10.3
19,8.0,27.5,308.5,8.0
20,8.0,746.5,619.5,9.1
21,8.0,1033.5,947.5,9.1
22,9.0,27.5,308.5,8.0
23,9.0,746.5,619.5,9.1
24,9.0,35.5,352.5,6.9
25,10.0,27.5,308.5,8.0
26,10.0,747.5,620.5,10.3
27,11.0,27.5,308.5,8.0
28,11.0,746.5,621.5,10.3
29,11.0,16.5,341.5,6.9
30,12.0,27.5,308.5,8.0
31,12.0,747.5,620.5,10.3
32,13.0,27.5,308.5,8.0
33,13.0,1032.5,947.5,9.1
34,13.0,747.5,620.5,10.3
35,13.0,32.5,345.5,9.1
36,14.0,27.5,308.5,8.0
37,14.0,747.5,620.5,10.3
38,14.0,1120.5,848.5,11.4
39,14.0,33.5,345.5,6.9
40,15.0,27.5,308.5,8.0
41,15.0,746.5,621.5,8.0
42,15.0,1184.5,922.5,11.4
43,16.0,27.5,308.5,8.0
44,16.0,747.5,620.5,10.3
45,16.0,32.5,345.5,6.9
46,17.0,27.5,308.5,8.0
47,17.0,746.5,619.5,9.1
48,18.0,27.5,308.5,8.0
49,18.0,746.5,619.5,9.1
50,19.0,27.5,308.5,8.0
51,19.0,746.5,619.5,9.1
52,19.0,1045.5,959.5,7.8
53,20.0,27.5,308.5,8.0
54,20.0,746.5,619.5,9.1
55,21.0,27.5,308.5,8.0
56,21.0,700.5,599.5,10.3
57,21.0,746.5,621.5,8.0
58,22.0,27.5,308.5,8.0
59,22.0,746.5,621.5,10.3
60,22.0,35.5,352.5,6.9
61,23.0,27.5,308.5,8.0
62,23.0,747.5,620.5,10.3
63,24.0,27.5,308.5,8.0
64,24.0,1031.5,946.5,10.3
65,24.0,747.5,620.5,10.3
66,25.0,27.5,308.5,8.0
67,25.0,1038.5,951.5,10.3
68,25.0,746.5,621.5,8.0
69,25.0,16.5,345.5,6.9
70,26.0,27.5,308.5,8.0
71,26.0,746.5,621.5,10.3
72,26.0,1038.5,951.5,10.3
73,27.0,24.5,308.5,10.3
74,27.0,746.5,621.5,8.0
75,27.0,1038.5,950.5,9.1
76,28.0,27.5,308.5,8.0
77,28.0,746.5,619.5,9.1
78,28.0,1184.5,922.5,11.4
79,28.0,35.5,352.5,6.9
80,29.0,24.5,308.5,10.3
81,29.0,746.5,621.5,8.0
82,30.0,24.5,308.5,10.3
83,30.0,747.5,620.5,10.3
84,30.0,16.5,344.5,9.1
85,30.0,1030.5,947.5,6.9
86,31.0,27.5,308.5,8.0
87,31.0,748.5,619.5,9.1
88,31.0,32.5,344.5,6.9
89,32.0,27.5,308.5,8.0
90,32.0,1145.5,312.5,10.2
91,32.0,746.5,621.5,8.0
92,32.0,33.5,345.5,6.9
93,33.0,27.5,308.5,8.0
94,33.0,50.5,354.5,11.4
95,33.0,746.5,621.5,8.0
96,33.0,16.5,344.5,9.1
97,33.0,1033.5,947.5,9.1
98,34.0,27.5,308.5,8.0
99,34.0,746.5,621.5,10.3
100,34.0,50.5,355.5,11.4
101,35.0,27.5,308.5,8.0
102,35.0,746.5,621.5,8.0
103,36.0,27.5,308.5,8.0
104,36.0,746.5,621.5,8.0
105,37.0,27.5,308.5,8.0
106,37.0,746.5,619.5,9.1
107,37.0,1157.5,903.5,8.0
108,38.0,27.5,308.5,8.0
109,38.0,746.5,619.5,9.1
110,39.0,27.5,308.5,8.0
111,39.0,747.5,620.5,10.3
112,39.0,50.5,354.5,11.4
113,40.0,27.5,308.5,8.0
114,40.0,746.5,621.5,8.0
115,40.0,1042.5,954.5,6.9
116,41.0,27.5,308.5,8.0
117,41.0,747.5,620.5,10.3
118,42.0,27.5,308.5,8.0
119,42.0,747.5,620.5,10.3
120,42.0,32.5,345.5,9.1
121,43.0,27.5,308.5,8.0
122,43.0,746.5,619.5,9.1
123,44.0,27.5,308.5,8.0
124,44.0,747.5,620.5,10.3
125,44.0,15.5,339.5,11.4
126,44.0,141.5,261.5,10.3
127,45.0,27.5,308.5,8.0
128,45.0,747.5,620.5,10.3
129,45.0,17.5,338.5,10.2
130,45.0,1029.5,946.5,6.9
131,46.0,27.5,308.5,8.0
132,46.0,747.5,620.5,10.3
133,46.0,32.5,346.5,10.3
134,46.0,1185.5,878.5,6.9
135,47.0,27.5,308.5,8.0
136,47.0,18.5,338.5,10.3
137,47.0,747.5,620.5,10.3
138,48.0,27.5,308.5,8.0
139,48.0,746.5,621.5,8.0
140,49.0,27.5,308.5,8.0
141,49.0,746.5,621.5,8.0
142,49.0,15.5,339.5,8.0
143,50.0,27.5,308.5,8.0
144,50.0,746.5,621.5,10.3
145,50.0,16.5,345.5,6.9
146,51.0,27.5,308.5,8.0
147,51.0,746.5,619.5,9.1
148,52.0,27.5,308.5,8.0
149,52.0,746.5,619.5,9.1
150,52.0,34.5,344.5,8.0
151,53.0,27.5,308.5,8.0
152,53.0,746.5,621.5,8.0
153,54.0,27.5,308.5,8.0
154,54.0,746.5,621.5,10.3
155,54.0,146.5,234.5,6.9
156,55.0,27.5,308.5,8.0
157,55.0,744.5,618.5,11.4
158,56.0,27.5,308.5,8.0
159,56.0,746.5,621.5,8.0
160,57.0,746.5,621.5,10.3
161,57.0,27.5,308.5,8.0
162,57.0,148.5,248.5,11.4
163,57.0,1064.5,219.5,9.1
164,58.0,27.5,308.5,8.0
165,58.0,746.5,619.5,9.1
166,58.0,1064.5,219.5,9.1
167,58.0,16.5,339.5,8.0
168,59.0,27.5,308.5,8.0
169,59.0,746.5,621.5,10.3
170,59.0,1191.5,857.5,8.0
171,60.0,27.5,308.5,8.0
172,60.0,746.5,621.5,8.0
173,61.0,25.5,310.5,8.0
174,61.0,746.5,621.5,8.0
175,62.0,27.5,308.5,8.0
176,62.0,747.5,620.5,10.3
177,63.0,27.5,308.5,8.0
178,63.0,747.5,620.5,10.3
179,64.0,27.5,308.5,8.0
180,64.0,32.5,345.5,9.1
181,64.0,747.5,620.5,10.3
182,64.0,40.5,280.5,6.9
