frame,frame,x,y,r,particle
1,1,636.5,566.5,104.3,0
2,2,635.5,565.5,104.3,0
3,3,636.5,565.5,104.3,0
4,4,636.5,564.5,105.4,0
5,5,635.5,565.5,104.3,0
6,6,636.5,565.5,104.3,0
7,7,635.5,565.5,104.3,0
8,8,636.5,567.5,105.4,0
9,9,635.5,565.5,104.3,0
10,10,636.5,565.5,104.3,0
11,11,634.5,566.5,105.4,0
12,12,635.5,565.5,104.3,0
13,13,636.5,566.5,104.3,0
14,14,635.5,565.5,104.3,0
15,15,636.5,566.5,104.3,0
16,16,636.5,566.5,104.3,0
17,17,636.5,566.5,104.3,0
18,18,636.5,566.5,104.3,0
19,19,635.5,567.5,105.4,0
20,20,634.5,566.5,105.4,0
21,21,636.5,566.5,104.3,0
22,22,636.5,566.5,104.3,0
23,23,636.5,566.5,104.3,0
24,24,635.5,565.5,104.3,0
25,25,636.5,564.5,105.4,0
26,26,636.5,565.5,104.3,0
27,27,635.5,567.5,105.4,0
28,28,636.5,564.5,105.4,0
29,29,636.5,565.5,104.3,0
30,30,635.5,566.5,104.3,0
31,31,635.5,566.5,104.3,0
32,32,635.5,566.5,104.3,0
33,33,634.5,567.5,105.4,0
34,34,636.5,565.5,104.3,0
35,35,635.5,566.5,104.3,0
36,36,636.5,564.5,105.4,0
37,37,635.5,566.5,104.3,0
38,38,635.5,567.5,105.4,0
39,39,636.5,564.5,105.4,0
40,40,634.5,566.5,105.4,0
41,41,635.5,564.5,104.3,0
42,42,636.5,565.5,104.3,0
43,43,635.5,565.5,104.3,0
44,44,636.5,565.5,104.3,0
45,45,636.5,566.5,104.3,0
46,46,636.5,566.5,104.3,0
47,47,637.5,565.5,105.4,0
48,48,634.5,566.5,105.4,0
49,49,635.5,565.5,104.3,0
50,50,635.5,567.5,105.4,0
51,51,636.5,565.5,104.3,0
52,52,636.5,565.5,104.3,0
53,53,636.5,565.5,104.3,0
54,54,636.5,565.5,104.3,0
55,55,635.5,565.5,104.3,0
56,56,634.5,567.5,105.4,0
57,57,635.5,566.5,104.3,0
58,58,636.5,566.5,104.3,0
59,59,636.5,566.5,104.3,0
60,60,636.5,566.5,104.3,0
61,61,636.5,566.5,104.3,0
62,62,636.5,566.5,104.3,0
63,63,636.5,565.5,104.3,0
64,64,635.5,567.5,105.4,0
65,65,636.5,566.5,104.3,0
66,66,636.5,566.5,104.3,0
67,67,636.5,566.5,104.3,0
68,68,636.5,566.5,104.3,0
69,69,636.5,566.5,104.3,0
70,70,636.5,564.5,105.4,0
71,71,636.5,566.5,104.3,0
72,72,636.5,566.5,104.3,0
73,73,635.5,567.5,105.4,0
74,74,635.5,564.5,104.3,0
75,75,636.5,566.5,104.3,0
76,76,635.5,566.5,104.3,0
77,77,636.5,566.5,104.3,0
78,78,636.5,566.5,104.3,0
79,79,635.5,565.5,104.3,0
80,80,636.5,566.5,104.3,0
81,81,635.5,565.5,104.3,0
82,82,635.5,565.5,104.3,0
83,83,636.5,566.5,104.3,0
84,84,635.5,566.5,104.3,0
85,85,635.5,566.5,104.3,0
86,86,635.5,565.5,104.3,0
87,87,636.5,566.5,104.3,0
88,88,635.5,565.5,104.3,0
89,89,636.5,565.5,104.3,0
90,90,636.5,565.5,104.3,0
91,91,636.5,565.5,104.3,0
92,92,636.5,564.5,105.4,0
93,93,636.5,565.5,104.3,0
94,94,636.5,565.5,104.3,0
95,95,635.5,566.5,104.3,0
96,96,635.5,567.5,105.4,0
97,97,636.5,564.5,105.4,0
98,98,636.5,564.5,105.4,0
99,99,635.5,567.5,105.4,0
100,100,634.5,564.5,103.2,0
101,101,636.5,565.5,104.3,0
102,102,635.5,565.5,104.3,0
103,103,636.5,566.5,104.3,0
104,104,635.5,565.5,104.3,0
105,105,636.5,565.5,104.3,0
106,106,635.5,565.5,104.3,0
107,107,635.5,566.5,104.3,0
108,108,636.5,564.5,105.4,0
109,109,635.5,565.5,104.3,0
110,110,634.5,566.5,105.4,0
111,111,636.5,567.5,105.4,0
112,112,636.5,566.5,104.3,0
113,113,635.5,567.5,105.4,0
114,114,636.5,565.5,104.3,0
115,115,635.5,565.5,104.3,0
116,116,636.5,566.5,104.3,0
117,117,635.5,567.5,105.4,0
118,118,635.5,565.5,104.3,0
119,119,636.5,564.5,105.4,0
