,frame,x,y,r
0,1.0,537.5,580.5,10.3
1,1.0,358.5,44.5,11.4
2,1.0,141.5,891.5,6.9
3,2.0,537.5,580.5,10.3
4,2.0,358.5,44.5,11.4
5,2.0,1149.5,253.5,11.4
6,2.0,141.5,891.5,6.9
7,3.0,537.5,580.5,10.3
8,3.0,1149.5,255.5,11.4
9,3.0,358.5,44.5,11.4
10,3.0,621.5,609.5,9.1
11,3.0,141.5,891.5,6.9
12,4.0,537.5,580.5,10.3
13,4.0,357.5,44.5,9.1
14,5.0,537.5,580.5,10.3
15,5.0,358.5,45.5,11.4
16,5.0,1149.5,255.5,11.4
17,5.0,152.5,909.5,11.4
18,6.0,537.5,580.5,10.3
19,6.0,1149.5,255.5,11.4
20,6.0,358.5,44.5,11.4
21,6.0,152.5,909.5,11.4
22,7.0,537.5,580.5,10.3
23,7.0,358.5,45.5,11.4
24,7.0,1149.5,255.5,11.4
25,7.0,152.5,909.5,11.4
26,8.0,537.5,580.5,10.3
27,8.0,357.5,45.5,11.4
28,8.0,1148.5,252.5,11.4
29,8.0,160.5,850.5,9.1
30,8.0,152.5,909.5,11.4
31,9.0,537.5,580.5,10.3
32,9.0,1148.5,252.5,11.4
33,9.0,357.5,45.5,11.4
34,9.0,160.5,850.5,9.1
35,9.0,152.5,909.5,11.4
36,9.0,732.5,492.5,8.0
37,10.0,536.5,581.5,11.4
38,10.0,1148.5,252.5,11.4
39,10.0,160.5,850.5,9.1
40,10.0,152.5,909.5,11.4
41,11.0,537.5,580.5,10.3
42,11.0,358.5,45.5,11.4
43,11.0,1148.5,252.5,11.4
44,12.0,537.5,580.5,10.3
45,12.0,358.5,45.5,11.4
46,12.0,1148.5,252.5,11.4
47,12.0,141.5,892.5,10.3
48,13.0,537.5,580.5,10.3
49,13.0,1148.5,252.5,11.4
50,13.0,357.5,45.5,11.4
51,14.0,537.5,580.5,10.3
52,14.0,1148.5,252.5,11.4
53,14.0,358.5,45.5,11.4
54,14.0,150.5,842.5,8.0
55,15.0,1148.5,252.5,11.4
56,15.0,537.5,580.5,10.3
57,15.0,357.5,44.5,9.1
58,15.0,152.5,909.5,11.4
59,16.0,537.5,580.5,10.3
60,16.0,357.5,44.5,9.1
61,16.0,226.5,178.5,10.3
62,16.0,152.5,909.5,11.4
63,16.0,132.5,876.5,8.0
64,17.0,537.5,580.5,10.3
65,17.0,358.5,44.5,11.4
66,17.0,226.5,177.5,11.4
67,17.0,152.5,909.5,11.4
68,18.0,537.5,580.5,10.3
69,18.0,358.5,44.5,11.4
70,18.0,152.5,909.5,11.4
71,19.0,537.5,580.5,10.3
72,19.0,358.5,44.5,11.4
73,19.0,152.5,909.5,11.4
74,20.0,537.5,580.5,10.3
75,20.0,358.5,44.5,11.4
76,20.0,226.5,177.5,11.4
77,20.0,152.5,909.5,11.4
78,21.0,537.5,580.5,10.3
79,21.0,358.5,44.5,11.4
80,21.0,226.5,177.5,11.4
81,21.0,152.5,909.5,11.4
82,22.0,358.5,44.5,11.4
83,22.0,1148.5,252.5,11.4
84,22.0,537.5,580.5,10.3
85,22.0,226.5,177.5,11.4
86,22.0,152.5,909.5,11.4
87,23.0,358.5,44.5,11.4
88,23.0,537.5,580.5,10.3
89,23.0,280.5,982.5,10.3
90,24.0,357.5,45.5,11.4
91,24.0,537.5,580.5,10.3
92,24.0,280.5,982.5,10.3
93,24.0,152.5,909.5,11.4
94,24.0,1150.5,254.5,6.9
95,25.0,537.5,580.5,10.3
96,25.0,1148.5,252.5,11.4
97,25.0,356.5,45.5,10.3
98,25.0,152.5,909.5,11.4
99,26.0,537.5,580.5,10.3
100,26.0,1148.5,252.5,11.4
101,26.0,356.5,45.5,10.3
102,26.0,152.5,909.5,11.4
103,27.0,537.5,580.5,10.3
104,27.0,356.5,45.5,10.3
105,27.0,152.5,909.5,11.4
106,28.0,537.5,580.5,10.3
107,28.0,1148.5,252.5,11.4
108,28.0,356.5,45.5,10.3
109,28.0,152.5,909.5,11.4
110,29.0,357.5,45.5,11.4
111,29.0,537.5,580.5,10.3
112,29.0,226.5,177.5,11.4
113,29.0,152.5,909.5,11.4
114,30.0,357.5,45.5,11.4
115,30.0,537.5,580.5,10.3
116,30.0,226.5,177.5,11.4
117,31.0,357.5,45.5,11.4
118,31.0,537.5,580.5,10.3
119,31.0,226.5,177.5,11.4
120,31.0,152.5,909.5,11.4
121,32.0,1148.5,252.5,11.4
122,32.0,537.5,580.5,10.3
123,32.0,358.5,45.5,11.4
124,33.0,537.5,580.5,10.3
125,33.0,358.5,45.5,11.4
126,33.0,1149.5,255.5,11.4
127,34.0,537.5,580.5,10.3
128,34.0,358.5,45.5,11.4
129,34.0,1149.5,255.5,11.4
130,35.0,537.5,580.5,10.3
131,35.0,358.5,45.5,11.4
132,35.0,152.5,909.5,11.4
133,35.0,1149.5,253.5,9.1
134,36.0,537.5,580.5,10.3
135,36.0,358.5,44.5,11.4
136,36.0,152.5,909.5,11.4
137,36.0,151.5,842.5,6.9
138,37.0,537.5,580.5,10.3
139,37.0,358.5,44.5,11.4
140,37.0,152.5,909.5,11.4
141,37.0,1149.5,253.5,9.1
142,37.0,151.5,842.5,6.9
143,38.0,1148.5,253.5,11.4
144,38.0,537.5,580.5,10.3
145,38.0,358.5,45.5,11.4
146,38.0,133.5,319.5,9.1
147,38.0,301.5,942.5,8.0
148,39.0,537.5,580.5,10.3
149,39.0,1148.5,253.5,11.4
150,39.0,358.5,45.5,11.4
151,40.0,537.5,580.5,10.3
152,40.0,1148.5,253.5,11.4
153,40.0,358.5,45.5,11.4
154,40.0,133.5,319.5,9.1
155,40.0,301.5,942.5,8.0
156,41.0,357.5,45.5,11.4
157,41.0,537.5,580.5,10.3
158,41.0,1149.5,255.5,11.4
159,41.0,152.5,909.5,11.4
160,41.0,132.5,875.5,6.9
161,42.0,357.5,45.5,11.4
162,42.0,537.5,580.5,10.3
163,42.0,1149.5,255.5,11.4
164,42.0,152.5,909.5,11.4
165,42.0,132.5,875.5,6.9
166,43.0,536.5,581.5,11.4
167,43.0,1149.5,255.5,11.4
168,43.0,357.5,45.5,11.4
169,44.0,1148.5,252.5,11.4
170,44.0,537.5,580.5,10.3
171,44.0,356.5,45.5,10.3
172,44.0,152.5,909.5,11.4
173,45.0,1148.5,252.5,11.4
174,45.0,537.5,580.5,10.3
175,45.0,356.5,45.5,10.3
176,45.0,152.5,909.5,11.4
177,46.0,1148.5,252.5,11.4
178,46.0,537.5,580.5,10.3
179,46.0,358.5,45.5,11.4
180,46.0,152.5,909.5,11.4
181,47.0,358.5,45.5,11.4
182,47.0,1148.5,252.5,11.4
183,47.0,537.5,580.5,10.3
184,47.0,152.5,909.5,11.4
185,48.0,358.5,45.5,11.4
186,48.0,1148.5,252.5,11.4
187,48.0,537.5,580.5,10.3
188,48.0,152.5,909.5,11.4
189,48.0,160.5,850.5,9.1
190,49.0,537.5,580.5,10.3
191,49.0,358.5,45.5,11.4
192,49.0,1150.5,254.5,10.3
193,49.0,152.5,909.5,11.4
194,50.0,537.5,580.5,10.3
195,50.0,1149.5,255.5,11.4
196,51.0,537.5,580.5,10.3
197,51.0,1149.5,255.5,11.4
198,52.0,537.5,580.5,10.3
199,52.0,1149.5,255.5,11.4
200,52.0,152.5,909.5,9.1
201,53.0,537.5,580.5,10.3
202,53.0,357.5,45.5,11.4
203,53.0,152.5,909.5,11.4
204,53.0,226.5,178.5,10.3
205,53.0,165.5,784.5,11.3
206,54.0,357.5,45.5,11.4
207,54.0,535.5,581.5,11.4
208,54.0,152.5,909.5,11.4
209,54.0,226.5,178.5,10.3
210,54.0,165.5,784.5,11.3
211,55.0,537.5,580.5,10.3
212,55.0,357.5,45.5,11.4
213,55.0,152.5,909.5,11.4
214,55.0,226.5,178.5,10.3
215,55.0,165.5,784.5,11.3
216,56.0,357.5,45.5,11.4
217,56.0,537.5,580.5,10.3
218,56.0,1148.5,253.5,11.4
219,56.0,1026.5,118.5,10.3
220,56.0,152.5,909.5,11.4
221,56.0,160.5,850.5,9.1
222,57.0,537.5,581.5,11.4
223,57.0,1148.5,252.5,11.4
224,57.0,358.5,45.5,11.4
225,57.0,1026.5,118.5,10.3
226,57.0,152.5,909.5,11.4
227,57.0,160.5,850.5,9.1
228,58.0,537.5,580.5,10.3
229,58.0,1148.5,252.5,11.4
230,58.0,358.5,45.5,11.4
231,58.0,1026.5,118.5,10.3
232,58.0,160.5,850.5,9.1
