frame,frame,x,y,r,particle
1,1,638.5,567.5,104.3,0
2,2,639.5,568.5,104.3,0
3,3,637.5,568.5,103.2,0
4,4,638.5,567.5,104.3,0
5,5,638.5,568.5,104.3,0
6,6,638.5,568.5,104.3,0
7,7,639.5,568.5,104.3,0
8,8,639.5,568.5,104.3,0
9,9,638.5,567.5,104.3,0
10,10,639.5,568.5,104.3,0
11,11,638.5,568.5,104.3,0
12,12,639.5,569.5,105.4,0
13,13,637.5,568.5,103.2,0
14,14,639.5,566.5,105.4,0
15,15,639.5,567.5,104.3,0
16,16,639.5,566.5,105.4,0
17,17,638.5,569.5,105.4,0
18,18,638.5,566.5,105.4,0
19,19,638.5,567.5,104.3,0
20,20,638.5,567.5,104.3,0
21,21,639.5,567.5,104.3,0
22,22,638.5,567.5,104.3,0
23,23,638.5,567.5,104.3,0
24,24,638.5,568.5,104.3,0
25,25,638.5,569.5,105.4,0
26,26,639.5,568.5,104.3,0
27,27,638.5,568.5,104.3,0
28,28,638.5,569.5,105.4,0
29,29,639.5,568.5,104.3,0
30,30,639.5,567.5,104.3,0
31,31,638.5,567.5,104.3,0
32,32,640.5,568.5,103.2,0
33,33,638.5,568.5,104.3,0
34,34,638.5,567.5,104.3,0
35,35,638.5,568.5,104.3,0
36,36,638.5,567.5,104.3,0
37,37,637.5,568.5,103.2,0
38,38,637.5,568.5,103.2,0
39,39,638.5,568.5,104.3,0
40,40,638.5,567.5,104.3,0
41,41,638.5,568.5,104.3,0
42,42,638.5,568.5,104.3,0
43,43,638.5,567.5,104.3,0
44,44,638.5,567.5,104.3,0
45,45,639.5,566.5,105.4,0
46,46,637.5,568.5,103.2,0
47,47,637.5,568.5,103.2,0
48,48,639.5,567.5,104.3,0
49,49,638.5,567.5,104.3,0
50,50,639.5,567.5,104.3,0
51,51,637.5,568.5,103.2,0
52,52,638.5,569.5,105.4,0
53,53,637.5,567.5,103.2,0
54,54,639.5,567.5,104.3,0
55,55,639.5,567.5,104.3,0
56,56,639.5,568.5,104.3,0
57,57,639.5,567.5,104.3,0
58,58,638.5,568.5,104.3,0
59,59,637.5,568.5,103.2,0
60,60,638.5,567.5,104.3,0
61,61,638.5,568.5,104.3,0
62,62,638.5,567.5,104.3,0
63,63,639.5,567.5,104.3,0
64,64,638.5,567.5,104.3,0
65,65,638.5,567.5,104.3,0
66,66,639.5,566.5,105.4,0
67,67,639.5,567.5,104.3,0
68,68,637.5,568.5,103.2,0
69,69,638.5,567.5,104.3,0
70,70,639.5,568.5,104.3,0
71,71,638.5,568.5,104.3,0
72,72,638.5,568.5,104.3,0
73,73,638.5,568.5,104.3,0
74,74,638.5,570.5,105.4,0
