,0
0,113.08
1,13.52
2,1.28
3,0.04
4,9.68
5,6.52
6,12.76
7,2.32
8,3.76
9,0.04
10,4.2
11,5.48
12,2.16
13,4.2
14,7.56
15,0.04
16,4.44
17,9.4
18,3.04
19,0.04
20,0.0
21,46.52
22,18.0
23,0.04
24,1.28
25,0.04
26,0.16
27,4.32
28,20.96
29,97.08
30,9.04
31,0.08
32,0.04
33,0.04
34,1.8
35,0.04
36,30.64
37,25.2
38,0.04
39,0.04
40,0.04
41,0.08
42,0.04
43,0.04
44,8.56
45,0.08
46,10.52
47,0.04
48,5.8
49,5.44
50,51.08
51,0.2
52,8.64
53,0.08
54,0.04
55,0.04
56,0.04
57,0.04
58,3.88
59,0.08
60,0.04
61,0.12
62,0.16
63,38.84
64,0.04
65,30.16
66,38.04
67,0.08
68,3.88
69,0.12
70,11.72
71,0.04
72,0.04
73,0.12
74,2.48
75,0.04
76,10.32
77,0.04
78,2.16
79,0.04
80,35.4
81,0.08
82,0.04
83,0.04
84,0.04
85,0.08
86,0.04
87,0.08
88,0.04
89,0.04
90,0.04
91,3.72
92,0.12
93,30.32
94,4.28
95,0.04
96,7.12
97,0.04
98,3.76
99,0.04
100,0.04
101,0.04
102,0.16
103,0.16
104,4.52
105,0.04
106,0.04
107,2.44
108,0.04
109,2.68
110,2.32
111,1.4
112,0.08
113,2.84
114,5.84
115,0.36
116,0.04
117,0.08
118,1.32
119,18.6
120,0.16
121,5.68
122,10.88
123,10.6
124,0.04
125,0.04
126,3.6
127,3.12
128,8.4
129,7.96
130,0.12
131,0.04
132,0.04
133,0.04
134,0.08
135,1.0
136,0.24
137,0.52
138,0.04
139,0.2
140,13.36
141,5.16
142,0.04
143,0.12
144,1.92
145,0.04
146,49.16
147,0.08
148,0.08
149,0.04
150,1.16
151,0.08
152,0.04
153,0.04
154,0.04
155,15.56
156,0.08
157,0.04
158,0.08
159,21.4
160,0.08
161,4.8
162,0.08
163,0.04
164,5.64
165,0.04
166,8.4
167,0.04
168,7.56
169,0.28
170,0.04
171,2.44
172,6.4
173,7.72
174,8.12
175,5.2
176,0.12
177,0.04
178,0.04
179,0.08
180,0.2
181,0.04
182,0.08
183,0.0
184,3.16
185,3.28
186,0.04
187,0.04
188,3.64
189,9.68
190,0.08
191,0.04
192,0.04
193,2.44
194,0.16
195,1.56
196,0.08
197,0.04
198,0.04
199,3.48
200,0.04
201,4.04
202,0.04
203,0.04
204,12.96
205,0.04
206,0.04
207,0.04
208,0.04
209,12.24
210,0.04
211,0.12
212,7.0
213,0.04
214,7.16
215,0.08
216,0.04
217,7.0
218,5.4
219,0.04
220,0.2
221,0.08
222,0.04
223,0.04
224,0.2
225,0.92
226,0.16
227,0.04
228,0.08
229,0.04
230,1.32
231,6.88
232,2.4
233,0.04
234,3.32
235,0.04
236,9.68
237,56.88
238,0.04
239,0.04
240,21.36
241,0.0
242,2.4
243,0.04
244,0.04
245,137.36
246,0.24
247,0.16
248,0.04
249,0.04
250,10.56
251,0.28
252,0.16
253,0.04
254,48.96
255,1.52
256,0.08
257,0.04
258,25.48
259,71.64
260,0.04
261,0.04
262,3.76
263,3.64
264,4.24
265,0.04
266,1.36
267,7.44
268,1.52
269,3.92
270,2.08
271,1.92
272,0.08
273,2.72
274,2.48
275,2.96
276,2.24
277,1.44
278,1.32
279,0.04
280,1.6
281,0.04
282,1.52
283,3.24
284,0.8
285,0.04
286,0.56
287,0.8
288,0.04
289,0.04
290,1.6
291,2.08
292,2.48
293,1.04
294,1.24
295,3.64
296,0.84
297,0.04
298,2.2
299,3.44
300,0.04
301,0.08
302,1.68
303,0.04
304,12.12
305,0.08
306,61.48
307,0.04
308,0.04
309,5.8
310,0.2
311,0.04
312,0.04
313,0.04
314,6.68
315,7.84
316,0.04
317,0.04
318,14.24
319,0.08
320,0.04
321,4.16
322,0.04
323,2.6
324,0.04
325,0.04
326,0.08
327,0.04
328,0.04
329,0.04
330,6.2
331,0.04
332,0.04
333,0.04
334,0.08
335,0.04
336,0.04
337,0.04
338,0.04
339,0.12
340,0.12
341,0.04
342,4.04
343,0.04
344,5.8
345,0.08
346,0.08
347,43.8
348,0.2
349,0.12
350,0.04
351,0.04
352,0.04
353,17.24
354,1.68
355,2.68
356,7.76
357,2.04
358,3.64
359,0.04
360,0.04
361,0.04
362,0.04
363,0.04
364,4.96
365,2.08
366,0.04
367,3.8
368,0.04
369,0.04
370,0.04
371,5.08
372,0.08
373,0.04
374,1.52
375,0.04
376,0.04
377,0.04
378,0.24
379,2.36
380,0.04
381,3.8
382,0.04
383,3.44
384,2.68
385,0.04
386,0.04
387,5.76
388,0.16
389,0.04
390,5.04
391,0.04
392,4.24
393,30.88
394,8.04
395,0.04
396,0.04
397,3.32
398,41.2
399,0.04
400,3.2
401,0.04
402,11.52
403,2.4
404,3.76
405,0.08
406,0.2
407,0.28
408,0.04
409,0.16
410,0.12
411,17.4
412,0.04
413,13.28
414,0.04
415,0.0
416,1.92
417,1.84
418,0.04
419,1.96
420,0.08
421,1.6
422,0.04
423,0.04
424,0.04
425,3.4
426,0.04
427,7.2
428,14.2
429,0.04
430,9.16
431,0.04
432,7.52
433,0.0
434,0.04
435,3.08
436,0.04
437,4.8
438,0.04
439,2.64
440,0.04
441,6.88
442,52.84
443,0.0
444,0.28
445,0.12
446,0.52
447,0.2
448,0.04
449,0.04
450,4.44
451,0.04
452,10.88
453,25.76
454,0.08
455,0.04
456,7.72
457,0.16
458,36.56
459,9.32
460,6.84
461,2.76
462,0.2
463,50.68
464,0.04
465,0.04
466,7.36
467,0.04
468,38.32
469,0.08
470,0.04
471,0.04
472,13.2
473,0.04
474,0.04
475,3.08
476,4.84
477,2.68
478,8.4
479,2.44
480,4.8
481,1.24
482,0.04
483,8.56
484,3.68
485,24.96
486,0.04
487,0.08
488,9.6
489,0.04
490,0.04
491,0.04
492,1.16
493,0.04
494,0.04
495,0.88
496,0.08
497,0.04
498,1.08
499,0.12
500,1.24
501,0.04
502,55.24
503,6.56
504,0.08
505,0.04
506,0.04
507,6.64
508,0.12
509,0.04
510,0.04
511,9.84
512,16.88
513,0.24
514,6.8
515,0.04
516,0.04
517,0.04
518,1.6
519,0.2
520,0.04
521,0.04
522,0.04
523,7.2
524,0.44
525,0.48
526,0.08
527,0.08
528,0.12
529,0.04
530,2.56
531,0.08
532,1.08
533,2.24
534,0.04
535,2.72
536,2.32
537,1.0
538,3.28
539,0.04
540,2.68
541,1.28
542,3.16
543,0.08
544,2.2
545,7.08
546,13.16
547,0.04
548,0.12
549,0.12
550,8.16
551,0.04
552,6.8
553,0.12
554,0.08
555,0.04
556,6.48
557,0.04
558,0.08
559,14.0
560,0.04
561,0.08
562,0.04
563,60.16
564,0.12
565,0.04
566,0.04
567,3.84
568,0.04
569,8.08
570,0.12
571,0.04
572,0.04
573,10.92
574,0.04
575,0.08
576,0.04
577,0.04
578,7.48
579,27.08
580,0.04
581,14.16
582,0.04
583,0.04
584,0.04
585,19.84
586,23.2
587,0.04
588,14.0
589,5.04
590,6.76
591,18.48
592,0.04
593,0.04
594,0.04
595,47.88
596,46.84
597,0.04
598,26.28
599,0.04
600,5.48
601,0.08
602,0.04
603,0.04
604,7.92
605,0.12
606,0.04
607,11.64
608,0.12
609,5.48
610,0.08
611,0.04
612,5.04
613,0.08
614,0.08
615,2.44
616,11.08
617,3.32
618,3.64
619,7.4
620,0.08
621,8.8
622,0.12
623,0.04
624,2.6
625,0.04
626,7.76
627,1.52
628,3.72
629,0.08
630,34.4
631,0.08
632,0.04
633,0.04
634,4.8
635,9.96
636,0.4
637,0.16
638,0.4
639,0.4
640,0.12
641,0.24
642,0.12
643,0.04
644,0.12
645,0.04
646,0.12
647,0.04
648,0.04
649,3.8
650,11.72
651,0.08
652,0.08
653,5.92
654,0.04
655,2.04
656,1.28
657,0.04
658,0.04
659,0.04
660,3.4
661,0.08
662,0.04
663,8.8
664,0.04
665,7.36
666,0.08
667,0.16
668,5.68
669,9.4
670,13.36
671,6.16
672,0.04
673,0.08
674,16.68
675,0.04
676,0.04
677,1.2
678,0.88
679,0.08
680,0.04
681,1.96
682,1.56
683,0.04
684,0.04
685,1.52
686,0.16
687,2.16
688,0.04
689,0.04
690,0.04
691,0.04
692,1.36
693,0.12
694,1.76
695,0.04
696,0.16
697,1.48
698,0.04
699,0.04
700,0.04
701,0.04
702,1.56
703,0.04
704,0.08
705,1.56
706,0.04
707,0.08
708,0.92
709,0.16
710,0.04
711,0.12
712,0.04
713,1.72
714,0.04
715,2.28
716,0.08
717,2.72
718,0.04
719,3.0
720,0.08
721,0.04
722,2.56
723,3.16
724,4.12
725,0.04
726,3.24
727,2.08
728,1.64
729,0.04
730,0.04
731,3.16
732,0.04
733,4.52
734,0.08
735,1.48
736,0.04
737,0.04
738,0.24
739,0.08
740,0.2
741,4.68
742,0.04
743,21.04
744,0.04
745,6.48
746,0.12
747,0.12
748,6.76
749,0.32
750,0.04
751,0.04
752,0.04
753,0.04
754,0.04
755,16.16
756,0.04
757,0.12
758,4.72
759,0.16
760,0.12
761,0.04
762,13.28
763,0.2
764,0.04
765,0.04
766,1.72
767,0.08
768,12.12
769,0.08
770,0.08
771,0.04
772,0.04
773,0.04
774,0.04
775,0.32
776,0.52
777,11.76
778,0.16
779,0.04
780,0.04
781,16.28
782,0.08
783,23.84
784,2.84
785,0.04
786,13.84
787,2.2
788,5.36
789,4.6
790,53.92
791,0.12
792,0.04
793,0.04
794,23.28
795,0.04
796,0.04
797,2.32
798,0.08
799,0.04
800,4.28
801,0.04
802,3.92
803,2.88
804,0.04
805,0.04
806,0.04
807,2.24
808,4.32
809,0.04
810,0.12
811,0.2
812,0.08
813,0.04
814,0.08
815,3.84
816,0.04
817,3.24
818,0.16
819,0.8
820,0.2
821,0.12
822,0.04
823,0.04
824,2.48
825,0.04
826,0.04
827,0.04
828,0.08
829,1.56
830,0.04
831,0.92
832,0.12
833,0.08
834,0.56
835,0.44
836,0.16
837,0.16
838,6.56
839,0.16
840,2.84
841,6.48
842,0.04
843,1.84
844,0.04
845,2.4
846,0.16
847,3.2
848,0.04
849,0.04
850,2.84
851,0.04
852,0.04
853,3.08
854,0.04
855,0.04
856,1.96
857,0.08
858,0.04
859,2.88
860,0.04
861,0.12
862,1.88
863,0.08
864,0.04
865,0.08
866,0.08
867,0.08
868,0.04
869,0.04
870,0.04
871,0.04
872,0.08
873,0.2
874,2.24
875,0.04
876,0.04
877,0.04
878,0.04
879,5.84
880,0.32
881,7.12
882,16.52
883,12.92
884,0.08
885,0.04
886,0.08
887,0.12
888,0.04
889,0.48
890,0.16
891,0.24
892,0.08
893,0.04
894,8.16
895,0.56
896,0.08
897,0.4
898,0.2
899,0.08
900,0.04
901,7.28
902,0.04
903,11.04
904,0.04
905,1.4
906,0.24
907,0.04
908,2.08
909,0.04
910,5.64
911,0.04
912,0.04
913,3.52
914,2.56
915,0.04
916,7.36
917,0.04
918,10.2
919,5.72
920,0.04
921,2.76
922,27.52
923,0.04
924,0.04
925,0.04
926,26.8
927,0.12
928,2.08
929,0.04
930,0.04
931,0.04
932,0.04
933,3.04
934,6.68
935,0.04
936,0.04
937,3.0
938,6.88
939,0.04
940,3.64
941,6.6
942,0.04
943,35.88
944,0.08
945,0.04
946,6.36
947,0.04
948,0.04
949,0.08
950,3.0
951,0.04
952,2.4
953,0.16
954,0.08
955,0.92
956,0.04
957,0.04
958,0.04
959,2.84
960,0.04
961,2.72
962,0.04
963,1.28
964,0.08
965,0.04
966,2.08
967,0.04
968,0.08
969,0.04
970,0.12
971,6.2
972,0.08
973,5.16
974,0.04
975,0.04
976,0.04
977,0.04
978,0.04
979,19.52
980,0.04
981,17.8
982,12.52
983,0.16
984,0.04
985,0.04
986,0.04
987,2.44
988,0.04
989,0.04
990,0.04
991,0.16
992,1.88
993,0.04
994,3.24
995,4.12
996,0.04
997,2.24
998,0.04
999,16.04
1000,0.04
1001,45.52
1002,0.04
1003,0.04
1004,0.08
1005,37.44
1006,0.04
1007,28.32
1008,0.08
1009,4.4
1010,0.12
1011,0.04
1012,2.72
1013,0.04
1014,0.04
1015,6.24
1016,0.04
1017,0.04
1018,0.04
1019,4.8
1020,10.64
1021,0.04
1022,4.4
1023,0.16
1024,0.04
1025,5.52
1026,0.04
1027,10.44
1028,4.6
1029,0.44
1030,0.04
1031,0.72
1032,0.12
1033,23.52
1034,9.2
1035,0.04
1036,5.6
1037,0.04
1038,0.04
1039,2.04
1040,1.68
1041,0.04
1042,4.44
1043,0.28
1044,29.48
1045,0.36
1046,0.24
1047,0.04
1048,0.12
1049,3.52
1050,0.04
1051,0.04
1052,29.44
1053,0.08
1054,4.12
1055,0.04
1056,0.04
1057,0.04
1058,4.0
1059,0.32
1060,0.04
1061,0.88
1062,3.56
1063,0.04
1064,23.76
1065,3.52
1066,0.04
1067,11.24
1068,8.84
1069,4.32
1070,4.32
1071,0.64
1072,38.36
1073,0.04
1074,0.08
1075,0.04
1076,0.04
1077,0.04
1078,0.12
1079,0.04
1080,0.04
1081,0.08
1082,0.04
1083,0.08
1084,112.72
1085,12.08
1086,13.88
1087,10.28
1088,0.12
1089,0.2
1090,4.08
1091,0.04
1092,2.92
1093,3.84
1094,5.2
1095,24.64
1096,0.08
1097,3.88
1098,0.04
1099,0.04
1100,4.84
1101,0.04
1102,1.84
1103,0.04
1104,1.64
1105,0.04
1106,0.04
1107,2.28
1108,0.04
1109,0.04
1110,0.04
1111,0.12
1112,0.04
1113,0.04
1114,0.04
1115,1.8
1116,2.08
1117,0.12
1118,0.04
1119,0.92
1120,0.04
1121,0.08
1122,1.32
1123,0.04
1124,2.2
1125,0.04
1126,0.04
1127,0.04
1128,0.04
1129,1.52
1130,0.04
1131,2.32
1132,0.04
1133,0.04
1134,0.12
1135,1.64
1136,0.04
1137,0.88
1138,2.28
1139,0.04
1140,2.88
1141,2.88
1142,2.0
1143,0.04
1144,2.04
1145,0.04
1146,3.28
1147,0.04
1148,3.8
1149,0.08
1150,1.72
1151,0.04
1152,0.04
1153,0.04
1154,0.04
1155,0.04
1156,0.04
1157,2.6
1158,0.04
1159,0.04
1160,1.92
1161,0.04
1162,2.6
1163,0.08
1164,3.2
1165,0.04
1166,0.04
1167,0.04
1168,1.72
1169,2.76
1170,0.04
1171,1.6
1172,0.04
1173,0.04
1174,0.04
1175,0.04
1176,0.04
1177,0.04
1178,0.04
1179,0.04
1180,0.08
1181,0.04
1182,0.08
1183,0.2
1184,0.08
1185,0.04
1186,0.04
1187,0.04
1188,2.44
1189,0.16
1190,0.04
1191,0.04
1192,2.8
1193,0.04
1194,0.08
1195,0.04
1196,2.24
1197,3.28
1198,0.04
1199,0.04
1200,2.16
1201,0.12
1202,1.08
1203,0.04
1204,2.16
1205,0.04
