,Unnamed: 0,date,operator,bottype,stars,bots,passiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,arenaSize[cm],comments,backedup,motorVal,production,linkingFileName,botLocatingFileName,botLinkingFileName,miniVideoFileNamePack,locatingFileNamePack,linkingFileNamePack
0,42,20230105,Eden,fronter,,1,28,D:\Eden\5_1_23\fronters1passive28cm\C0556.MP4,D:\Eden\5_1_23\fronters1passive28cm\C0556.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:10,20:15,150,bot3,,130,,D:\Eden\5_1_23\fronters1passive28cm\C0556.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N001_D028_C0556.MP4,fronter_N001_D028_C0556.MP4_loc.csv,fronter_N001_D028_C0556.MP4_link.csv
1,43,20230105,Eden,fronter,,1,28,D:\Eden\5_1_23\fronters1passive28cm\C0555.MP4,D:\Eden\5_1_23\fronters1passive28cm\C0555.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:10,21:21,150,bot2,,130,,D:\Eden\5_1_23\fronters1passive28cm\C0555.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N001_D028_C0555.MP4,fronter_N001_D028_C0555.MP4_loc.csv,fronter_N001_D028_C0555.MP4_link.csv
2,44,20230105,Eden,fronter,,1,28,D:\Eden\5_1_23\fronters1passive28cm\C0554.MP4,D:\Eden\5_1_23\fronters1passive28cm\C0554.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:09,20:11,150,bot1,,130,,D:\Eden\5_1_23\fronters1passive28cm\C0554.MP4_locatedFull20230320_matan.csv_linked.csv,,,updated_fronter_N001_D028_C0554.MP4,updated_test_fronter_N001_D028_C0554.MP4_loc.csv,updated_test_fronter_N001_D028_C0554.MP4_link.csv
3,45,20230105,Eden,fronter,,1,28,D:\Eden\5_1_23\fronters1passive28cm\C0553.MP4,D:\Eden\5_1_23\fronters1passive28cm\C0553.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:16,20:21,150,bot1,,130,,D:\Eden\5_1_23\fronters1passive28cm\C0553.MP4_locatedFull20230320_matan.csv_linked.csv,,,updated_fronter_N001_D028_C0553.MP4,updated_test_fronter_N001_D028_C0553.MP4_loc.csv,updated_test_fronter_N001_D028_C0553.MP4_link.csv
4,46,20230117,Eden,aligner,,1,28,D:\Eden\17_1_23\aligners1passive28cm\C0575.MP4,D:\Eden\17_1_23\aligners1passive28cm\C0575.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:10,20:13,150,same bot hole runs,,130,,D:\Eden\17_1_23\aligners1passive28cm\C0575.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N001_D028_C0575.MP4,aligner_N001_D028_C0575.MP4_loc.csv,aligner_N001_D028_C0575.MP4_link.csv
5,47,20230117,Eden,aligner,,1,28,D:\Eden\17_1_23\aligners1passive28cm\C0574.MP4,D:\Eden\17_1_23\aligners1passive28cm\C0574.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:06,24:33:00,150,same bot hole runs,,130,,D:\Eden\17_1_23\aligners1passive28cm\C0574.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N001_D028_C0574.MP4,aligner_N001_D028_C0574.MP4_loc.csv,aligner_N001_D028_C0574.MP4_link.csv
6,48,20230117,Eden,aligner,,1,28,D:\Eden\17_1_23\aligners1passive28cm\C0573.MP4,D:\Eden\17_1_23\aligners1passive28cm\C0573.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:10,20:23,150,same bot hole runs,,130,,D:\Eden\17_1_23\aligners1passive28cm\C0573.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N001_D028_C0573.MP4,aligner_N001_D028_C0573.MP4_loc.csv,aligner_N001_D028_C0573.MP4_link.csv
7,49,20230117,Eden,aligner,,1,28,D:\Eden\17_1_23\aligners1passive28cm\C0572.MP4,D:\Eden\17_1_23\aligners1passive28cm\C0572.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:14,20:27,150,same bot hole runs,,130,,D:\Eden\17_1_23\aligners1passive28cm\C0572.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N001_D028_C0572.MP4,aligner_N001_D028_C0572.MP4_loc.csv,aligner_N001_D028_C0572.MP4_link.csv
8,50,20230105,Eden,fronter,,4,28,D:\Eden\5_1_23\fronters4passive28cm\C0560.MP4,D:\Eden\5_1_23\fronters4passive28cm\C0560.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:24,20:24,150,1 low battery - replaced,,130,,D:\Eden\5_1_23\fronters4passive28cm\C0560.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N004_D028_C0560.MP4,fronter_N004_D028_C0560.MP4_loc.csv,fronter_N004_D028_C0560.MP4_link.csv
9,51,20230105,Eden,fronter,,4,28,D:\Eden\5_1_23\fronters4passive28cm\C0559.MP4,D:\Eden\5_1_23\fronters4passive28cm\C0559.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:23,34:01:00,150,,,130,,D:\Eden\5_1_23\fronters4passive28cm\C0559.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N004_D028_C0559.MP4,fronter_N004_D028_C0559.MP4_loc.csv,fronter_N004_D028_C0559.MP4_link.csv
10,52,20230105,Eden,fronter,,4,28,D:\Eden\5_1_23\fronters4passive28cm\C0558.MP4,D:\Eden\5_1_23\fronters4passive28cm\C0558.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:31,20:38,150,,,130,,D:\Eden\5_1_23\fronters4passive28cm\C0558.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N004_D028_C0558.MP4,fronter_N004_D028_C0558.MP4_loc.csv,fronter_N004_D028_C0558.MP4_link.csv
11,53,20230105,Eden,fronter,,4,28,D:\Eden\5_1_23\fronters4passive28cm\C0557.MP4,D:\Eden\5_1_23\fronters4passive28cm\C0557.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:16,20:24,150,,,130,,D:\Eden\5_1_23\fronters4passive28cm\C0557.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N004_D028_C0557.MP4,fronter_N004_D028_C0557.MP4_loc.csv,fronter_N004_D028_C0557.MP4_link.csv
12,54,20230117,Eden,aligner,,4,28,D:\Eden\17_1_23\aligners4passive28cm\C0580.MP4,D:\Eden\17_1_23\aligners4passive28cm\C0580.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:14,20:27,150,,,130,,D:\Eden\17_1_23\aligners4passive28cm\C0580.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N004_D028_C0580.MP4,aligner_N004_D028_C0580.MP4_loc.csv,aligner_N004_D028_C0580.MP4_link.csv
13,55,20230117,Eden,aligner,,4,28,D:\Eden\17_1_23\aligners4passive28cm\C0579.MP4,D:\Eden\17_1_23\aligners4passive28cm\C0579.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:17,20:25,150,,,130,,D:\Eden\17_1_23\aligners4passive28cm\C0579.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N004_D028_C0579.MP4,aligner_N004_D028_C0579.MP4_loc.csv,aligner_N004_D028_C0579.MP4_link.csv
14,56,20230117,Eden,aligner,,4,28,D:\Eden\17_1_23\aligners4passive28cm\C0578.MP4,D:\Eden\17_1_23\aligners4passive28cm\C0578.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:53,23:58,150,change plastic of 1 bot,,130,,D:\Eden\17_1_23\aligners4passive28cm\C0578.MP4_locatedFull20230320_matan.csv_linked.csv,,,aligner_N004_D028_C0578.MP4,aligner_N004_D028_C0578.MP4_loc.csv,aligner_N004_D028_C0578.MP4_link.csv
15,57,20230117,Eden,aligner,,4,28,D:\Eden\17_1_23\aligners4passive28cm\C0577.MP4,D:\Eden\17_1_23\aligners4passive28cm\C0577.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:22,20:30,150,,,130,,D:\Eden\17_1_23\aligners4passive28cm\C0577.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N004_D028_C0577.MP4,aligner_N004_D028_C0577.MP4_loc.csv,aligner_N004_D028_C0577.MP4_link.csv
16,58,20230117,Eden,aligner,,4,28,D:\Eden\17_1_23\aligners4passive28cm\C0576.MP4,D:\Eden\17_1_23\aligners4passive28cm\C0576.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:40,20:45,150,,,130,,D:\Eden\17_1_23\aligners4passive28cm\C0576.MP4_locatedFull20230326_Eden.csv_linked.csv,,,aligner_N004_D028_C0576.MP4,aligner_N004_D028_C0576.MP4_loc.csv,aligner_N004_D028_C0576.MP4_link.csv
17,59,20230110,Eden,fronter,,8,28,D:\Eden\10_1_23\fronters-28cm-8bots\C0567.MP4,D:\Eden\10_1_23\fronters-28cm-8bots\C0567.MP4_locatedFull20230326_Eden.csv,102,106,25,0.1376146789,0:04,20:15,150,,,130,,D:\Eden\10_1_23\fronters-28cm-8bots\C0567.MP4_locatedFull20230326_Eden.csv_linked.csv,,,fronter_N008_D028_C0567.MP4,fronter_N008_D028_C0567.MP4_loc.csv,fronter_N008_D028_C0567.MP4_link.csv
18,60,20230110,Eden,fronter,,8,28,D:\Eden\10_1_23\fronters-28cm-8bots\C0566.MP4,D:\Eden\10_1_23\fronters-28cm-8bots\C0566.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:04,20:12,150,,,130,,D:\Eden\10_1_23\fronters-28cm-8bots\C0566.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N008_D028_C0566.MP4,fronter_N008_D028_C0566.MP4_loc.csv,fronter_N008_D028_C0566.MP4_link.csv
19,61,20230110,Eden,fronter,,8,28,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4_locatedFull20230320_matan.csv,102,106,25,0.1376146789,0:09,20:19,150,,,130,,D:\Eden\10_1_23\fronters-28cm-8bots\C0565.MP4_locatedFull20230320_matan.csv_linked.csv,,,fronter_N008_D028_C0565.MP4,fronter_N008_D028_C0565.MP4_loc.csv,fronter_N008_D028_C0565.MP4_link.csv
