frame,frame,x,y,r,particle
1,1,654.5,541.5,103.2,0
2,2,652.5,541.5,104.3,0
3,3,654.5,541.5,103.2,0
4,4,654.5,541.5,103.2,0
5,5,654.5,541.5,103.2,0
6,6,654.5,541.5,103.2,0
7,7,654.5,541.5,103.2,0
8,8,654.5,541.5,103.2,0
9,9,654.5,541.5,103.2,0
10,10,655.5,542.5,104.3,0
11,11,654.5,541.5,103.2,0
12,12,654.5,541.5,103.2,0
13,13,654.5,541.5,103.2,0
14,14,654.5,541.5,103.2,0
15,15,654.5,541.5,103.2,0
16,16,654.5,541.5,103.2,0
17,17,654.5,541.5,103.2,0
18,18,654.5,541.5,103.2,0
19,19,654.5,541.5,103.2,0
20,20,654.5,541.5,103.2,0
21,21,654.5,541.5,103.2,0
22,22,654.5,541.5,103.2,0
23,23,654.5,541.5,103.2,0
24,24,654.5,541.5,103.2,0
25,25,654.5,541.5,103.2,0
26,26,654.5,541.5,103.2,0
27,27,654.5,541.5,103.2,0
28,28,654.5,541.5,103.2,0
29,29,654.5,541.5,103.2,0
30,30,654.5,541.5,103.2,0
31,31,654.5,541.5,103.2,0
32,32,654.5,541.5,103.2,0
33,33,654.5,541.5,103.2,0
34,34,654.5,541.5,103.2,0
35,35,654.5,541.5,103.2,0
36,36,654.5,541.5,103.2,0
37,37,654.5,541.5,103.2,0
38,38,654.5,541.5,103.2,0
39,39,655.5,542.5,104.3,0
40,40,654.5,541.5,103.2,0
41,41,654.5,541.5,103.2,0
42,42,654.5,541.5,103.2,0
43,43,654.5,541.5,103.2,0
44,44,654.5,541.5,103.2,0
45,45,654.5,541.5,103.2,0
46,46,654.5,541.5,103.2,0
47,47,654.5,541.5,103.2,0
48,48,654.5,541.5,103.2,0
49,49,654.5,541.5,103.2,0
50,50,654.5,541.5,103.2,0
51,51,654.5,541.5,103.2,0
52,52,654.5,541.5,103.2,0
53,53,654.5,541.5,103.2,0
54,54,654.5,541.5,103.2,0
55,55,654.5,541.5,103.2,0
56,56,654.5,541.5,103.2,0
57,57,654.5,541.5,103.2,0
58,58,654.5,541.5,103.2,0
59,59,654.5,541.5,103.2,0
60,60,654.5,541.5,103.2,0
61,61,654.5,541.5,103.2,0
62,62,654.5,541.5,103.2,0
63,63,654.5,541.5,103.2,0
64,64,654.5,541.5,103.2,0
65,65,654.5,541.5,103.2,0
66,66,654.5,541.5,103.2,0
67,67,654.5,541.5,103.2,0
68,68,654.5,541.5,103.2,0
69,69,653.5,540.5,104.3,0
70,70,654.5,541.5,103.2,0
71,71,654.5,541.5,103.2,0
72,72,654.5,541.5,103.2,0
73,73,654.5,541.5,103.2,0
74,74,654.5,541.5,103.2,0
75,75,654.5,541.5,103.2,0
76,76,654.5,541.5,103.2,0
77,77,654.5,541.5,103.2,0
78,78,654.5,541.5,103.2,0
79,79,653.5,542.5,103.2,0
80,80,654.5,541.5,103.2,0
81,81,654.5,541.5,103.2,0
82,82,654.5,541.5,103.2,0
83,83,654.5,541.5,103.2,0
84,84,654.5,541.5,103.2,0
85,85,654.5,541.5,103.2,0
86,86,654.5,541.5,103.2,0
87,87,654.5,541.5,103.2,0
88,88,654.5,541.5,103.2,0
89,89,654.5,541.5,103.2,0
90,90,654.5,541.5,103.2,0
91,91,654.5,541.5,103.2,0
92,92,654.5,541.5,103.2,0
93,93,654.5,541.5,103.2,0
94,94,654.5,541.5,103.2,0
95,95,654.5,541.5,103.2,0
96,96,654.5,541.5,103.2,0
97,97,654.5,541.5,103.2,0
98,98,653.5,540.5,104.3,0
99,99,654.5,541.5,103.2,0
100,100,654.5,541.5,103.2,0
101,101,654.5,541.5,103.2,0
102,102,654.5,541.5,103.2,0
103,103,654.5,541.5,103.2,0
104,104,654.5,541.5,103.2,0
105,105,654.5,541.5,103.2,0
106,106,654.5,541.5,103.2,0
107,107,654.5,541.5,103.2,0
108,108,654.5,541.5,103.2,0
109,109,654.5,541.5,103.2,0
110,110,654.5,541.5,103.2,0
111,111,654.5,541.5,103.2,0
112,112,654.5,541.5,103.2,0
113,113,654.5,541.5,103.2,0
114,114,654.5,541.5,103.2,0
115,115,654.5,541.5,103.2,0
116,116,654.5,541.5,103.2,0
117,117,654.5,541.5,103.2,0
118,118,654.5,541.5,103.2,0
119,119,654.5,541.5,103.2,0
120,120,654.5,541.5,103.2,0
121,121,654.5,541.5,103.2,0
122,122,654.5,541.5,103.2,0
123,123,654.5,541.5,103.2,0
124,124,654.5,541.5,103.2,0
125,125,654.5,541.5,103.2,0
126,126,654.5,541.5,103.2,0
127,127,654.5,541.5,103.2,0
128,128,654.5,541.5,103.2,0
129,129,654.5,541.5,103.2,0
130,130,654.5,541.5,103.2,0
131,131,654.5,541.5,103.2,0
132,132,654.5,541.5,103.2,0
133,133,654.5,541.5,103.2,0
134,134,655.5,542.5,104.3,0
135,135,654.5,541.5,103.2,0
136,136,654.5,541.5,103.2,0
137,137,654.5,541.5,103.2,0
138,138,654.5,541.5,103.2,0
139,139,654.5,541.5,103.2,0
140,140,654.5,541.5,103.2,0
141,141,654.5,541.5,103.2,0
142,142,654.5,541.5,103.2,0
143,143,654.5,541.5,103.2,0
144,144,654.5,541.5,103.2,0
145,145,654.5,541.5,103.2,0
146,146,654.5,541.5,103.2,0
147,147,654.5,541.5,103.2,0
148,148,654.5,541.5,103.2,0
149,149,654.5,541.5,103.2,0
150,150,654.5,541.5,103.2,0
151,151,654.5,541.5,103.2,0
152,152,654.5,541.5,103.2,0
153,153,654.5,541.5,103.2,0
154,154,654.5,541.5,103.2,0
155,155,654.5,541.5,103.2,0
156,156,654.5,541.5,103.2,0
157,157,654.5,541.5,103.2,0
158,158,654.5,541.5,103.2,0
159,159,654.5,541.5,103.2,0
160,160,654.5,541.5,103.2,0
161,161,654.5,541.5,103.2,0
162,162,654.5,541.5,103.2,0
163,163,654.5,541.5,103.2,0
164,164,654.5,541.5,103.2,0
165,165,654.5,541.5,103.2,0
166,166,654.5,541.5,103.2,0
167,167,654.5,541.5,103.2,0
168,168,654.5,541.5,103.2,0
169,169,654.5,541.5,103.2,0
170,170,654.5,541.5,103.2,0
171,171,654.5,541.5,103.2,0
172,172,654.5,541.5,103.2,0
173,173,654.5,541.5,103.2,0
174,174,654.5,541.5,103.2,0
175,175,654.5,541.5,103.2,0
176,176,654.5,541.5,103.2,0
177,177,654.5,541.5,103.2,0
178,178,654.5,541.5,103.2,0
179,179,654.5,541.5,103.2,0
180,180,654.5,541.5,103.2,0
181,181,654.5,541.5,103.2,0
182,182,654.5,541.5,103.2,0
183,183,654.5,541.5,103.2,0
184,184,654.5,541.5,103.2,0
185,185,654.5,541.5,103.2,0
186,186,654.5,541.5,103.2,0
187,187,654.5,541.5,103.2,0
188,188,654.5,541.5,103.2,0
189,189,654.5,541.5,103.2,0
190,190,654.5,541.5,103.2,0
191,191,654.5,541.5,103.2,0
192,192,654.5,541.5,103.2,0
193,193,654.5,541.5,103.2,0
194,194,654.5,541.5,103.2,0
195,195,654.5,541.5,103.2,0
196,196,654.5,541.5,103.2,0
197,197,654.5,541.5,103.2,0
198,198,654.5,541.5,103.2,0
199,199,655.5,542.5,104.3,0
200,200,654.5,541.5,103.2,0
201,201,654.5,541.5,103.2,0
202,202,654.5,541.5,103.2,0
203,203,654.5,541.5,103.2,0
204,204,654.5,541.5,103.2,0
205,205,654.5,541.5,103.2,0
206,206,654.5,541.5,103.2,0
207,207,653.5,540.5,104.3,0
208,208,654.5,541.5,103.2,0
209,209,654.5,541.5,103.2,0
210,210,654.5,541.5,103.2,0
211,211,654.5,541.5,103.2,0
212,212,654.5,541.5,103.2,0
213,213,654.5,541.5,103.2,0
214,214,654.5,541.5,103.2,0
215,215,654.5,541.5,103.2,0
216,216,654.5,541.5,103.2,0
217,217,653.5,542.5,103.2,0
218,218,653.5,542.5,103.2,0
219,219,653.5,542.5,103.2,0
220,220,653.5,542.5,103.2,0
221,221,654.5,541.5,103.2,0
222,222,654.5,541.5,103.2,0
223,223,654.5,541.5,103.2,0
224,224,654.5,541.5,103.2,0
225,225,654.5,541.5,103.2,0
226,226,654.5,541.5,103.2,0
227,227,653.5,540.5,104.3,0
228,228,653.5,540.5,104.3,0
229,229,653.5,540.5,104.3,0
230,230,654.5,541.5,103.2,0
231,231,654.5,541.5,103.2,0
232,232,654.5,541.5,103.2,0
233,233,654.5,541.5,103.2,0
234,234,654.5,541.5,103.2,0
235,235,654.5,541.5,103.2,0
236,236,654.5,541.5,103.2,0
237,237,654.5,541.5,103.2,0
238,238,654.5,541.5,103.2,0
239,239,654.5,541.5,103.2,0
240,240,654.5,541.5,103.2,0
241,241,654.5,541.5,103.2,0
242,242,654.5,541.5,103.2,0
243,243,654.5,541.5,103.2,0
244,244,654.5,541.5,103.2,0
245,245,654.5,541.5,103.2,0
246,246,655.5,542.5,104.3,0
247,247,655.5,542.5,104.3,0
248,248,654.5,541.5,103.2,0
249,249,654.5,541.5,103.2,0
250,250,654.5,541.5,103.2,0
251,251,654.5,541.5,103.2,0
252,252,654.5,541.5,103.2,0
253,253,654.5,541.5,103.2,0
254,254,654.5,541.5,103.2,0
255,255,654.5,541.5,103.2,0
256,256,654.5,541.5,103.2,0
257,257,654.5,541.5,103.2,0
258,258,654.5,541.5,103.2,0
259,259,654.5,541.5,103.2,0
260,260,654.5,541.5,103.2,0
261,261,654.5,541.5,103.2,0
262,262,654.5,541.5,103.2,0
263,263,654.5,541.5,103.2,0
264,264,654.5,541.5,103.2,0
265,265,654.5,541.5,103.2,0
266,266,654.5,541.5,103.2,0
267,267,654.5,541.5,103.2,0
268,268,654.5,541.5,103.2,0
269,269,654.5,541.5,103.2,0
270,270,654.5,541.5,103.2,0
271,271,654.5,541.5,103.2,0
272,272,654.5,541.5,103.2,0
273,273,654.5,541.5,103.2,0
274,274,654.5,541.5,103.2,0
275,275,654.5,541.5,103.2,0
276,276,654.5,541.5,103.2,0
277,277,654.5,541.5,103.2,0
278,278,654.5,541.5,103.2,0
279,279,654.5,541.5,103.2,0
280,280,654.5,541.5,103.2,0
281,281,654.5,541.5,103.2,0
282,282,654.5,541.5,103.2,0
283,283,654.5,541.5,103.2,0
284,284,654.5,541.5,103.2,0
285,285,654.5,541.5,103.2,0
286,286,654.5,541.5,103.2,0
287,287,654.5,541.5,103.2,0
288,288,654.5,541.5,103.2,0
289,289,654.5,541.5,103.2,0
290,290,654.5,541.5,103.2,0
291,291,654.5,541.5,103.2,0
292,292,654.5,541.5,103.2,0
293,293,654.5,541.5,103.2,0
294,294,654.5,541.5,103.2,0
295,295,654.5,541.5,103.2,0
296,296,654.5,541.5,103.2,0
297,297,654.5,541.5,103.2,0
298,298,654.5,541.5,103.2,0
299,299,654.5,541.5,103.2,0
300,300,654.5,541.5,103.2,0
301,301,654.5,541.5,103.2,0
302,302,654.5,541.5,103.2,0
303,303,654.5,541.5,103.2,0
304,304,654.5,541.5,103.2,0
305,305,654.5,541.5,103.2,0
306,306,654.5,541.5,103.2,0
307,307,654.5,541.5,103.2,0
308,308,654.5,541.5,103.2,0
309,309,654.5,542.5,104.3,0
310,310,654.5,542.5,104.3,0
311,311,654.5,542.5,104.3,0
312,312,654.5,542.5,104.3,0
313,313,653.5,540.5,104.3,0
314,314,653.5,540.5,104.3,0
315,315,653.5,540.5,104.3,0
316,316,655.5,540.5,104.3,0
317,317,654.5,542.5,103.2,0
318,318,654.5,542.5,103.2,0
319,319,654.5,542.5,103.2,0
320,320,654.5,541.5,103.2,0
321,321,654.5,541.5,103.2,0
322,322,654.5,541.5,103.2,0
323,323,655.5,542.5,104.3,0
324,324,655.5,542.5,104.3,0
325,325,655.5,542.5,104.3,0
326,326,655.5,541.5,103.2,0
327,327,655.5,541.5,103.2,0
328,328,655.5,541.5,103.2,0
329,329,655.5,541.5,103.2,0
330,330,655.5,542.5,104.3,0
331,331,655.5,542.5,104.3,0
332,332,655.5,541.5,103.2,0
333,333,655.5,541.5,103.2,0
334,334,655.5,541.5,103.2,0
335,335,655.5,541.5,103.2,0
336,336,655.5,541.5,103.2,0
337,337,653.5,541.5,104.3,0
338,338,654.5,542.5,103.2,0
339,339,653.5,541.5,104.3,0
340,340,653.5,541.5,104.3,0
341,341,653.5,541.5,104.3,0
342,342,653.5,541.5,104.3,0
343,343,653.5,541.5,104.3,0
344,344,655.5,542.5,103.2,0
345,345,656.5,543.5,104.3,0
346,346,655.5,542.5,104.3,0
347,347,654.5,542.5,103.2,0
348,348,654.5,542.5,103.2,0
349,349,654.5,542.5,103.2,0
350,350,654.5,542.5,103.2,0
351,351,654.5,542.5,105.4,0
352,352,656.5,543.5,104.3,0
353,353,653.5,542.5,104.3,0
354,354,653.5,542.5,104.3,0
355,355,653.5,542.5,104.3,0
356,356,653.5,542.5,104.3,0
357,357,653.5,542.5,104.3,0
358,358,655.5,542.5,103.2,0
