,frame,x,y,r
0,1.0,629.5,577.5,120.4
1,2.0,629.5,577.5,120.4
2,3.0,629.5,577.5,120.4
3,4.0,629.5,577.5,120.4
4,5.0,629.5,575.5,120.4
5,6.0,628.5,576.5,119.3
6,7.0,629.5,575.5,120.4
7,8.0,628.5,576.5,119.3
8,9.0,628.5,576.5,119.3
9,10.0,628.5,576.5,119.3
10,11.0,628.5,576.5,119.3
11,12.0,629.5,577.5,120.4
12,13.0,628.5,576.5,119.3
13,14.0,628.5,576.5,119.3
14,15.0,629.5,577.5,120.4
15,16.0,628.5,576.5,119.3
16,17.0,629.5,577.5,120.4
17,18.0,629.5,577.5,120.4
18,19.0,628.5,576.5,119.3
19,20.0,628.5,576.5,119.3
20,21.0,628.5,576.5,119.3
21,22.0,628.5,576.5,119.3
22,23.0,628.5,576.5,119.3
23,24.0,629.5,577.5,120.4
24,25.0,629.5,577.5,120.4
25,26.0,628.5,576.5,119.3
26,27.0,629.5,577.5,120.4
27,28.0,629.5,577.5,120.4
28,29.0,628.5,576.5,119.3
29,30.0,628.5,576.5,119.3
30,31.0,628.5,576.5,119.3
31,32.0,628.5,576.5,119.3
32,33.0,628.5,576.5,119.3
33,34.0,628.5,576.5,119.3
34,35.0,630.5,575.5,120.4
35,36.0,628.5,576.5,119.3
36,37.0,628.5,576.5,119.3
37,38.0,628.5,576.5,119.3
38,39.0,628.5,576.5,119.3
39,40.0,628.5,576.5,119.3
40,41.0,628.5,576.5,119.3
41,42.0,629.5,576.5,119.3
42,43.0,628.5,576.5,119.3
43,44.0,629.5,576.5,119.3
44,45.0,630.5,575.5,120.4
45,46.0,628.5,576.5,119.3
46,47.0,628.5,576.5,119.3
47,48.0,629.5,576.5,119.3
48,49.0,628.5,576.5,119.3
49,50.0,628.5,576.5,119.3
50,51.0,628.5,576.5,119.3
51,52.0,629.5,577.5,120.4
52,53.0,628.5,576.5,119.3
53,54.0,629.5,577.5,120.4
54,55.0,628.5,576.5,119.3
55,56.0,628.5,576.5,119.3
56,57.0,628.5,576.5,119.3
57,58.0,628.5,576.5,119.3
58,59.0,630.5,575.5,120.4
59,60.0,628.5,576.5,119.3
60,61.0,629.5,577.5,120.4
61,62.0,628.5,576.5,119.3
62,63.0,628.5,576.5,119.3
63,64.0,629.5,577.5,120.4
64,65.0,628.5,576.5,119.3
65,66.0,628.5,576.5,119.3
66,67.0,628.5,576.5,119.3
67,68.0,628.5,576.5,119.3
68,69.0,630.5,575.5,120.4
69,70.0,628.5,576.5,119.3
70,71.0,628.5,576.5,119.3
71,72.0,628.5,576.5,119.3
72,73.0,628.5,576.5,119.3
73,74.0,628.5,576.5,119.3
74,75.0,628.5,576.5,119.3
75,76.0,628.5,576.5,119.3
76,77.0,630.5,575.5,120.4
77,78.0,628.5,576.5,119.3
78,79.0,628.5,576.5,119.3
79,80.0,629.5,577.5,120.4
80,81.0,629.5,577.5,120.4
81,82.0,628.5,576.5,119.3
82,83.0,629.5,577.5,120.4
83,84.0,630.5,575.5,120.4
84,85.0,628.5,576.5,119.3
85,86.0,629.5,577.5,120.4
86,87.0,629.5,577.5,120.4
87,88.0,628.5,576.5,119.3
88,89.0,628.5,576.5,119.3
89,90.0,628.5,576.5,119.3
90,91.0,628.5,576.5,119.3
91,92.0,628.5,576.5,119.3
92,93.0,628.5,576.5,119.3
93,94.0,628.5,576.5,119.3
94,95.0,629.5,577.5,120.4
95,96.0,628.5,576.5,119.3
96,97.0,630.5,575.5,120.4
97,98.0,628.5,576.5,119.3
98,99.0,628.5,576.5,119.3
99,100.0,628.5,576.5,119.3
100,101.0,628.5,576.5,119.3
101,102.0,628.5,576.5,119.3
102,103.0,628.5,576.5,119.3
103,104.0,628.5,576.5,119.3
104,105.0,628.5,576.5,119.3
105,106.0,628.5,576.5,119.3
106,107.0,628.5,576.5,119.3
107,108.0,628.5,576.5,119.3
108,109.0,628.5,576.5,119.3
109,110.0,628.5,576.5,119.3
110,111.0,628.5,576.5,119.3
111,112.0,628.5,576.5,119.3
112,113.0,628.5,576.5,119.3
113,114.0,628.5,576.5,119.3
114,115.0,629.5,576.5,119.3
115,116.0,628.5,576.5,119.3
116,117.0,630.5,575.5,120.4
117,118.0,628.5,576.5,119.3
118,119.0,628.5,576.5,119.3
119,120.0,630.5,575.5,120.4
120,121.0,628.5,576.5,119.3
121,122.0,628.5,576.5,119.3
122,123.0,628.5,576.5,119.3
123,124.0,628.5,576.5,119.3
124,125.0,628.5,576.5,119.3
125,126.0,628.5,576.5,119.3
126,127.0,628.5,576.5,119.3
127,128.0,629.5,577.5,120.4
128,129.0,629.5,577.5,120.4
129,130.0,629.5,577.5,120.4
130,131.0,628.5,576.5,119.3
131,132.0,629.5,577.5,120.4
132,133.0,628.5,576.5,119.3
133,134.0,628.5,576.5,119.3
134,135.0,630.5,575.5,120.4
135,136.0,628.5,576.5,119.3
136,137.0,628.5,576.5,119.3
137,138.0,628.5,576.5,119.3
138,139.0,628.5,576.5,119.3
139,140.0,628.5,576.5,119.3
140,141.0,628.5,576.5,119.3
141,142.0,628.5,576.5,119.3
142,143.0,628.5,576.5,119.3
143,144.0,628.5,576.5,119.3
144,145.0,628.5,575.5,120.4
145,146.0,628.5,576.5,119.3
146,147.0,630.5,575.5,120.4
147,148.0,629.5,576.5,119.3
148,149.0,630.5,575.5,120.4
149,150.0,628.5,576.5,119.3
150,151.0,628.5,576.5,119.3
151,152.0,628.5,576.5,119.3
152,153.0,630.5,575.5,120.4
153,154.0,630.5,575.5,120.4
154,155.0,630.5,575.5,120.4
155,156.0,628.5,576.5,119.3
156,157.0,629.5,576.5,119.3
157,158.0,629.5,575.5,120.4
158,159.0,628.5,576.5,119.3
159,160.0,628.5,576.5,119.3
160,161.0,629.5,576.5,119.3
161,162.0,630.5,575.5,120.4
162,163.0,628.5,576.5,119.3
163,164.0,628.5,576.5,119.3
164,165.0,628.5,576.5,119.3
165,166.0,630.5,575.5,120.4
166,167.0,628.5,576.5,119.3
167,168.0,628.5,576.5,119.3
168,169.0,628.5,576.5,119.3
169,170.0,628.5,576.5,119.3
170,171.0,629.5,576.5,119.3
171,172.0,628.5,576.5,119.3
172,173.0,628.5,576.5,119.3
173,174.0,628.5,575.5,120.4
174,175.0,628.5,575.5,120.4
175,176.0,628.5,576.5,119.3
176,177.0,628.5,576.5,119.3
177,178.0,629.5,577.5,120.4
178,179.0,628.5,576.5,119.3
179,180.0,628.5,576.5,119.3
180,181.0,628.5,576.5,119.3
181,182.0,628.5,576.5,119.3
182,183.0,628.5,576.5,119.3
183,184.0,628.5,576.5,119.3
184,185.0,630.5,575.5,120.4
185,186.0,628.5,576.5,119.3
186,187.0,628.5,576.5,119.3
187,188.0,628.5,576.5,119.3
188,189.0,630.5,575.5,120.4
189,190.0,628.5,576.5,119.3
190,191.0,628.5,576.5,119.3
191,192.0,630.5,575.5,120.4
192,193.0,628.5,576.5,119.3
193,194.0,628.5,576.5,119.3
194,195.0,628.5,576.5,119.3
195,196.0,629.5,575.5,120.4
196,197.0,628.5,576.5,119.3
197,198.0,630.5,575.5,120.4
198,199.0,628.5,576.5,119.3
199,200.0,629.5,576.5,119.3
200,201.0,630.5,575.5,120.4
201,202.0,628.5,576.5,119.3
202,203.0,628.5,576.5,119.3
203,204.0,628.5,576.5,119.3
204,205.0,628.5,576.5,119.3
205,206.0,628.5,576.5,119.3
206,207.0,628.5,576.5,119.3
207,208.0,628.5,576.5,119.3
208,209.0,630.5,575.5,120.4
209,210.0,628.5,576.5,119.3
210,211.0,628.5,576.5,119.3
211,212.0,630.5,575.5,120.4
212,213.0,630.5,575.5,120.4
213,214.0,628.5,576.5,119.3
214,215.0,628.5,576.5,119.3
215,216.0,628.5,576.5,119.3
216,217.0,630.5,575.5,120.4
217,218.0,630.5,575.5,120.4
218,219.0,628.5,576.5,119.3
219,220.0,628.5,576.5,119.3
220,221.0,629.5,575.5,120.4
221,222.0,628.5,576.5,119.3
222,223.0,630.5,575.5,120.4
223,224.0,630.5,575.5,120.4
224,225.0,629.5,576.5,119.3
225,226.0,630.5,575.5,120.4
226,227.0,628.5,576.5,119.3
227,228.0,630.5,575.5,120.4
228,229.0,630.5,575.5,120.4
229,230.0,628.5,576.5,119.3
230,231.0,628.5,576.5,119.3
231,232.0,628.5,576.5,119.3
232,233.0,628.5,576.5,119.3
233,234.0,628.5,576.5,119.3
234,235.0,629.5,575.5,120.4
235,236.0,628.5,576.5,119.3
236,237.0,628.5,576.5,119.3
237,238.0,628.5,576.5,119.3
238,239.0,629.5,577.5,120.4
239,240.0,629.5,577.5,120.4
240,241.0,630.5,575.5,120.4
241,242.0,630.5,575.5,120.4
242,243.0,628.5,575.5,120.4
243,244.0,628.5,576.5,119.3
244,245.0,630.5,575.5,120.4
245,246.0,628.5,576.5,119.3
246,247.0,628.5,576.5,119.3
247,248.0,628.5,576.5,119.3
248,249.0,628.5,575.5,120.4
249,250.0,628.5,576.5,119.3
250,251.0,628.5,576.5,119.3
251,252.0,628.5,576.5,119.3
252,253.0,630.5,575.5,120.4
253,254.0,628.5,576.5,119.3
254,255.0,628.5,576.5,119.3
255,256.0,628.5,576.5,119.3
256,257.0,630.5,575.5,120.4
257,258.0,628.5,576.5,119.3
258,259.0,628.5,576.5,119.3
259,260.0,628.5,576.5,119.3
260,261.0,628.5,576.5,119.3
261,262.0,628.5,576.5,119.3
262,263.0,630.5,575.5,120.4
263,264.0,628.5,576.5,119.3
264,265.0,628.5,576.5,119.3
265,266.0,629.5,577.5,120.4
266,267.0,630.5,575.5,120.4
267,268.0,630.5,575.5,120.4
268,269.0,628.5,576.5,119.3
