,frame,frame.1,x,y,r,particle
0,1,1,653.5,554.5,118.2,0
1,2,2,653.5,554.5,118.2,0
2,3,3,653.5,552.5,118.2,0
3,4,4,654.5,553.5,117.1,0
4,5,5,654.5,553.5,117.1,0
5,6,6,654.5,553.5,117.1,0
6,7,7,655.5,552.5,118.2,0
7,8,8,654.5,553.5,117.1,0
8,9,9,653.5,552.5,118.2,0
9,10,10,654.5,553.5,117.1,0
10,11,11,654.5,553.5,117.1,0
11,12,12,654.5,553.5,117.1,0
12,13,13,653.5,553.5,117.1,0
13,14,14,654.5,553.5,117.1,0
14,15,15,653.5,554.5,118.2,0
15,16,16,654.5,553.5,117.1,0
16,17,17,654.5,553.5,117.1,0
17,18,18,654.5,553.5,117.1,0
18,19,19,654.5,553.5,117.1,0
19,20,20,654.5,553.5,117.1,0
20,21,21,653.5,554.5,118.2,0
21,22,22,654.5,553.5,117.1,0
22,23,23,654.5,551.5,119.3,0
23,24,24,653.5,554.5,118.2,0
24,25,25,654.5,553.5,117.1,0
25,26,26,653.5,554.5,118.2,0
26,27,27,653.5,554.5,118.2,0
27,28,28,653.5,554.5,118.2,0
28,29,29,653.5,554.5,118.2,0
29,30,30,653.5,554.5,118.2,0
30,31,31,653.5,554.5,118.2,0
31,32,32,654.5,553.5,117.1,0
32,33,33,654.5,553.5,117.1,0
33,34,34,654.5,553.5,117.1,0
34,35,35,654.5,553.5,117.1,0
35,36,36,654.5,553.5,117.1,0
36,37,37,653.5,554.5,118.2,0
37,38,38,654.5,553.5,117.1,0
38,39,39,653.5,552.5,118.2,0
39,40,40,653.5,552.5,118.2,0
40,41,41,653.5,554.5,118.2,0
41,42,42,653.5,553.5,117.1,0
42,43,43,653.5,552.5,118.2,0
43,44,44,653.5,554.5,118.2,0
44,45,45,654.5,553.5,117.1,0
45,46,46,653.5,554.5,118.2,0
46,47,47,654.5,553.5,117.1,0
47,48,48,653.5,554.5,118.2,0
48,49,49,653.5,554.5,118.2,0
49,50,50,653.5,552.5,118.2,0
50,51,51,653.5,554.5,118.2,0
51,52,52,654.5,553.5,117.1,0
52,53,53,654.5,553.5,117.1,0
53,54,54,653.5,554.5,118.2,0
54,55,55,654.5,553.5,117.1,0
55,56,56,654.5,553.5,117.1,0
56,57,57,654.5,553.5,117.1,0
57,58,58,653.5,554.5,118.2,0
58,59,59,654.5,553.5,117.1,0
59,60,60,653.5,554.5,118.2,0
60,61,61,654.5,553.5,117.1,0
61,62,62,654.5,553.5,117.1,0
62,63,63,654.5,553.5,117.1,0
63,64,64,654.5,553.5,117.1,0
64,65,65,653.5,553.5,117.1,0
65,66,66,654.5,553.5,117.1,0
66,67,67,652.5,553.5,119.3,0
67,68,68,654.5,553.5,117.1,0
68,69,69,653.5,554.5,118.2,0
69,70,70,654.5,553.5,117.1,0
70,71,71,654.5,553.5,117.1,0
71,72,72,654.5,553.5,117.1,0
72,73,73,654.5,553.5,117.1,0
73,74,74,654.5,553.5,117.1,0
74,75,75,654.5,553.5,117.1,0
75,76,76,654.5,553.5,117.1,0
76,77,77,653.5,553.5,117.1,0
77,78,78,653.5,552.5,118.2,0
78,79,79,653.5,552.5,118.2,0
79,80,80,654.5,551.5,119.3,0
80,81,81,653.5,553.5,117.1,0
81,82,82,653.5,552.5,118.2,0
82,83,83,654.5,553.5,117.1,0
