,frame,x,y,r
0,1.0,654.5,548.5,118.2
1,2.0,653.5,546.5,119.3
2,3.0,652.5,548.5,118.2
3,4.0,653.5,546.5,119.3
4,5.0,651.5,547.5,119.3
5,6.0,652.5,546.5,118.2
6,7.0,654.5,548.5,118.2
7,8.0,654.5,548.5,118.2
8,9.0,654.5,548.5,118.2
9,10.0,652.5,547.5,118.2
10,11.0,651.5,547.5,119.3
11,12.0,652.5,547.5,118.2
12,13.0,652.5,548.5,118.2
13,14.0,654.5,548.5,118.2
14,15.0,653.5,546.5,119.3
15,16.0,653.5,546.5,119.3
16,17.0,653.5,546.5,119.3
17,18.0,653.5,546.5,119.3
18,19.0,655.5,547.5,119.3
19,20.0,653.5,547.5,118.2
20,21.0,654.5,548.5,118.2
21,22.0,655.5,547.5,119.3
22,23.0,653.5,546.5,119.3
23,24.0,654.5,548.5,118.2
24,25.0,653.5,547.5,118.2
25,26.0,653.5,546.5,119.3
26,27.0,653.5,546.5,119.3
27,28.0,652.5,548.5,118.2
28,29.0,654.5,548.5,118.2
29,30.0,654.5,548.5,118.2
30,31.0,653.5,546.5,119.3
31,32.0,653.5,546.5,119.3
32,33.0,652.5,547.5,118.2
33,34.0,652.5,547.5,118.2
34,35.0,654.5,548.5,118.2
35,36.0,654.5,548.5,118.2
36,37.0,654.5,548.5,118.2
37,38.0,655.5,547.5,119.3
38,39.0,652.5,548.5,118.2
39,40.0,653.5,547.5,118.2
40,41.0,651.5,547.5,119.3
41,42.0,653.5,547.5,118.2
42,43.0,652.5,547.5,118.2
43,44.0,652.5,547.5,118.2
44,45.0,652.5,547.5,118.2
45,46.0,653.5,546.5,119.3
46,47.0,653.5,546.5,119.3
47,48.0,653.5,546.5,119.3
48,49.0,654.5,548.5,118.2
49,50.0,652.5,547.5,118.2
50,51.0,652.5,547.5,118.2
51,52.0,652.5,547.5,118.2
52,53.0,652.5,548.5,118.2
53,54.0,653.5,547.5,118.2
54,55.0,652.5,548.5,118.2
55,56.0,652.5,547.5,118.2
56,57.0,653.5,547.5,118.2
57,58.0,652.5,547.5,118.2
58,59.0,653.5,547.5,118.2
59,60.0,653.5,546.5,119.3
60,61.0,654.5,548.5,118.2
61,62.0,653.5,546.5,119.3
62,63.0,655.5,547.5,119.3
63,64.0,654.5,548.5,118.2
64,65.0,654.5,548.5,118.2
65,66.0,652.5,548.5,119.3
66,67.0,653.5,547.5,118.2
67,68.0,653.5,547.5,118.2
68,69.0,652.5,547.5,118.2
69,70.0,654.5,548.5,118.2
70,71.0,654.5,548.5,118.2
71,72.0,653.5,546.5,119.3
72,73.0,652.5,547.5,118.2
73,74.0,653.5,546.5,119.3
74,75.0,652.5,547.5,118.2
75,76.0,652.5,547.5,118.2
76,77.0,652.5,547.5,118.2
77,78.0,655.5,547.5,119.3
78,79.0,652.5,547.5,118.2
79,80.0,654.5,548.5,118.2
80,81.0,654.5,548.5,118.2
81,82.0,652.5,547.5,118.2
82,83.0,652.5,547.5,118.2
83,84.0,649.5,547.5,120.4
84,85.0,652.5,547.5,118.2
85,86.0,652.5,547.5,118.2
86,87.0,653.5,547.5,118.2
87,88.0,653.5,547.5,118.2
88,89.0,653.5,546.5,119.3
89,90.0,652.5,547.5,118.2
90,91.0,655.5,547.5,119.3
91,92.0,653.5,547.5,118.2
92,93.0,652.5,548.5,118.2
93,94.0,655.5,547.5,119.3
94,95.0,652.5,547.5,118.2
95,96.0,652.5,547.5,118.2
96,97.0,653.5,547.5,118.2
97,98.0,653.5,546.5,119.3
98,99.0,654.5,548.5,118.2
