frame,frame,x,y,r,particle
1,1,657.5,543.5,104.3,0
2,2,655.5,542.5,103.2,0
3,3,657.5,542.5,103.2,0
4,4,656.5,543.5,103.2,0
5,5,658.5,542.5,103.2,0
6,6,656.5,543.5,103.2,0
7,7,657.5,541.5,103.2,0
8,8,656.5,543.5,103.2,0
9,9,658.5,542.5,103.2,0
10,10,657.5,541.5,103.2,0
11,11,656.5,543.5,103.2,0
12,12,657.5,541.5,103.2,0
13,13,657.5,543.5,104.3,0
14,14,656.5,543.5,103.2,0
15,15,656.5,543.5,103.2,0
16,16,635.5,538.5,105.4,0
17,17,657.5,542.5,103.2,0
18,18,655.5,543.5,104.3,0
19,19,656.5,544.5,103.2,0
20,20,657.5,543.5,104.3,0
21,21,657.5,543.5,104.3,0
22,22,657.5,541.5,103.2,0
23,23,656.5,544.5,103.2,0
24,24,657.5,543.5,104.3,0
25,25,656.5,543.5,103.2,0
26,26,657.5,543.5,104.3,0
27,27,657.5,543.5,104.3,0
28,28,657.5,542.5,103.2,0
29,29,657.5,542.5,103.2,0
30,30,656.5,542.5,104.3,0
31,31,655.5,541.5,103.2,0
32,32,656.5,543.5,103.2,0
33,33,655.5,543.5,104.3,0
34,34,657.5,542.5,103.2,0
35,35,656.5,543.5,103.2,0
36,36,657.5,543.5,104.3,0
37,37,656.5,543.5,103.2,0
38,38,656.5,543.5,103.2,0
39,39,657.5,543.5,104.3,0
40,40,656.5,544.5,103.2,0
41,41,657.5,542.5,103.2,0
42,42,656.5,543.5,103.2,0
43,43,656.5,543.5,103.2,0
44,44,656.5,543.5,103.2,0
45,45,655.5,544.5,104.3,0
46,46,655.5,543.5,104.3,0
47,47,657.5,542.5,103.2,0
48,48,655.5,541.5,103.2,0
49,49,657.5,542.5,103.2,0
50,50,657.5,542.5,103.2,0
51,51,656.5,544.5,103.2,0
52,52,657.5,543.5,104.3,0
53,53,656.5,544.5,103.2,0
54,54,656.5,543.5,103.2,0
55,55,657.5,543.5,104.3,0
56,56,655.5,543.5,104.3,0
57,57,657.5,542.5,103.2,0
58,58,657.5,542.5,103.2,0
59,59,656.5,544.5,105.4,0
60,60,657.5,542.5,103.2,0
61,61,656.5,544.5,103.2,0
62,62,656.5,543.5,103.2,0
63,63,655.5,543.5,104.3,0
64,64,656.5,543.5,103.2,0
65,65,656.5,543.5,103.2,0
66,66,656.5,543.5,103.2,0
67,67,656.5,543.5,103.2,0
68,68,657.5,543.5,104.3,0
69,69,656.5,544.5,103.2,0
70,70,656.5,544.5,103.2,0
71,71,657.5,543.5,104.3,0
72,72,656.5,543.5,103.2,0
73,73,656.5,543.5,103.2,0
74,74,657.5,541.5,103.2,0
75,75,657.5,543.5,104.3,0
76,76,656.5,543.5,103.2,0
77,77,656.5,543.5,103.2,0
78,78,656.5,543.5,103.2,0
79,79,655.5,541.5,103.2,0
80,80,657.5,542.5,103.2,0
81,81,656.5,544.5,105.4,0
82,82,656.5,543.5,103.2,0
83,83,656.5,544.5,105.4,0
84,84,657.5,543.5,104.3,0
85,85,657.5,542.5,103.2,0
86,86,657.5,542.5,103.2,0
87,87,657.5,542.5,103.2,0
88,88,657.5,542.5,103.2,0
89,89,656.5,543.5,103.2,0
90,90,657.5,543.5,104.3,0
91,91,657.5,541.5,103.2,0
92,92,657.5,542.5,103.2,0
93,93,656.5,543.5,103.2,0
94,94,656.5,542.5,104.3,0
95,95,656.5,543.5,103.2,0
96,96,656.5,543.5,103.2,0
97,97,657.5,541.5,103.2,0
98,98,657.5,542.5,103.2,0
99,99,656.5,543.5,103.2,0
100,100,655.5,543.5,104.3,0
101,101,657.5,542.5,103.2,0
102,102,657.5,543.5,104.3,0
103,103,656.5,544.5,103.2,0
104,104,655.5,543.5,104.3,0
105,105,656.5,543.5,103.2,0
106,106,657.5,543.5,104.3,0
107,107,656.5,543.5,103.2,0
108,108,657.5,543.5,104.3,0
109,109,656.5,544.5,105.4,0
110,110,657.5,542.5,103.2,0
111,111,656.5,544.5,105.4,0
112,112,655.5,543.5,104.3,0
113,113,656.5,544.5,103.2,0
114,114,657.5,542.5,103.2,0
115,115,656.5,543.5,103.2,0
116,116,657.5,541.5,103.2,0
117,117,657.5,541.5,103.2,0
118,118,656.5,544.5,103.2,0
119,119,655.5,544.5,104.3,0
120,120,657.5,542.5,103.2,0
121,121,657.5,542.5,103.2,0
122,122,655.5,543.5,104.3,0
123,123,656.5,543.5,103.2,0
124,124,656.5,543.5,103.2,0
125,125,656.5,541.5,103.2,0
126,126,656.5,543.5,103.2,0
127,127,656.5,543.5,103.2,0
128,128,656.5,543.5,103.2,0
129,129,657.5,542.5,103.2,0
130,130,655.5,542.5,103.2,0
131,131,656.5,544.5,103.2,0
132,132,655.5,542.5,103.2,0
133,133,656.5,543.5,103.2,0
134,134,656.5,543.5,103.2,0
135,135,656.5,544.5,103.2,0
136,136,657.5,542.5,103.2,0
137,137,656.5,544.5,103.2,0
138,138,656.5,542.5,104.3,0
139,139,657.5,541.5,103.2,0
140,140,656.5,542.5,104.3,0
141,141,656.5,543.5,103.2,0
142,142,656.5,544.5,105.4,0
143,143,656.5,542.5,104.3,0
144,144,655.5,544.5,104.3,0
145,145,656.5,543.5,103.2,0
146,146,656.5,543.5,103.2,0
147,147,656.5,542.5,104.3,0
148,148,657.5,542.5,103.2,0
149,149,635.5,538.5,105.4,0
150,150,656.5,543.5,103.2,0
151,151,656.5,544.5,103.2,0
152,152,657.5,541.5,103.2,0
153,153,657.5,542.5,103.2,0
154,154,669.5,555.5,104.3,0
155,155,657.5,542.5,103.2,0
156,156,656.5,544.5,103.2,0
157,157,657.5,543.5,104.3,0
158,158,656.5,543.5,103.2,0
159,159,656.5,544.5,103.2,0
160,160,657.5,543.5,104.3,0
161,161,656.5,544.5,103.2,0
162,162,656.5,543.5,103.2,0
163,163,657.5,543.5,104.3,0
164,164,656.5,543.5,103.2,0
165,165,656.5,543.5,103.2,0
166,166,656.5,544.5,103.2,0
167,167,657.5,542.5,103.2,0
168,168,656.5,542.5,104.3,0
169,169,656.5,543.5,103.2,0
170,170,657.5,542.5,103.2,0
171,171,656.5,544.5,103.2,0
