,frame,x,y,r
0,1.0,658.5,556.5,103.2
1,2.0,658.5,556.5,103.2
2,3.0,658.5,556.5,103.2
3,4.0,658.5,556.5,103.2
4,5.0,658.5,555.5,104.3
5,6.0,658.5,555.5,104.3
6,7.0,658.5,556.5,103.2
7,8.0,658.5,555.5,104.3
8,9.0,658.5,555.5,104.3
9,10.0,658.5,555.5,104.3
10,11.0,658.5,556.5,103.2
11,12.0,658.5,555.5,104.3
12,13.0,658.5,555.5,104.3
13,14.0,658.5,555.5,104.3
14,15.0,658.5,555.5,104.3
15,16.0,658.5,555.5,104.3
16,17.0,657.5,555.5,104.3
17,18.0,658.5,555.5,104.3
18,19.0,658.5,555.5,104.3
19,20.0,658.5,555.5,104.3
20,21.0,658.5,555.5,104.3
21,22.0,658.5,555.5,104.3
22,23.0,658.5,555.5,104.3
23,24.0,658.5,555.5,104.3
24,25.0,658.5,555.5,104.3
25,26.0,658.5,556.5,103.2
26,27.0,658.5,555.5,104.3
27,28.0,659.5,556.5,104.3
28,29.0,658.5,556.5,103.2
29,30.0,658.5,555.5,104.3
30,31.0,658.5,555.5,104.3
31,32.0,658.5,555.5,104.3
32,33.0,658.5,555.5,104.3
33,34.0,658.5,556.5,103.2
34,35.0,658.5,556.5,103.2
35,36.0,658.5,556.5,103.2
36,37.0,658.5,556.5,103.2
37,38.0,658.5,555.5,104.3
38,39.0,658.5,555.5,104.3
39,40.0,658.5,555.5,104.3
40,41.0,658.5,557.5,104.3
41,42.0,658.5,557.5,104.3
42,43.0,658.5,555.5,104.3
43,44.0,658.5,555.5,104.3
44,45.0,658.5,555.5,104.3
45,46.0,658.5,555.5,104.3
46,47.0,658.5,557.5,104.3
47,48.0,658.5,555.5,104.3
48,49.0,658.5,556.5,103.2
49,50.0,658.5,556.5,103.2
50,51.0,658.5,556.5,103.2
51,52.0,658.5,555.5,104.3
52,53.0,658.5,555.5,104.3
53,54.0,658.5,556.5,103.2
54,55.0,658.5,555.5,104.3
55,56.0,658.5,555.5,104.3
56,57.0,658.5,555.5,104.3
57,58.0,658.5,555.5,104.3
58,59.0,658.5,555.5,104.3
59,60.0,658.5,555.5,104.3
60,61.0,658.5,555.5,104.3
