,frame,x,y,r
0,1.0,653.5,554.5,118.2
1,2.0,653.5,554.5,118.2
2,3.0,653.5,552.5,118.2
3,4.0,654.5,553.5,117.1
4,5.0,654.5,553.5,117.1
5,6.0,654.5,553.5,117.1
6,7.0,655.5,552.5,118.2
7,8.0,654.5,553.5,117.1
8,9.0,653.5,552.5,118.2
9,10.0,654.5,553.5,117.1
10,11.0,654.5,553.5,117.1
11,12.0,654.5,553.5,117.1
12,13.0,653.5,553.5,117.1
13,14.0,654.5,553.5,117.1
14,15.0,653.5,554.5,118.2
15,16.0,654.5,553.5,117.1
16,17.0,654.5,553.5,117.1
17,18.0,654.5,553.5,117.1
18,19.0,654.5,553.5,117.1
19,20.0,654.5,553.5,117.1
20,21.0,653.5,554.5,118.2
21,22.0,654.5,553.5,117.1
22,23.0,654.5,551.5,119.3
23,24.0,653.5,554.5,118.2
24,25.0,654.5,553.5,117.1
25,26.0,653.5,554.5,118.2
26,27.0,653.5,554.5,118.2
27,28.0,653.5,554.5,118.2
28,29.0,653.5,554.5,118.2
29,30.0,653.5,554.5,118.2
30,31.0,653.5,554.5,118.2
31,32.0,654.5,553.5,117.1
32,33.0,654.5,553.5,117.1
33,34.0,654.5,553.5,117.1
34,35.0,654.5,553.5,117.1
35,36.0,654.5,553.5,117.1
36,37.0,653.5,554.5,118.2
37,38.0,654.5,553.5,117.1
38,39.0,653.5,552.5,118.2
39,40.0,653.5,552.5,118.2
40,41.0,653.5,554.5,118.2
41,42.0,653.5,553.5,117.1
42,43.0,653.5,552.5,118.2
43,44.0,653.5,554.5,118.2
44,45.0,654.5,553.5,117.1
45,46.0,653.5,554.5,118.2
46,47.0,654.5,553.5,117.1
47,48.0,653.5,554.5,118.2
48,49.0,653.5,554.5,118.2
49,50.0,653.5,552.5,118.2
50,51.0,653.5,554.5,118.2
51,52.0,654.5,553.5,117.1
52,53.0,654.5,553.5,117.1
53,54.0,653.5,554.5,118.2
54,55.0,654.5,553.5,117.1
55,56.0,654.5,553.5,117.1
56,57.0,654.5,553.5,117.1
57,58.0,653.5,554.5,118.2
58,59.0,654.5,553.5,117.1
59,60.0,653.5,554.5,118.2
60,61.0,654.5,553.5,117.1
61,62.0,654.5,553.5,117.1
62,63.0,654.5,553.5,117.1
63,64.0,654.5,553.5,117.1
64,65.0,653.5,553.5,117.1
65,66.0,654.5,553.5,117.1
66,67.0,652.5,553.5,119.3
67,68.0,654.5,553.5,117.1
68,69.0,653.5,554.5,118.2
69,70.0,654.5,553.5,117.1
70,71.0,654.5,553.5,117.1
71,72.0,654.5,553.5,117.1
72,73.0,654.5,553.5,117.1
73,74.0,654.5,553.5,117.1
74,75.0,654.5,553.5,117.1
75,76.0,654.5,553.5,117.1
76,77.0,653.5,553.5,117.1
77,78.0,653.5,552.5,118.2
78,79.0,653.5,552.5,118.2
79,80.0,654.5,551.5,119.3
80,81.0,653.5,553.5,117.1
81,82.0,653.5,552.5,118.2
82,83.0,654.5,553.5,117.1
