,frame,x,y,r
0,1.0,632.5,569.5,120.4
1,2.0,632.5,569.5,120.4
2,3.0,632.5,569.5,120.4
3,4.0,632.5,569.5,120.4
4,5.0,632.5,569.5,120.4
5,6.0,632.5,569.5,120.4
6,7.0,632.5,569.5,120.4
7,8.0,632.5,569.5,120.4
8,9.0,632.5,569.5,120.4
9,10.0,632.5,569.5,120.4
10,11.0,632.5,569.5,120.4
11,12.0,632.5,569.5,120.4
12,13.0,633.5,570.5,119.3
13,14.0,632.5,569.5,120.4
14,15.0,632.5,569.5,120.4
15,16.0,632.5,569.5,120.4
16,17.0,632.5,569.5,120.4
17,18.0,632.5,569.5,120.4
18,19.0,632.5,569.5,120.4
19,20.0,632.5,569.5,120.4
20,21.0,633.5,570.5,119.3
21,22.0,633.5,570.5,119.3
22,23.0,632.5,569.5,120.4
23,24.0,632.5,569.5,120.4
24,25.0,632.5,569.5,120.4
25,26.0,632.5,569.5,120.4
26,27.0,632.5,569.5,120.4
27,28.0,632.5,569.5,120.4
28,29.0,631.5,569.5,120.4
29,30.0,631.5,569.5,120.4
30,31.0,633.5,570.5,119.3
31,32.0,634.5,569.5,120.4
32,33.0,632.5,571.5,119.3
33,34.0,633.5,570.5,119.3
34,35.0,632.5,569.5,120.4
35,36.0,632.5,569.5,120.4
36,37.0,632.5,569.5,120.4
37,38.0,632.5,569.5,120.4
38,39.0,632.5,569.5,120.4
39,40.0,632.5,569.5,120.4
40,41.0,632.5,569.5,120.4
41,42.0,632.5,569.5,120.4
42,43.0,632.5,569.5,120.4
43,44.0,632.5,571.5,119.3
44,45.0,632.5,569.5,120.4
45,46.0,632.5,569.5,120.4
46,47.0,632.5,569.5,120.4
47,48.0,632.5,569.5,120.4
48,49.0,632.5,569.5,120.4
49,50.0,633.5,570.5,119.3
50,51.0,632.5,569.5,120.4
51,52.0,632.5,569.5,120.4
52,53.0,632.5,569.5,120.4
53,54.0,632.5,569.5,120.4
54,55.0,632.5,569.5,120.4
55,56.0,633.5,570.5,119.3
56,57.0,632.5,569.5,120.4
57,58.0,632.5,569.5,120.4
58,59.0,632.5,569.5,120.4
59,60.0,631.5,572.5,120.4
60,61.0,632.5,569.5,120.4
61,62.0,632.5,569.5,120.4
62,63.0,632.5,569.5,120.4
63,64.0,632.5,569.5,120.4
64,65.0,632.5,569.5,120.4
65,66.0,632.5,569.5,120.4
66,67.0,632.5,569.5,120.4
67,68.0,632.5,569.5,120.4
68,69.0,632.5,569.5,120.4
69,70.0,632.5,569.5,120.4
70,71.0,632.5,569.5,120.4
71,72.0,632.5,569.5,120.4
72,73.0,632.5,569.5,120.4
73,74.0,632.5,569.5,120.4
74,75.0,632.5,569.5,120.4
75,76.0,632.5,569.5,120.4
76,77.0,633.5,570.5,119.3
77,78.0,632.5,569.5,120.4
78,79.0,632.5,569.5,120.4
79,80.0,632.5,569.5,120.4
80,81.0,632.5,569.5,120.4
81,82.0,632.5,569.5,120.4
82,83.0,632.5,569.5,120.4
83,84.0,632.5,569.5,120.4
84,85.0,632.5,569.5,120.4
85,86.0,631.5,570.5,120.4
86,87.0,633.5,570.5,119.3
87,88.0,632.5,569.5,120.4
88,89.0,632.5,569.5,120.4
89,90.0,632.5,569.5,120.4
90,91.0,632.5,569.5,120.4
