frame,frame,x,y,r,particle
1,1,663.5,537.5,103.2,0
2,2,665.5,537.5,104.3,0
3,3,662.5,536.5,104.3,0
4,4,664.5,537.5,104.3,0
5,5,662.5,537.5,104.3,0
6,6,663.5,536.5,103.2,0
7,7,662.5,536.5,104.3,0
8,8,664.5,536.5,103.2,0
9,9,663.5,537.5,103.2,0
10,10,662.5,537.5,104.3,0
11,11,664.5,537.5,104.3,0
12,12,663.5,536.5,103.2,0
13,13,663.5,536.5,103.2,0
14,14,663.5,538.5,103.2,0
15,15,664.5,536.5,103.2,0
16,16,662.5,536.5,104.3,0
17,17,662.5,537.5,104.3,0
18,18,664.5,537.5,104.3,0
19,19,663.5,536.5,103.2,0
20,20,663.5,537.5,103.2,0
21,21,663.5,538.5,103.2,0
22,22,663.5,536.5,103.2,0
23,23,664.5,538.5,105.4,0
24,24,662.5,537.5,104.3,0
25,25,664.5,536.5,103.2,0
26,26,662.5,537.5,104.3,0
27,27,663.5,537.5,103.2,0
28,28,663.5,536.5,103.2,0
29,29,664.5,537.5,104.3,0
30,30,663.5,537.5,103.2,0
31,31,663.5,537.5,103.2,0
32,32,663.5,537.5,103.2,0
33,33,662.5,537.5,104.3,0
34,34,663.5,536.5,103.2,0
35,35,663.5,536.5,103.2,0
36,36,664.5,537.5,104.3,0
37,37,663.5,537.5,103.2,0
38,38,662.5,536.5,104.3,0
39,39,663.5,538.5,103.2,0
40,40,663.5,536.5,103.2,0
41,41,663.5,537.5,103.2,0
42,42,664.5,537.5,104.3,0
43,43,664.5,536.5,103.2,0
44,44,664.5,538.5,105.4,0
45,45,664.5,536.5,103.2,0
46,46,664.5,536.5,103.2,0
47,47,663.5,537.5,103.2,0
48,48,665.5,537.5,104.3,0
49,49,663.5,537.5,103.2,0
50,50,664.5,537.5,104.3,0
51,51,663.5,537.5,103.2,0
52,52,662.5,536.5,104.3,0
53,53,663.5,537.5,103.2,0
54,54,664.5,537.5,104.3,0
55,55,662.5,536.5,104.3,0
56,56,663.5,537.5,103.2,0
57,57,662.5,537.5,104.3,0
58,58,662.5,536.5,104.3,0
59,59,664.5,537.5,104.3,0
