frame,frame,x,y,r,particle
1,1,563.5,476.5,8.2,0
1,1,694.5,639.5,7.1,1
1,1,624.5,635.5,8.2,2
1,1,569.5,512.5,8.2,3
1,1,679.5,479.5,7.1,4
1,1,674.5,515.5,9.4,5
1,1,661.5,621.5,8.2,6
1,1,552.5,545.5,8.2,7
1,1,587.5,623.5,9.4,8
1,1,554.5,640.5,8.2,9
1,1,684.5,591.5,8.2,10
1,1,690.5,552.5,8.2,11
1,1,641.5,495.5,9.4,12
1,1,627.5,669.5,8.2,13
1,1,720.5,528.5,8.2,14
1,1,531.5,516.5,8.2,15
1,1,524.5,575.5,8.2,16
1,1,623.5,457.5,9.4,17
1,1,720.5,575.5,9.4,18
1,1,561.5,598.5,8.2,19
1,1,604.5,495.5,8.2,20
2,2,554.5,640.5,8.2,9
2,2,663.5,620.5,8.2,6
2,2,684.5,590.5,7.1,10
2,2,624.5,634.5,8.2,2
2,2,569.5,512.5,8.2,3
2,2,588.5,624.5,8.2,8
2,2,721.5,526.5,9.4,14
2,2,696.5,637.5,9.4,1
2,2,674.5,515.5,9.4,5
2,2,642.5,497.5,8.2,12
2,2,679.5,479.5,7.1,4
2,2,561.5,598.5,8.2,19
2,2,563.5,476.5,8.2,0
2,2,627.5,669.5,8.2,13
2,2,552.5,546.5,8.2,7
2,2,604.5,495.5,8.2,20
2,2,524.5,575.5,8.2,16
2,2,619.5,457.5,9.4,17
2,2,720.5,575.5,9.4,18
2,2,531.5,516.5,8.2,15
2,2,691.5,551.5,8.2,11
3,3,554.5,640.5,8.2,9
3,3,569.5,512.5,8.2,3
3,3,684.5,590.5,7.1,10
3,3,679.5,479.5,7.1,4
3,3,626.5,634.5,8.2,2
3,3,589.5,625.5,8.2,8
3,3,696.5,638.5,9.4,1
3,3,552.5,545.5,8.2,7
3,3,721.5,528.5,8.2,14
3,3,663.5,620.5,8.2,6
3,3,674.5,515.5,9.4,5
3,3,561.5,597.5,8.2,19
3,3,531.5,516.5,8.2,15
3,3,691.5,551.5,8.0,11
3,3,604.5,495.5,8.2,20
3,3,720.5,575.5,9.4,18
3,3,619.5,457.5,9.4,17
3,3,627.5,669.5,8.2,13
