,frame,x,y,r
0,1.0,563.5,476.5,8.2
1,1.0,524.5,575.5,8.2
2,1.0,627.5,669.5,8.2
3,1.0,720.5,528.5,8.2
4,1.0,531.5,516.5,8.2
5,1.0,604.5,495.5,8.2
6,1.0,623.5,457.5,9.4
7,1.0,720.5,575.5,9.4
8,1.0,561.5,598.5,8.2
9,1.0,690.5,552.5,8.2
10,1.0,641.5,495.5,9.4
11,1.0,554.5,640.5,8.2
12,1.0,587.5,623.5,9.4
13,1.0,552.5,545.5,8.2
14,1.0,661.5,621.5,8.2
15,1.0,684.5,591.5,8.2
16,1.0,674.5,515.5,9.4
17,1.0,679.5,479.5,7.1
18,1.0,569.5,512.5,8.2
19,1.0,624.5,635.5,8.2
20,1.0,694.5,639.5,7.1
21,2.0,524.5,575.5,8.2
22,2.0,563.5,476.5,8.2
23,2.0,627.5,669.5,8.2
24,2.0,552.5,546.5,8.2
25,2.0,604.5,495.5,8.2
26,2.0,619.5,457.5,9.4
27,2.0,720.5,575.5,9.4
28,2.0,531.5,516.5,8.2
29,2.0,561.5,598.5,8.2
30,2.0,691.5,551.5,8.2
31,2.0,642.5,497.5,8.2
32,2.0,554.5,640.5,8.2
33,2.0,674.5,515.5,9.4
34,2.0,696.5,637.5,9.4
35,2.0,721.5,526.5,9.4
36,2.0,679.5,479.5,7.1
37,2.0,588.5,624.5,8.2
38,2.0,569.5,512.5,8.2
39,2.0,624.5,634.5,8.2
40,2.0,684.5,590.5,7.1
41,2.0,663.5,620.5,8.2
42,3.0,563.5,476.5,8.2
43,3.0,524.5,575.5,8.2
44,3.0,627.5,669.5,8.2
45,3.0,619.5,457.5,9.4
46,3.0,720.5,575.5,9.4
47,3.0,604.5,495.5,8.2
48,3.0,691.5,551.5,8.0
49,3.0,531.5,516.5,8.2
50,3.0,561.5,597.5,8.2
51,3.0,641.5,495.5,9.4
52,3.0,674.5,515.5,9.4
53,3.0,554.5,640.5,8.2
54,3.0,721.5,528.5,8.2
55,3.0,552.5,545.5,8.2
56,3.0,696.5,638.5,9.4
57,3.0,589.5,625.5,8.2
58,3.0,626.5,634.5,8.2
