,frame,x,y,r
0,1.0,720.5,528.5,11.4
1,1.0,679.5,479.5,7.4
2,1.0,558.5,638.5,11.4
3,1.0,621.5,458.5,11.4
4,1.0,566.5,478.5,11.4
5,1.0,686.5,588.5,10.3
6,1.0,674.5,515.5,10.2
7,1.0,531.5,516.5,8.0
8,1.0,564.5,596.5,11.4
9,1.0,524.5,575.5,8.0
10,1.0,627.5,669.5,8.0
11,1.0,604.5,495.5,8.0
12,1.0,719.5,576.5,8.0
13,1.0,642.5,496.5,8.0
14,1.0,690.5,551.5,8.0
15,1.0,552.5,545.5,8.0
16,1.0,664.5,618.5,9.1
17,1.0,693.5,638.5,8.0
18,1.0,588.5,624.5,8.0
19,1.0,626.5,635.5,8.0
20,1.0,571.5,512.5,8.0
21,2.0,679.5,479.5,7.4
22,2.0,621.5,458.5,11.4
23,2.0,563.5,476.5,8.0
24,2.0,674.5,515.5,10.2
25,2.0,552.5,546.5,8.0
26,2.0,691.5,551.5,8.0
27,2.0,607.5,495.5,10.3
28,2.0,531.5,516.5,8.0
29,2.0,684.5,588.5,11.4
30,2.0,524.5,575.5,8.0
31,2.0,627.5,669.5,8.0
32,2.0,719.5,576.5,8.0
33,2.0,561.5,598.5,8.0
34,2.0,694.5,637.5,11.4
35,2.0,642.5,496.5,8.0
36,2.0,720.5,528.5,8.0
37,2.0,554.5,640.5,8.0
38,2.0,587.5,623.5,10.2
39,2.0,570.5,512.5,8.0
40,2.0,625.5,635.5,8.0
41,2.0,664.5,618.5,9.1
42,3.0,679.5,479.5,7.4
43,3.0,720.5,528.5,11.4
44,3.0,621.5,458.5,11.4
45,3.0,566.5,478.5,11.4
46,3.0,691.5,551.5,8.0
47,3.0,531.5,516.5,8.0
48,3.0,684.5,588.5,11.4
49,3.0,694.5,637.5,11.4
50,3.0,524.5,575.5,8.0
51,3.0,627.5,669.5,8.0
52,3.0,604.5,495.5,8.0
53,3.0,642.5,497.5,8.0
54,3.0,719.5,576.5,8.0
55,3.0,554.5,640.5,8.0
56,3.0,561.5,597.5,8.0
57,3.0,552.5,545.5,8.0
58,3.0,570.5,512.5,8.0
59,3.0,664.5,618.5,9.1
60,3.0,589.5,625.5,8.0
61,3.0,625.5,635.5,8.0
62,3.0,674.5,517.5,9.1
63,4.0,679.5,479.5,7.4
64,4.0,556.5,545.5,11.4
65,4.0,621.5,458.5,11.4
66,4.0,686.5,588.5,10.3
67,4.0,563.5,476.5,8.0
68,4.0,674.5,515.5,10.2
69,4.0,718.5,527.5,10.3
70,4.0,531.5,516.5,8.0
71,4.0,604.5,495.5,8.0
72,4.0,524.5,575.5,8.0
73,4.0,627.5,669.5,8.0
74,4.0,561.5,598.5,8.0
75,4.0,719.5,576.5,8.0
76,4.0,627.5,635.5,9.1
77,4.0,554.5,640.5,8.0
78,4.0,587.5,623.5,9.1
79,4.0,664.5,618.5,9.1
80,4.0,690.5,552.5,8.0
81,4.0,692.5,634.5,10.3
82,4.0,641.5,496.5,6.9
83,4.0,73.5,871.5,6.6
84,4.0,569.5,512.5,8.0
85,5.0,621.5,458.5,11.4
86,5.0,556.5,545.5,11.4
87,5.0,563.5,476.5,8.0
88,5.0,674.5,515.5,10.2
89,5.0,605.5,494.5,11.4
