,frame,x,y,r
0,1.0,820.5,605.5,160.6
1,2.0,817.5,605.5,161.4
2,3.0,822.5,602.5,159.5
3,4.0,818.5,605.5,161.6
4,5.0,818.5,604.5,161.6
5,6.0,819.5,604.5,161.3
6,7.0,818.5,605.5,161.6
7,8.0,819.5,604.5,161.7
8,9.0,817.5,605.5,161.6
9,10.0,819.5,604.5,161.7
10,11.0,816.5,605.5,160.5
11,12.0,817.5,602.5,161.6
12,13.0,818.5,605.5,161.7
13,14.0,818.5,605.5,161.7
14,15.0,816.5,605.5,160.6
15,16.0,817.5,604.5,161.7
16,17.0,817.5,602.5,161.7
17,18.0,819.5,605.5,160.5
18,19.0,816.5,604.5,159.5
19,20.0,821.5,603.5,160.4
20,21.0,819.5,605.5,160.6
21,22.0,819.5,605.5,160.6
22,23.0,821.5,603.5,160.6
23,24.0,818.5,604.5,161.5
24,25.0,820.5,604.5,161.6
25,26.0,819.5,604.5,161.5
26,27.0,819.5,603.5,162.5
27,28.0,818.5,603.5,160.5
28,29.0,818.5,605.5,161.6
29,30.0,819.5,604.5,161.6
30,31.0,818.5,607.5,162.8
31,32.0,819.5,604.5,161.6
32,33.0,818.5,606.5,162.3
33,34.0,818.5,606.5,162.5
34,35.0,816.5,606.5,158.4
35,36.0,817.5,605.5,161.7
36,37.0,819.5,605.5,160.5
37,38.0,817.5,605.5,161.7
38,39.0,816.5,604.5,159.5
39,40.0,819.5,605.5,160.6
40,41.0,818.5,604.5,161.7
41,42.0,819.5,604.5,161.7
42,43.0,819.5,604.5,161.6
43,44.0,818.5,604.5,161.6
44,45.0,818.5,603.5,160.5
45,46.0,819.5,602.5,162.7
46,47.0,818.5,603.5,160.2
47,48.0,818.5,604.5,161.7
48,49.0,819.5,605.5,160.6
49,50.0,819.5,603.5,162.5
50,51.0,819.5,604.5,161.6
51,52.0,818.5,606.5,162.7
52,53.0,818.5,605.5,160.6
53,54.0,819.5,605.5,160.6
54,55.0,819.5,605.5,160.6
55,56.0,818.5,604.5,160.6
56,57.0,821.5,603.5,160.6
57,58.0,819.5,604.5,161.4
58,59.0,817.5,602.5,161.7
59,60.0,818.5,604.5,161.7
60,61.0,818.5,604.5,161.5
61,62.0,816.5,604.5,159.5
62,63.0,819.5,603.5,161.7
63,64.0,819.5,605.5,160.5
64,65.0,818.5,604.5,161.6
65,66.0,817.5,605.5,161.7
66,67.0,817.5,605.5,161.7
67,68.0,818.5,604.5,160.6
68,69.0,821.5,603.5,160.5
69,70.0,820.5,603.5,161.6
70,71.0,817.5,603.5,160.4
71,72.0,817.5,606.5,159.5
72,73.0,818.5,605.5,160.4
73,74.0,817.5,605.5,161.7
74,75.0,818.5,604.5,161.7
75,76.0,818.5,606.5,162.6
