bottype,bot_No.,angle,iteration,path,file,start_min,end_min
aligner,1,5,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:07,0:11
aligner,1,5,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:13,0:17
aligner,1,5,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:20,0:25
aligner,1,5,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:27,0:33
aligner,1,5,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:37,0:42
aligner,1,5,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:43,0:50
aligner,1,5,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:51,0:57
aligner,1,5,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,0:58,1:02
aligner,1,5,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,1:03,1:10
aligner,1,5,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,1:12,1:19
aligner,1,5,11,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,1:23,1:27
aligner,1,5,12,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,1:31,1:40
aligner,1,7.7,1,D:\Eden\new_exp_test_15_11_23\14_2_25,C0707.MP4,2:07,2:16
aligner,1,7.7,2,D:\Eden\new_exp_test_15_11_23\14_2_26,C0707.MP4,2:19,2:27
aligner,1,7.7,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,2:29,2:36
aligner,1,7.7,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,2:39,2:41
aligner,1,7.7,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,2:43,2:50
aligner,1,7.7,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,2:53,2:59
aligner,1,7.7,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,3:03,3:10
aligner,1,7.7,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,3:13,3:20
aligner,1,7.7,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,3:23,3:29
aligner,1,7.7,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,3:32,3:37
aligner,1,10.3,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:16,4:19
aligner,1,10.3,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:21,4:23
aligner,1,10.3,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:24,2:26
aligner,1,10.3,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:28,4:32
aligner,1,10.3,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:33,4:39
aligner,1,10.3,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:41,4:46
aligner,1,10.3,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:47,4:53
aligner,1,10.3,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,4:55,4:59
aligner,1,10.3,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,5:01,5:06
aligner,1,10.3,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,5:08,5:14
aligner,1,10.3,11,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,5:16,5:20
aligner,1,10.3,12,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,5:22,5:27
aligner,1,15,1,D:\Eden\new_exp_test_15_11_23\14_2_22,C0707.MP4,5:58,5:59
aligner,1,15,2,D:\Eden\new_exp_test_15_11_23\14_2_23,C0707.MP4,6:00,6:02
aligner,1,15,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:04,6:05
aligner,1,15,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:06,6:07
aligner,1,15,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:08,6:09
aligner,1,15,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:10,6:11
aligner,1,15,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:11,6:13
aligner,1,15,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:14,6:15
aligner,1,15,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:16,6:17
aligner,1,15,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,6:17,6:18
aligner,1,20.5,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,20.5,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,1,25.2,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0707.MP4,,
aligner,3,5.2,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,5.2,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,7.6,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,10.2,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,15.1,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,19.9,10,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,1,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,2,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,3,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,4,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,5,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,6,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,7,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,8,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
aligner,3,25,9,D:\Eden\new_exp_test_15_11_23\14_2_24,C0708.MP4,,
