Unnamed: 0,date,operator,bottype,stars,bots,smallpassiveDiameter[cm],bigpassiveDiameter[cm],path,locatingFileName,minCircleRadius,maxCircleRadius,fps,cpp,start_min,end_min,arenaSize[cm],comments,backedup,motorVal,production,linkingFileName,botLocatingFileName,botLinkingFileName,miniVideoFileNamePack,locatingFileNamePack,linkingFileNamePack
,20231119,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\19_11_23\C0610.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231119,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\19_11_23\C0611.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231119,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\19_11_23\C0612.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231119,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\19_11_23\C0613.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231119,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\19_11_23\C0614.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231119,Eden,fronter,,1,,32,D:\Eden\new_exp_test_15_11_23\19_11_23\C0617.MP4,,,,,,,,,test,,,,,,,,,
,20231120,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\20_11_23\C0618.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231120,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\20_11_23\C0619.MP4,,,,25,,,,50,draft,,,,,,,,,
,20231120,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\20_11_23\C0620.MP4,,,,25,,,,50,low buttery draft,,,,,,,,,
,20231120,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\20_11_23\C0621.MP4,,,,25,,,,50,low buttery draft,,,,,,,,,
,20231120,Eden,fronter,,1,12,32,D:\Eden\new_exp_test_15_11_23\20_11_23\C0622.MP4,,,,25,,,,50,draft,,,,,,,,,
