frame,Unnamed: 0,frame,x,y,r,particle
1,0,1,628.5,561.5,30.8,0
2,1,2,628.5,562.5,30.9,0
3,2,3,629.5,560.5,30.9,0
4,3,4,628.5,562.5,30.7,0
5,4,5,628.5,563.5,32.0,0
6,5,6,626.5,565.5,30.9,0
7,6,7,626.5,566.5,30.9,0
8,7,8,628.5,562.5,30.9,0
10,8,10,628.5,562.5,30.9,0
11,9,11,629.5,560.5,30.9,0
12,10,12,630.5,560.5,31.9,0
14,11,14,636.5,548.5,34.2,0
15,12,15,628.5,562.5,30.7,0
16,13,16,627.5,562.5,30.9,0
18,14,18,626.5,568.5,36.4,0
20,16,20,629.5,562.5,30.8,0
21,17,21,629.5,562.5,30.8,0
22,18,22,630.5,561.5,31.9,0
23,19,23,625.5,563.5,32.0,0
24,20,24,629.5,561.5,30.7,0
27,21,27,628.5,560.5,30.9,0
29,22,29,629.5,562.5,30.8,0
31,23,31,629.5,561.5,30.9,0
32,24,32,629.5,562.5,30.8,0
35,25,35,629.5,562.5,30.9,0
36,26,36,629.5,562.5,30.9,0
37,27,37,628.5,562.5,30.8,0
38,28,38,628.5,561.5,30.8,0
39,29,39,624.5,563.5,32.0,0
40,30,40,627.5,562.5,32.0,0
41,31,41,630.5,561.5,31.4,0
42,32,42,629.5,562.5,30.8,0
43,33,43,630.5,560.5,30.8,0
44,34,44,628.5,562.5,30.9,0
45,35,45,627.5,562.5,32.0,0
46,36,46,622.5,562.5,32.0,0
49,37,49,630.5,560.5,32.0,0
50,38,50,629.5,561.5,30.9,0
51,39,51,622.5,561.5,34.2,0
52,40,52,629.5,560.5,30.7,0
53,41,53,629.5,562.5,30.9,0
54,42,54,623.5,560.5,30.9,0
55,43,55,630.5,562.5,30.8,0
56,44,56,628.5,561.5,30.8,0
57,45,57,628.5,560.5,30.9,0
58,46,58,629.5,562.5,30.8,0
59,47,59,630.5,562.5,30.8,0
60,48,60,624.5,562.5,34.2,0
61,49,61,629.5,561.5,30.8,0
62,50,62,628.5,562.5,30.9,0
63,51,63,629.5,561.5,30.7,0
64,52,64,629.5,562.5,30.9,0
67,53,67,630.5,561.5,31.8,0
68,54,68,628.5,560.5,30.8,0
72,55,72,624.5,563.5,34.2,0
74,56,74,628.5,563.5,32.0,0
75,57,75,629.5,561.5,30.7,0
76,58,76,629.5,561.5,30.7,0
77,59,77,629.5,562.5,30.7,0
78,60,78,628.5,561.5,30.9,0
79,61,79,626.5,562.5,30.9,0
80,62,80,629.5,560.5,30.8,0
82,63,82,628.5,560.5,30.9,0
83,64,83,629.5,561.5,30.7,0
84,65,84,628.5,561.5,30.9,0
85,66,85,629.5,561.5,30.9,0
86,67,86,628.5,562.5,30.9,0
87,68,87,628.5,562.5,30.9,0
88,69,88,628.5,562.5,30.9,0
90,70,90,628.5,561.5,30.8,0
91,71,91,628.5,562.5,30.9,0
93,72,93,629.5,562.5,30.7,0
94,73,94,627.5,565.5,34.2,0
95,74,95,629.5,561.5,30.9,0
96,75,96,630.5,562.5,30.9,0
97,76,97,625.5,564.5,33.1,0
98,77,98,627.5,562.5,30.9,0
99,78,99,626.5,561.5,31.9,0
100,79,100,627.5,561.5,32.0,0
101,80,101,629.5,562.5,30.8,0
103,81,103,628.5,560.5,30.9,0
104,82,104,630.5,559.5,33.1,0
105,83,105,628.5,561.5,30.8,0
107,84,107,630.5,560.5,32.0,0
108,85,108,629.5,561.5,30.7,0
