,frame,x,y,r
0,1.0,628.5,561.5,30.8
1,2.0,628.5,562.5,30.9
2,3.0,629.5,560.5,30.9
3,4.0,628.5,562.5,30.7
4,5.0,628.5,563.5,32.0
5,6.0,626.5,565.5,30.9
6,7.0,626.5,566.5,30.9
7,8.0,628.5,562.5,30.9
8,10.0,628.5,562.5,30.9
9,11.0,629.5,560.5,30.9
10,12.0,630.5,560.5,31.9
11,14.0,636.5,548.5,34.2
12,15.0,628.5,562.5,30.7
13,16.0,627.5,562.5,30.9
14,18.0,626.5,568.5,36.4
15,19.0,96.5,862.5,32.0
16,20.0,629.5,562.5,30.8
17,21.0,629.5,562.5,30.8
18,22.0,630.5,561.5,31.9
19,23.0,625.5,563.5,32.0
20,24.0,629.5,561.5,30.7
21,27.0,628.5,560.5,30.9
22,29.0,629.5,562.5,30.8
23,31.0,629.5,561.5,30.9
24,32.0,629.5,562.5,30.8
25,35.0,629.5,562.5,30.9
26,36.0,629.5,562.5,30.9
27,37.0,628.5,562.5,30.8
28,38.0,628.5,561.5,30.8
29,39.0,624.5,563.5,32.0
30,40.0,627.5,562.5,32.0
31,41.0,630.5,561.5,31.4
32,42.0,629.5,562.5,30.8
33,43.0,630.5,560.5,30.8
34,44.0,628.5,562.5,30.9
35,45.0,627.5,562.5,32.0
36,46.0,622.5,562.5,32.0
37,49.0,630.5,560.5,32.0
38,50.0,629.5,561.5,30.9
39,51.0,622.5,561.5,34.2
40,52.0,629.5,560.5,30.7
41,53.0,629.5,562.5,30.9
42,54.0,623.5,560.5,30.9
43,55.0,630.5,562.5,30.8
44,56.0,628.5,561.5,30.8
45,57.0,628.5,560.5,30.9
46,58.0,629.5,562.5,30.8
47,59.0,630.5,562.5,30.8
48,60.0,624.5,562.5,34.2
49,61.0,629.5,561.5,30.8
50,62.0,628.5,562.5,30.9
51,63.0,629.5,561.5,30.7
52,64.0,629.5,562.5,30.9
53,67.0,630.5,561.5,31.8
54,68.0,628.5,560.5,30.8
55,72.0,624.5,563.5,34.2
56,74.0,628.5,563.5,32.0
57,75.0,629.5,561.5,30.7
58,76.0,629.5,561.5,30.7
59,77.0,629.5,562.5,30.7
60,78.0,628.5,561.5,30.9
61,79.0,626.5,562.5,30.9
62,80.0,629.5,560.5,30.8
63,82.0,628.5,560.5,30.9
64,83.0,629.5,561.5,30.7
65,84.0,628.5,561.5,30.9
66,85.0,629.5,561.5,30.9
67,86.0,628.5,562.5,30.9
68,87.0,628.5,562.5,30.9
69,88.0,628.5,562.5,30.9
70,90.0,628.5,561.5,30.8
71,91.0,628.5,562.5,30.9
72,93.0,629.5,562.5,30.7
73,94.0,627.5,565.5,34.2
74,95.0,629.5,561.5,30.9
75,96.0,630.5,562.5,30.9
76,97.0,625.5,564.5,33.1
77,98.0,627.5,562.5,30.9
78,99.0,626.5,561.5,31.9
79,100.0,627.5,561.5,32.0
80,101.0,629.5,562.5,30.8
81,103.0,628.5,560.5,30.9
82,104.0,630.5,559.5,33.1
83,105.0,628.5,561.5,30.8
84,107.0,630.5,560.5,32.0
85,108.0,629.5,561.5,30.7
86,109.0,628.5,562.5,30.8
87,110.0,629.5,562.5,30.8
88,111.0,629.5,562.5,30.8
89,113.0,630.5,557.5,35.3
90,114.0,629.5,561.5,30.7
91,115.0,628.5,562.5,30.9
92,116.0,629.5,561.5,30.7
93,117.0,629.5,562.5,30.8
94,118.0,629.5,562.5,30.8
95,119.0,630.5,561.5,31.6
96,120.0,629.5,561.5,30.9
97,121.0,628.5,559.5,32.0
98,122.0,628.5,560.5,30.9
99,123.0,628.5,561.5,31.4
100,124.0,629.5,561.5,30.7
101,125.0,629.5,561.5,30.7
102,126.0,628.5,562.5,30.9
103,128.0,628.5,561.5,30.9
104,129.0,630.5,561.5,31.6
105,131.0,629.5,561.5,30.9
106,134.0,629.5,562.5,30.9
107,138.0,629.5,561.5,30.9
108,139.0,623.5,558.5,32.0
109,140.0,628.5,561.5,30.9
110,141.0,628.5,561.5,30.9
111,142.0,629.5,561.5,30.7
112,143.0,629.5,561.5,30.7
113,144.0,630.5,560.5,31.9
114,145.0,629.5,561.5,30.9
115,146.0,629.5,561.5,30.9
116,147.0,629.5,562.5,30.7
117,148.0,629.5,560.5,30.9
118,150.0,629.5,561.5,30.9
119,151.0,629.5,563.5,30.9
120,152.0,629.5,561.5,30.7
121,153.0,626.5,563.5,32.0
122,155.0,620.5,559.5,36.4
123,156.0,627.5,561.5,32.0
124,157.0,629.5,561.5,30.7
125,158.0,629.5,562.5,30.8
126,159.0,629.5,561.5,30.7
127,160.0,629.5,561.5,30.7
128,161.0,628.5,561.5,30.8
129,162.0,630.5,562.5,30.8
130,163.0,619.5,556.5,36.4
131,164.0,629.5,562.5,30.8
132,165.0,629.5,561.5,30.9
133,168.0,630.5,561.5,31.9
134,169.0,627.5,560.5,30.9
135,170.0,630.5,560.5,30.8
136,171.0,627.5,561.5,32.0
137,172.0,627.5,561.5,32.0
138,174.0,624.5,559.5,30.8
139,176.0,630.5,561.5,31.8
140,177.0,629.5,562.5,30.9
141,178.0,629.5,561.5,30.7
142,180.0,629.5,562.5,30.8
143,181.0,628.5,563.5,32.0
144,183.0,629.5,562.5,30.8
145,184.0,618.5,566.5,35.3
146,185.0,630.5,561.5,31.8
147,186.0,628.5,561.5,30.9
148,187.0,629.5,561.5,30.7
149,188.0,639.5,551.5,36.4
150,189.0,629.5,561.5,30.9
151,191.0,629.5,562.5,30.9
152,192.0,629.5,562.5,30.8
153,193.0,628.5,561.5,30.8
154,194.0,629.5,562.5,30.9
155,195.0,629.5,562.5,30.9
156,196.0,627.5,562.5,30.9
157,197.0,628.5,561.5,30.9
158,198.0,628.5,562.5,30.7
159,199.0,629.5,561.5,30.7
160,200.0,625.5,562.5,30.9
161,201.0,628.5,561.5,30.9
162,202.0,629.5,561.5,30.7
163,203.0,629.5,562.5,30.9
164,204.0,629.5,561.5,30.7
165,205.0,628.5,562.5,30.6
166,207.0,631.5,566.5,36.4
167,210.0,631.5,559.5,30.9
168,211.0,630.5,561.5,31.3
169,212.0,626.5,563.5,32.0
170,213.0,625.5,559.5,30.8
171,214.0,628.5,562.5,30.7
172,215.0,627.5,561.5,32.0
173,216.0,628.5,561.5,30.9
174,218.0,624.5,564.5,33.1
175,221.0,643.5,556.5,32.0
176,222.0,628.5,562.5,30.9
177,223.0,629.5,561.5,30.9
178,224.0,629.5,561.5,30.7
179,226.0,628.5,561.5,30.9
180,227.0,628.5,561.5,30.9
181,228.0,629.5,561.5,30.7
182,229.0,629.5,561.5,30.7
183,230.0,629.5,562.5,30.7
184,231.0,629.5,561.5,30.7
185,233.0,630.5,562.5,30.7
186,235.0,628.5,561.5,30.9
187,237.0,630.5,562.5,30.7
188,238.0,629.5,561.5,30.9
189,239.0,628.5,561.5,30.9
190,240.0,629.5,560.5,30.9
191,243.0,628.5,562.5,30.9
192,244.0,628.5,562.5,30.9
193,246.0,622.5,569.5,32.0
194,247.0,626.5,566.5,36.4
195,248.0,628.5,561.5,30.9
196,249.0,629.5,560.5,30.9
197,250.0,626.5,560.5,30.8
198,251.0,628.5,562.5,30.8
199,252.0,624.5,563.5,34.2
200,253.0,628.5,561.5,30.9
201,254.0,625.5,566.5,36.4
202,257.0,629.5,561.5,30.9
203,261.0,628.5,561.5,30.8
204,262.0,629.5,560.5,30.8
205,265.0,628.5,560.5,30.9
206,266.0,629.5,562.5,30.9
207,267.0,628.5,562.5,30.9
208,268.0,629.5,560.5,30.8
209,269.0,630.5,561.5,31.8
210,270.0,629.5,561.5,30.7
211,271.0,628.5,561.5,30.9
212,272.0,629.5,562.5,30.8
213,273.0,630.5,560.5,31.9
214,274.0,630.5,558.5,34.2
215,275.0,629.5,560.5,30.9
216,276.0,628.5,561.5,30.9
217,277.0,624.5,565.5,34.2
218,279.0,625.5,564.5,33.1
219,280.0,628.5,562.5,30.9
220,281.0,629.5,562.5,30.8
221,282.0,629.5,561.5,30.7
222,283.0,626.5,563.5,32.0
223,284.0,629.5,561.5,30.7
224,285.0,627.5,561.5,32.0
225,287.0,629.5,561.5,30.8
